Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
819.5445006	0.19776071	807.35766173	403.57995051	13.48676835															
710.30493355	0.13626755	698.11809468	348.99091356	13.48676835															
540.81179609	0.06385271	528.62495722	264.28055226	13.48676835															
405.40573798	0.04811342	393.21889911	196.58539285	13.48676835															
					636.10945256	0.21111389	627.23147671	313.51018141	9.82495995										
					576.12242603	0.07035105	567.24445017	283.58704956	9.82495995										
					540.81179609	0.05428106	531.93382024	265.93976959	9.82495995										
					405.40573798	0.04130821	396.52776213	198.24322696	9.82495995										
										435.8640012	0.23781275	429.50088925	214.63153825	7.0418439					
										423.26708501	0.10578987	416.90397305	208.39909159	7.0418439					
										414.74075401	0.08200651	408.37764205	204.14781777	7.0418439					
										403.50949236	0.04761955	397.14638041	198.54938043	7.0418439					
															318.71938301	0.19776071	313.54621537	156.67422733	5.72497218
															312.63060933	0.11099173	307.4574417	153.67322499	5.72497218
															307.4561498	0.05989228	302.28298217	151.11154494	5.72497218
															300.71586317	0.04304144	295.54269554	147.74982705	5.72497218
779.38666183	0.16561249	767.2002153	383.51730141	13.48633415															
648.70077984	0.12883526	636.51433331	318.19274903	13.48633415															
540.81179609	0.06104709	528.62534957	264.28215124	13.48633415															
405.40573798	0.04304144	393.21929146	196.58812501	13.48633415															
