Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
562.45733043	0.25329382	550.03078651	274.88874634	13.75204194															
517.90540541	0.10273273	505.47886148	252.68806437	13.75204194															
514.50198264	0.08121078	502.07543872	250.99711397	13.75204194															
405.00012944	0.05838482	392.57358551	196.25760035	13.75204194															
					340.66409064	0.20880102	331.61400195	165.70260046	10.01543148										
					331.51430486	0.09887525	322.46421617	161.18267046	10.01543148										
					331.31389436	0.08187166	322.26380567	161.090967	10.01543148										
					328.41846471	0.04048423	319.36837603	159.6639459	10.01543148										
										189.13661465	0.20287365	182.65532577	91.22622606	7.17262635					
										190.78850576	0.10407189	184.30721689	92.1015725	7.17262635					
										191.20013676	0.072751	184.71884788	92.32304844	7.17262635					
										190.66948386	0.05235548	184.18819498	92.06791975	7.17262635					
															127.43598439	0.23104742	122.15481539	60.96188398	5.8444937
															131.05146794	0.10035947	125.77029893	62.83496973	5.8444937
															131.77028936	0.08329803	126.48912035	63.20291116	5.8444937
															131.89954017	0.06570946	126.61837116	63.27633085	5.8444937
563.02828631	0.18309574	550.57223446	275.19456936	13.78469738															
520.60250375	0.12597973	508.1464519	254.01023609	13.78469738															
516.31470981	0.0643454	503.85865796	251.89715628	13.78469738															
405.20283221	0.03516704	392.74678036	196.35580666	13.78469738															
					332.39990996	0.27256903	323.33402817	161.53072957	10.03290918										
					324.02074524	0.08575401	314.95486345	157.43455472	10.03290918										
					323.16758506	0.06401518	314.10170327	157.01884405	10.03290918										
					320.57831456	0.03974287	311.51243277	155.73634495	10.03290918										
										181.95308373	0.22016807	175.46557716	87.62270455	7.17950728					
										183.87412951	0.10258768	177.38662294	88.64201763	7.17950728					
										184.13008339	0.06978402	177.64257682	88.7863964	7.17950728					
										183.58996059	0.04530781	177.10245401	88.5285731	7.17950728					
															123.92727341	0.15343637	118.64522576	59.24589469	5.84546606
															127.700501	0.12486974	122.41845336	61.14679181	5.84546606
															128.45393346	0.0961541	123.17188581	61.53786585	5.84546606
															128.58600976	0.07226351	123.30396211	61.6158493	5.84546606
580.80853842	0.23005702	568.37407114	284.07200706	13.76081045															
531.90431363	0.09615105	519.46984635	259.68684765	13.76081045															
525.58903019	0.08494663	513.15456291	256.53480814	13.76081045															
405.20283221	0.04048423	392.76836493	196.36394035	13.76081045															
					337.65709034	0.25180822	328.5966974	164.17244459	10.02683485										
					329.54739604	0.08030937	320.48700311	160.20334687	10.02683485										
					328.41160357	0.06566378	319.35121063	159.64277343	10.02683485										
					325.35571134	0.05309685	316.2953184	158.12111078	10.02683485										
										183.65207833	0.23648709	177.17350156	88.46850723	7.16962496					
										185.65398273	0.09407658	179.17540596	89.54066469	7.16962496					
										185.87044113	0.0577535	179.39186436	89.66705543	7.16962496					
										185.25268956	0.05730105	178.7741128	89.35840587	7.16962496					
															125.16406813	0.24093637	119.87868387	59.81887375	5.84915857
															128.71327327	0.12697072	123.42788902	61.65045915	5.84915857
															129.65267512	0.07703636	124.36729086	62.14512725	5.84915857
															129.8079955	0.05717718	124.52261124	62.23271703	5.84915857
584.46662665	0.13563926	572.03219183	285.94827629	13.76077454															
539.8247973	0.08814189	527.39036247	263.65111029	13.76077454															
533.58724716	0.06043057	521.15281234	260.54619088	13.76077454															
405.20283221	0.0364039	392.76839738	196.36599674	13.76077454															
					343.06406062	0.18903061	334.01004754	166.91050846	10.01977448										
					332.99356607	0.10396772	323.93955298	161.91779263	10.01977448										
					332.31738242	0.0676426	323.26336934	161.59786337	10.01977448										
					329.05522898	0.03504317	320.00121589	159.98308636	10.01977448										
										186.45737545	0.2572479	179.97701501	89.85988356	7.17159889					
										187.92011261	0.12128003	181.43975217	90.65923607	7.17159889					
										188.30008589	0.06170864	181.81972545	90.87900841	7.17159889					
										187.71463213	0.04703829	181.23427169	90.5936167	7.17159889					
															126.55262605	0.25081783	121.27622247	60.51270232	5.83921996
															129.87786411	0.08566817	124.60146054	62.25789618	5.83921996
															130.63648849	0.05956471	125.36008491	62.6502601	5.83921996
															130.7077271	0.03615616	125.43132352	62.69758368	5.83921996
603.88810774	0.16332533	591.46055709	295.64861588	13.75315605															
547.51497748	0.10520646	535.08742683	267.49111019	13.75315605															
540.45077353	0.09506425	528.02322288	263.96407931	13.75315605															
405.20283221	0.05532282	392.77528156	196.35997937	13.75315605															
					352.38165516	0.21720438	343.33426341	171.55852952	10.01244687										
					342.60657282	0.10298048	333.55918107	166.7281003	10.01244687										
					341.19425284	0.08264009	332.14686109	166.0321105	10.01244687										
					337.33938438	0.06237237	328.29199264	164.11481013	10.01244687										
										188.55232593	0.25872599	182.07576629	90.90852015	7.16739267					
										189.89614489	0.13438814	183.41958525	91.64259856	7.16739267					
										190.2169526	0.05878087	183.74039296	91.84080604	7.16739267					
										189.40333146	0.05606607	182.92677181	91.43535287	7.16739267					
															127.31685174	0.2122599	122.03571566	60.91172788	5.84445726
															130.97914414	0.11163664	125.69800806	62.79318571	5.84445726
															131.88332193	0.06537717	126.60218585	63.26840434	5.84445726
															131.89039039	0.05693131	126.60925431	63.2761615	5.84445726
