Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
704.5493396	0.18238943	692.15995075	345.98878066	13.71092366															
618.81087926	0.12004133	606.42149041	303.15072454	13.71092366															
540.45077353	0.07271696	528.06138468	263.99433386	13.71092366															
405.20283221	0.05192192	392.81344335	196.38076072	13.71092366															
					462.51458375	0.25902542	453.48532749	226.61315104	9.99237692										
					440.18747871	0.10320767	431.15822245	215.52750739	9.99237692										
					438.02903121	0.06842874	428.99977495	214.46567311	9.99237692										
					405.40573798	0.06159802	396.37648173	198.15744185	9.99237692										
										262.11152942	0.24320592	255.65919835	127.70799621	7.14057971					
										258.70837049	0.12400175	252.25603942	126.06601883	7.14057971					
										258.08322847	0.1078463	251.6308974	125.76152555	7.14057971					
										256.05395093	0.06011455	249.60161986	124.77075266	7.14057971					
															181.25379228	0.22490995	175.98938927	87.88223966	5.82593933
															182.55314128	0.12994238	177.28873827	88.57939794	5.82593933
															182.62149032	0.09613568	177.35708731	88.63047582	5.82593933
															181.88397221	0.06333125	176.6195692	88.27811898	5.82593933
690.39079263	0.31298539	678.01766105	338.85233783	13.69293229															
617.67473071	0.15668086	605.30159912	302.57245913	13.69293229															
540.45077353	0.05671812	528.07764194	264.01046191	13.69293229															
405.20283221	0.08060998	392.82970062	196.37454532	13.69293229															
					467.48163398	0.26595207	458.47088021	229.10246407	9.97190084										
					440.97128883	0.16806613	431.96053506	215.89623446	9.97190084										
					439.71328939	0.09118909	430.70253561	215.30567326	9.97190084										
					405.20283221	0.07430368	396.19207844	198.05888738	9.97190084										
										272.41338803	0.31885131	265.96952161	132.82533515	7.13121218					
										268.67774173	0.09602705	262.23387531	131.06892413	7.13121218					
										268.4763034	0.09151953	262.03243698	130.97045873	7.13121218					
										266.32886637	0.07071884	259.88499994	129.90714055	7.13121218					
															187.42364141	0.29715522	182.16983112	90.93633795	5.81421672
															188.59536072	0.11682114	183.34155043	91.61236465	5.81421672
															188.7825501	0.08844439	183.52873981	91.72014771	5.81421672
															187.87254505	0.07393393	182.61873476	91.27240041	5.81421672
786.03676441	0.27292584	773.69683023	386.71195219	13.65619383															
681.80265406	0.12845817	669.46271987	334.66713085	13.65619383															
540.81179609	0.0709494	528.47186191	264.20045625	13.65619383															
405.40573798	0.07223773	393.0658038	196.49678303	13.65619383															
					503.96918034	0.25314752	494.9720163	247.35943439	9.95686154										
					476.45776956	0.12487086	467.46060552	233.66786733	9.95686154										
					472.91425734	0.08459279	463.9170933	231.91625026	9.95686154										
					405.40573798	0.07780546	396.40857394	198.16538424	9.95686154										
										286.77501251	0.32633106	280.33350577	140.00358735	7.1286008					
										282.61305918	0.10554162	276.17155244	138.03300541	7.1286008					
										282.09650551	0.11006513	275.65499877	137.77246682	7.1286008					
										279.47190849	0.06048448	273.03040175	136.48495863	7.1286008					
															197.45603233	0.28429744	192.21203596	95.96386926	5.80335598
															198.41241349	0.13601931	193.16841712	96.51619891	5.80335598
															198.38474549	0.08690087	193.14074913	96.52692413	5.80335598
															197.54072359	0.05751565	192.29672722	96.11960578	5.80335598
764.66367844	0.29715522	752.33888695	376.02086586	13.63943592															
666.52830241	0.12412613	654.20351091	327.03969239	13.63943592															
540.45077353	0.09696178	528.12598204	264.01451013	13.63943592															
405.40573798	0.05083438	393.08094649	196.51505605	13.63943592															
					499.38883607	0.26056345	490.39953733	245.06948694	9.94815727										
					476.40346067	0.1395992	467.41416193	233.63728137	9.94815727										
					472.639123	0.08178905	463.64982426	231.7840176	9.94815727										
					405.40573798	0.05145406	396.41643924	198.18249259	9.94815727										
										283.40581465	0.28232336	276.96947402	138.34357533	7.12288363					
										279.65715647	0.12833877	273.22081584	136.54623854	7.12288363					
										278.8539027	0.08046979	272.41756208	136.16854614	7.12288363					
										276.69672446	0.05504256	270.26038383	135.10267063	7.12288363					
															194.06954063	0.30704814	188.82142633	94.2571891	5.80791316
															195.31194138	0.14009143	190.06382708	94.96186782	5.80791316
															195.23684079	0.07238652	189.98872649	94.95816999	5.80791316
															194.43109101	0.0885691	189.18297671	94.5472038	5.80791316
808.61855735	0.27589071	796.29100326	398.00755627	13.64249319															
709.64296969	0.10568387	697.3154156	348.60486587	13.64249319															
540.81179609	0.08613477	528.48424201	264.19905362	13.64249319															
405.40573798	0.0326496	393.0781839	196.52276715	13.64249319															
					529.31292784	0.37133707	520.3205943	259.97462861	9.95151579										
					503.70135646	0.15766909	494.70902292	247.27567691	9.95151579										
					498.97178607	0.07029058	489.97945253	244.95458097	9.95151579										
					405.40573798	0.05244367	396.41340444	198.18048039	9.95151579										
										307.7216223	0.25561699	301.28727226	150.51582763	7.12068071					
										303.96971693	0.12350576	297.53536689	148.70593057	7.12068071					
										302.63051235	0.09201268	296.19616231	148.05207481	7.12068071					
										299.29843828	0.07359915	292.86408824	146.39524455	7.12068071					
															212.48163531	0.23435248	207.24500087	103.50532419	5.79520878
															212.87171468	0.15024424	207.63508024	103.742418	5.79520878
															212.64628257	0.08926854	207.40964812	103.66018979	5.79520878
															211.16516838	0.07174387	205.92853394	102.92839504	5.79520878
