Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
698.07439226	0.2350015	685.63851095	342.70175472	13.76237532															
640.32731982	0.15219595	627.89143851	313.86962128	13.76237532															
540.09023266	0.09862825	527.65435135	263.77786155	13.76237532															
405.20283221	0.06076389	392.7669509	196.3530935	13.76237532															
					399.47987695	0.20336134	390.42651034	195.1115745	10.01905905										
					388.59157816	0.12264153	379.53821154	189.70778501	10.01905905										
					382.413745	0.06467562	373.36037838	186.64785138	10.01905905										
					374.01228791	0.04889264	364.9589213	182.45501433	10.01905905										
										205.0889931	0.29382503	198.61562466	99.16089981	7.16386107					
										206.31528153	0.10149775	199.84191309	99.87020767	7.16386107					
										205.56361241	0.08807872	199.09024397	99.50108263	7.16386107					
										204.0245458	0.04901652	197.55117736	98.75108042	7.16386107					
															135.20577731	0.25279862	129.92866634	64.83793386	5.84000281
															138.13291082	0.12808617	132.85579985	66.36385684	5.84000281
															138.43069213	0.09714476	133.15358115	66.5282182	5.84000281
															138.19298048	0.05878566	132.91586951	66.42854192	5.84000281
722.79488295	0.22906663	710.37980325	355.07536831	13.73935487															
662.03666667	0.13636637	649.62158697	324.7426103	13.73935487															
540.09023266	0.08049616	527.67515296	263.7973284	13.73935487															
405.20283221	0.07708709	392.78775251	196.35533271	13.73935487															
					404.9570067	0.21279768	395.91400814	197.85060523	10.00758508										
					393.97925676	0.14156156	384.93625819	192.39734831	10.00758508										
					387.32326301	0.0844538	378.28026444	189.09790532	10.00758508										
					378.41449137	0.05915728	369.3714928	184.65616776	10.00758508										
										205.39257304	0.26619972	198.92109049	99.32744539	7.16177402					
										206.25192009	0.11372871	199.78043754	99.83335442	7.16177402					
										205.47197131	0.07390427	199.00048876	99.46329225	7.16177402					
										203.89791667	0.07176989	197.42643412	98.67733211	7.16177402					
															134.71589886	0.24587335	129.44362558	64.59887611	5.8346491
															137.32813438	0.15021772	132.0558611	65.95282169	5.8346491
															137.68685624	0.07308122	132.41458296	66.17075087	5.8346491
															137.38425676	0.06187688	132.11198348	66.0250533	5.8346491
736.0635054	0.29728391	723.62636153	361.66453881	13.76377255															
676.21225976	0.1197973	663.77511589	331.8276593	13.76377255															
540.09023266	0.07126751	527.65308879	263.79091064	13.76377255															
405.20283221	0.06422673	392.76568834	196.35073081	13.76377255															
					418.25997899	0.23746999	409.21290398	204.487717	10.01209634										
					401.85295796	0.16456081	392.80588295	196.32066107	10.01209634										
					395.06757839	0.06022515	386.02050338	192.98013911	10.01209634										
					385.87758821	0.0501295	376.83051321	188.39019185	10.01209634										
										207.23579147	0.19252802	200.76440004	100.28593601	7.16167318					
										207.88102477	0.14502252	201.40963334	100.63230541	7.16167318					
										207.10207055	0.09401268	200.63067912	100.26833322	7.16167318					
										205.43044294	0.05532282	198.95905151	99.45186434	7.16167318					
															137.01819342	0.25185862	131.73721952	65.74268045	5.84427778
															139.62492117	0.13562312	134.34394728	67.10416208	5.84427778
															139.97852402	0.09022265	134.69755012	67.30366374	5.84427778
															139.67749437	0.06348536	134.39652047	67.16651756	5.84427778
737.26277761	0.23994598	724.83000805	362.29503104	13.75893164															
671.89647898	0.12301051	659.46370942	329.67034946	13.75893164															
540.09023266	0.08230987	527.6574631	263.78757661	13.75893164															
405.20283221	0.06336149	392.77006265	196.35335058	13.75893164															
					421.81916267	0.22264406	412.77103903	206.27419748	10.01325683										
					405.98717342	0.12078453	396.93904978	198.40913263	10.01325683										
					398.80103736	0.05198466	389.75291372	194.85046453	10.01325683										
					389.68409535	0.07251126	380.63597171	190.28173022	10.01325683										
										210.52420452	0.21378827	204.0588564	101.92253406	7.15498526					
										211.33030781	0.16876502	204.86495968	102.34809733	7.15498526					
										210.54538859	0.06797031	204.08004047	102.00603508	7.15498526					
										208.57884384	0.05804429	202.11349572	101.02772571	7.15498526					
															137.09927957	0.28547879	131.8219885	65.76825485	5.84020212
															139.79185435	0.12054054	134.51456328	67.19701137	5.84020212
															140.03374083	0.07950801	134.75644976	67.33847088	5.84020212
															139.76566254	0.06237237	134.48837147	67.21299955	5.84020212
