Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
578.04404062	0.0	564.29946207	282.14973104	13.74457855															
536.85215446	0.0	523.10757591	261.55378795	13.74457855															
529.38892116	0.0	515.64434261	257.8221713	13.74457855															
448.42446764	0.0	434.67988909	217.33994454	13.74457855															
					329.69138913	0.0	319.67700703	159.83850351	10.01438211										
					324.05869223	0.0	314.04431013	157.02215506	10.01438211										
					322.18983772	0.0	312.17545561	156.08772781	10.01438211										
					318.00610238	0.0	307.99172027	153.99586014	10.01438211										
										174.73191725	0.0	167.5763478	83.7881739	7.15556945					
										177.33338387	0.0	170.17781442	85.08890721	7.15556945					
										177.53112407	0.0	170.37555462	85.18777731	7.15556945					
										176.75314227	0.0	169.59757282	84.79878641	7.15556945					
															115.89615389	0.0	110.06454683	55.03227342	5.83160706
															119.88133277	0.0	114.04972571	57.02486285	5.83160706
															120.87095244	0.0	115.03934538	57.51967269	5.83160706
															120.91233123	0.0	115.08072417	57.54036209	5.83160706
571.50642445	0.0	557.77295031	278.88647516	13.73347414															
537.88670205	0.0	524.15322791	262.07661396	13.73347414															
530.93060484	0.0	517.1971307	258.59856535	13.73347414															
448.42446764	0.0	434.6909935	217.34549675	13.73347414															
					320.16305723	0.0	310.16561838	155.08280919	9.99743885										
					315.58176002	0.0	305.58432117	152.79216058	9.99743885										
					313.95482483	0.0	303.95738598	151.97869299	9.99743885										
					310.4260713	0.0	300.42863245	150.21431622	9.99743885										
										172.9229923	0.0	165.77500108	82.88750054	7.14799122					
										175.26685436	0.0	168.11886314	84.05943157	7.14799122					
										175.41603418	0.0	168.26804296	84.13402148	7.14799122					
										174.69657633	0.0	167.54858511	83.77429256	7.14799122					
															113.31629398	0.0	107.49102646	53.74551323	5.82526752
															117.3485229	0.0	111.52325538	55.76162769	5.82526752
															118.31070718	0.0	112.48543966	56.24271983	5.82526752
															118.4796004	0.0	112.65433288	56.32716644	5.82526752
553.20901051	0.0	539.49574123	269.74787061	13.71326928															
520.4325256	0.0	506.71925632	253.35962816	13.71326928															
514.10867657	0.0	500.39540729	250.19770364	13.71326928															
448.42446764	0.0	434.71119836	217.35559918	13.71326928															
					315.61392806	0.0	305.62163466	152.81081733	9.9922934										
					311.7447981	0.0	301.75250469	150.87625235	9.9922934										
					310.7891504	0.0	300.796857	150.3984285	9.9922934										
					307.16001507	0.0	297.16772166	148.58386083	9.9922934										
										169.1929919	0.0	162.04600947	81.02300474	7.14698242					
										171.73377806	0.0	164.58679563	82.29339782	7.14698242					
										172.29891824	0.0	165.15193581	82.57596791	7.14698242					
										171.75722414	0.0	164.61024171	82.30512086	7.14698242					
															111.04939904	0.0	105.22052399	52.61026199	5.82887505
															115.07433537	0.0	109.24546032	54.62273016	5.82887505
															116.18559967	0.0	110.35672462	55.17836231	5.82887505
															116.42947193	0.0	110.60059688	55.30029844	5.82887505
535.53921243	0.0	521.84139314	260.92069657	13.69781929															
509.28183737	0.0	495.58401809	247.79200904	13.69781929															
503.72136687	0.0	490.02354758	245.01177379	13.69781929															
448.6490167	0.0	434.95119741	217.47559871	13.69781929															
					308.99323714	0.0	299.00508907	149.50254453	9.98814808										
					306.62374384	0.0	296.63559576	148.31779788	9.98814808										
					305.45771923	0.0	295.46957115	147.73478557	9.98814808										
					302.33737442	0.0	292.34922635	146.17461317	9.98814808										
										164.38835992	0.0	157.23860921	78.61930461	7.1497507					
										167.20292199	0.0	160.05317129	80.02658564	7.1497507					
										167.6698985	0.0	160.52014779	80.2600739	7.1497507					
										167.1451279	0.0	159.9953772	79.9976886	7.1497507					
															108.53082159	0.0	102.70842368	51.35421184	5.82239791
															112.93548858	0.0	107.11309066	53.55654533	5.82239791
															114.11695782	0.0	108.2945599	54.14727995	5.82239791
															114.35054845	0.0	108.52815054	54.26407527	5.82239791
538.47095447	0.0	524.75466832	262.37733416	13.71628615															
511.71806202	0.0	498.00177587	249.00088794	13.71628615															
505.97244089	0.0	492.25615473	246.12807737	13.71628615															
448.42446764	0.0	434.70818149	217.35409074	13.71628615															
					306.28860316	0.0	296.30006842	148.15003421	9.98853474										
					303.60048131	0.0	293.61194657	146.80597328	9.98853474										
					302.68638213	0.0	292.69784739	146.34892369	9.98853474										
					299.66910393	0.0	289.68056919	144.84028459	9.98853474										
										163.9550059	0.0	156.80843199	78.404216	7.14657391					
										166.7908744	0.0	159.64430049	79.82215024	7.14657391					
										167.29755097	0.0	160.15097706	80.07548853	7.14657391					
										166.9826481	0.0	159.83607419	79.91803709	7.14657391					
															107.21762938	0.0	101.39448277	50.69724138	5.82314661
															111.53251413	0.0	105.70936752	52.85468376	5.82314661
															112.62639536	0.0	106.80324875	53.40162437	5.82314661
															112.7776001	0.0	106.95445349	53.47722675	5.82314661
