Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
531.14566153	0.31644566	518.82575354	259.25465394	13.6340315															
474.17209043	0.10246368	461.85218245	230.87485938	13.6340315															
477.23877004	0.07788076	464.91886206	232.42049065	13.6340315															
405.40573798	0.05442288	393.08583	196.51570356	13.6340315															
					350.68209818	0.31248999	341.70648257	170.69699629	9.93301461										
					332.70113477	0.11558492	323.72551916	161.80496712	9.93301461										
					335.32160321	0.0895992	326.3459876	163.1281942	9.93301461										
					334.03495305	0.05095831	325.05933744	162.50418957	9.93301461										
										200.81582516	0.24919185	194.38833936	97.06957375	7.11308428					
										198.66639529	0.11310872	192.23890949	96.06290039	7.11308428					
										200.18502505	0.07276553	193.75753925	96.84238686	7.11308428					
										199.93078993	0.06902103	193.50330414	96.71714155	7.11308428					
															138.58803543	0.27886309	133.35675182	66.53894437	5.78928719
															141.01227956	0.08736222	135.78099595	67.84681686	5.78928719
															142.31173096	0.08827906	137.08044736	68.49608415	5.78928719
															142.44181022	0.0721138	137.21052661	68.56920641	5.78928719
513.69215873	0.25067054	501.3850687	250.56719908	13.6198463															
447.48366349	0.13775702	435.17657346	217.51940822	13.6198463															
450.68647796	0.09240481	438.37938793	219.14349156	13.6198463															
405.40573798	0.06357724	393.09864796	196.51753536	13.6198463															
					324.20318004	0.25611239	315.22803178	157.48595969	9.93249742										
					305.13104188	0.12511911	296.15589361	148.01538725	9.93249742										
					308.28930862	0.08811373	299.31416035	149.61302331	9.93249742										
					308.03289434	0.0750845	299.05774607	149.49133079	9.93249742										
										185.87429694	0.2887485	179.46041147	89.58583148	7.09803325					
										186.56489594	0.13007272	180.15101047	90.01046888	7.09803325					
										188.05108216	0.08052355	181.6371967	90.77833657	7.09803325					
										188.0904682	0.04897909	181.67658273	90.81380182	7.09803325					
															131.43279373	0.2660053	126.19897339	62.96648404	5.79209452
															134.3759165	0.13155843	129.14209615	64.50526886	5.79209452
															135.50643036	0.0829985	130.27261001	65.09480576	5.79209452
															135.5775845	0.06320731	130.34376415	65.14027842	5.79209452
496.29505604	0.26402372	484.0069139	241.87144509	13.5988773															
