Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
458.79922624	0.0	445.08830257	222.54415129	13.71092366															
435.99839289	0.0	422.28746922	211.14373461	13.71092366															
430.6621748	0.0	416.95125114	208.47562557	13.71092366															
421.97760811	0.0	408.26668444	204.13334222	13.71092366															
					253.07087012	0.0	243.0784932	121.5392466	9.99237692										
					251.96682169	0.0	241.97444477	120.98722239	9.99237692										
					251.1401478	0.0	241.14777087	120.57388544	9.99237692										
					248.80724102	0.0	238.81486409	119.40743205	9.99237692										
										136.24846899	0.0	129.10788927	64.55394464	7.14057971					
										139.70220266	0.0	132.56162294	66.28081147	7.14057971					
										140.30652997	0.0	133.16595026	66.58297513	7.14057971					
										140.10517147	0.0	132.96459176	66.48229588	7.14057971					
															89.76373594	0.0	83.93779661	41.96889831	5.82593933
															94.22093051	0.0	88.39499118	44.19749559	5.82593933
															95.40507583	0.0	89.57913651	44.78956825	5.82593933
															95.75702938	0.0	89.93109005	44.96554503	5.82593933
430.36377661	0.0	416.67084432	208.33542216	13.69293229															
412.68695301	0.0	398.99402072	199.49701036	13.69293229															
408.42973828	0.0	394.73680599	197.368403	13.69293229															
401.29398318	0.0	387.60105089	193.80052545	13.69293229															
					242.27587883	0.0	232.30397799	116.15198899	9.97190084										
					241.65958146	0.0	231.68768062	115.84384031	9.97190084										
					241.0989984	0.0	231.12709756	115.56354878	9.97190084										
					239.3700704	0.0	229.39816956	114.69908478	9.97190084										
										132.44232099	0.0	125.31110882	62.65555441	7.13121218					
										136.04914228	0.0	128.91793011	64.45896505	7.13121218					
										136.74879149	0.0	129.61757931	64.80878966	7.13121218					
										136.63512758	0.0	129.5039154	64.7519577	7.13121218					
															87.9258266	0.0	82.11160988	41.05580494	5.81421672
															92.57878216	0.0	86.76456544	43.38228272	5.81421672
															93.8056519	0.0	87.99143518	43.99571759	5.81421672
															94.14680441	0.0	88.33258769	44.16629384	5.81421672
425.58886162	0.0	411.93266779	205.96633389	13.65619383															
408.76993933	0.0	395.1137455	197.55687275	13.65619383															
405.60179412	0.0	391.94560029	195.97280015	13.65619383															
399.22134256	0.0	385.56514873	192.78257437	13.65619383															
					243.35707134	0.0	233.4002098	116.7001049	9.95686154										
					242.94996949	0.0	232.99310795	116.49655398	9.95686154										
					242.72617027	0.0	232.76930874	116.38465437	9.95686154										
					240.80619264	0.0	230.8493311	115.42466555	9.95686154										
										131.41748609	0.0	124.2888853	62.14444265	7.1286008					
										135.22383726	0.0	128.09523647	64.04761823	7.1286008					
										135.99449369	0.0	128.86589289	64.43294645	7.1286008					
										135.98145193	0.0	128.85285113	64.42642557	7.1286008					
															87.17402632	0.0	81.37067034	40.68533517	5.80335598
															91.77907966	0.0	85.97572368	42.98786184	5.80335598
															93.14283564	0.0	87.33947966	43.66973983	5.80335598
															93.48372501	0.0	87.68036903	43.84018452	5.80335598
401.5715069	0.0	387.93207098	193.96603549	13.63943592															
389.22381358	0.0	375.58437766	187.79218883	13.63943592															
386.95500691	0.0	373.31557099	186.6577855	13.63943592															
381.68533365	0.0	368.04589773	184.02294886	13.63943592															
					231.77745848	0.0	221.8293012	110.9146506	9.94815727										
					232.57671182	0.0	222.62855455	111.31427728	9.94815727										
					232.73641059	0.0	222.78825332	111.39412666	9.94815727										
					231.19866847	0.0	221.2505112	110.6252556	9.94815727										
										126.57346358	0.0	119.45057995	59.72528997	7.12288363					
										130.64023687	0.0	123.51735325	61.75867662	7.12288363					
										131.63340397	0.0	124.51052034	62.25526017	7.12288363					
										131.67002853	0.0	124.5471449	62.27357245	7.12288363					
															84.8764943	0.0	79.06858114	39.53429057	5.80791316
															89.64160511	0.0	83.83369195	41.91684597	5.80791316
															91.03841416	0.0	85.230501	42.6152505	5.80791316
															91.42652723	0.0	85.61861407	42.80930703	5.80791316
402.39881609	0.0	388.7563229	194.37816145	13.64249319															
384.8783228	0.0	371.23582961	185.6179148	13.64249319															
383.8683162	0.0	370.22582301	185.11291151	13.64249319															
379.5556746	0.0	365.91318141	182.95659071	13.64249319															
					230.4669986	0.0	220.51548281	110.2577414	9.95151579										
					230.72578272	0.0	220.77426693	110.38713346	9.95151579										
					230.88636997	0.0	220.93485418	110.46742709	9.95151579										
					229.53182035	0.0	219.58030456	109.79015228	9.95151579										
										126.07937523	0.0	118.95869451	59.47934726	7.12068071					
										130.11531593	0.0	122.99463522	61.49731761	7.12068071					
