Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
811.53784528	0.27911079	799.36154344	399.54121632	13.47510737															
721.68282849	0.08930792	709.50652665	354.70860936	13.47510737															
540.81179609	0.08836172	528.63549425	264.27356626	13.47510737															
405.40573798	0.05980471	393.22943614	196.58481572	13.47510737															
					512.9716273	0.19948709	504.090245	251.94537896	9.82872975										
					486.68112713	0.114832	477.79974483	238.84245642	9.82872975										
					472.34231713	0.10073898	463.46093483	231.68009793	9.82872975										
					405.40573798	0.06054644	396.52435568	198.23190462	9.82872975										
										298.05117844	0.26575761	291.70763857	145.72094048	7.02018412					
										292.5483513	0.10492101	286.20481144	143.04994521	7.02018412					
										287.61764279	0.06509018	281.27410292	140.60450637	7.02018412					
										281.4959508	0.061414	275.15241093	137.54549847	7.02018412					
															200.46718625	0.29147318	195.30217424	97.50535053	5.71594662
															200.10792879	0.12499498	194.94291678	97.4089609	5.71594662
															198.3629509	0.07994489	193.19793889	96.558997	5.71594662
															195.76172321	0.05807336	190.5967112	95.26931892	5.71594662
828.44628453	0.19602682																		
742.22802909	0.13589519																		
540.81179609	0.09661323																		
405.40573798	0.06227967																		
					519.54147568	0.23806045													
					494.7680341	0.11186058													
					480.53267786	0.0810997													
					405.40573798	0.07403292													
										289.04884408	0.28207566								
										285.47851429	0.1054175								
										281.31682615	0.06228457								
										275.99544442	0.03753568								
															197.00848679	0.20789382			
															197.21673521	0.11954112			
															195.61218186	0.09595441			
															193.47014271	0.06957874			
827.43494796	0.221247																		
761.32994233	0.13317202																		
540.81179609	0.05964429																		
405.40573798	0.05151602																		
					500.04903423	0.21482186													
					479.568167	0.14134905													
					468.43127004	0.05947896													
					405.40573798	0.06190786													
										278.97882556	0.18020416								
										276.51068831	0.13143806								
										273.19259269	0.10173096								
										268.65848773	0.04718578								
															191.83676691	0.17426691			
															192.92120612	0.11582497			
															192.02250251	0.06987725			
															190.160333	0.04124812			
774.38091473	0.25339522																		
718.847584	0.15423521																		
540.81179609	0.0475977																		
405.40573798	0.05794942																		
					478.63784027	0.28702212													
					459.81862839	0.11334629													
					450.30998497	0.07301353													
					405.40573798	0.05077429													
										268.4855059	0.24004203								
										266.40220035	0.1054175								
										263.7287024	0.07879008								
										259.68405045	0.02578242								
															184.10934247	0.25735088			
															184.89565321	0.11780717			
															184.2100501	0.09760271			
															182.50728155	0.04001064			
779.37479484	0.24795336																		
710.17407472	0.11359453																		
540.81179609	0.07879008																		
405.60884707	0.05834857																		
					477.07611839	0.15152372													
					459.54478811	0.08757397													
					449.97574399	0.07879008													
					405.60884707	0.06132077													
										264.21627052	0.18465522								
										262.96802783	0.12425025								
										260.55487725	0.09677856								
										257.01071733	0.05423698								
															179.66605785	0.13124249			
															181.31332748	0.13342026			
															180.71428607	0.07746994			
															179.38566475	0.04805145			
