Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
588.17342906	0.34901191	575.74688513	287.69893661	13.75204194															
485.38654434	0.14702405	472.96000041	236.40648818	13.75204194															
493.64121829	0.07848965	481.21467437	240.56809236	13.75204194															
408.22064752	0.05427177	395.7941036	197.86991591	13.75204194															
					416.05831249	0.21947669	407.0082238	203.39437356	10.01543148										
					377.18617109	0.16435371	368.1360824	183.98586435	10.01543148										
					380.19641605	0.10768107	371.14632737	185.51932315	10.01543148										
					380.00118056	0.05748686	370.95109187	185.4468025	10.01543148										
										270.7155018	0.26001601	264.23421293	131.98709846	7.17262635					
										251.21579158	0.1316746	244.73450271	122.30141405	7.17262635					
										252.93695427	0.08838535	246.4556654	123.18364003	7.17262635					
										252.57805556	0.06935811	246.09676668	123.01370429	7.17262635					
															206.95643636	0.25012508	201.67526736	100.71257114	5.8444937
															196.90816383	0.13588302	191.62699482	95.7455559	5.8444937
															197.36620244	0.05474049	192.08503343	96.01514647	5.8444937
															197.07306647	0.06172196	191.79189747	95.86508776	5.8444937
592.33162147	0.23726986	579.87556962	289.81914988	13.78469738															
499.62990481	0.11682114	487.17385296	243.52851591	13.78469738															
504.51333667	0.10890782	492.05728482	245.9741885	13.78469738															
