Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
943.37892814	0.19553143	931.12436197	465.46441527	13.5617199															
812.03135281	0.10219408	799.77678664	399.83729628	13.5617199															
540.81179609	0.05452906	528.55722992	264.25135043	13.5617199															
405.40573798	0.0620318	393.15117181	196.54457001	13.5617199															
					557.16597778	0.12283577	548.23825059	274.05770741	9.8800181										
					523.81232197	0.1039318	514.88459477	257.39033149	9.8800181										
					500.619251	0.08522545	491.69152381	245.80314918	9.8800181										
					405.40573798	0.06240361	396.47801079	198.20780359	9.8800181										
										288.3911229	0.22520266	282.00396019	140.88937876	7.06846006					
										281.66394057	0.15051906	275.27677786	137.5631294	7.06846006					
										275.98170591	0.09265281	269.5945432	134.7509452	7.06846006					
										269.31646157	0.0658663	262.92929886	131.43171628	7.06846006					
															189.29788331	0.21136159	184.09212145	91.94037993	5.76104312
															188.20316449	0.13639168	182.99740264	91.43050548	5.76104312
															186.38646293	0.06558617	181.18070107	90.55755745	5.76104312
															183.64749937	0.04953681	178.44173752	89.19610036	5.76104312
945.93673439	0.27366894	933.67576154	466.7010463	13.56880995															
812.03135281	0.09253134	799.77037996	399.83892431	13.56880995															
540.81179609	0.07086673	528.55082324	264.23997826	13.56880995															
405.40573798	0.07106222	393.14476513	196.53685146	13.56880995															
					579.48129253	0.21927292	570.54788982	285.16430845	9.886299										
					546.2929175	0.10442452	537.35951479	268.62754513	9.886299										
					523.39470942	0.06443136	514.4613067	257.19843767	9.886299										
					405.40573798	0.04842326	396.47233527	198.211956	9.886299										
										305.19608437	0.21828213	298.80553201	149.29362494	7.07221127					
