Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
456.93205064	0.26748399	444.68802377	222.21026989	13.5500564															
415.9387011	0.12685306	403.69467424	201.78391059	13.5500564															
426.97991733	0.08349198	414.73589047	207.32619924	13.5500564															
400.78869179	0.05219579	388.54466492	194.24623456	13.5500564															
					279.27548539	0.3110038	270.35394669	135.02147144	9.87316949										
					274.78850928	0.1213992	265.86697058	132.87278569	9.87316949										
					280.7756989	0.09686122	271.8541602	135.87864949	9.87316949										
					282.1814647	0.06902103	273.259926	136.59545248	9.87316949										
										148.27557796	0.29963221	141.89820168	70.79928474	7.05762975					
										158.15607698	0.12437437	151.7787007	75.82716316	7.05762975					
										162.31001002	0.10527806	155.93263374	77.91367784	7.05762975					
										163.88734289	0.05083438	157.50996661	78.72956611	7.05762975					
															94.813751	0.25017514	89.62436377	44.68709431	5.74292187
															107.3373182	0.13007272	102.14793097	51.00892913	5.74292187
															111.38013527	0.10247244	106.19074804	53.0441378	5.74292187
															113.18329244	0.06617614	107.99390521	53.96386453	5.74292187
445.76160679	0.28331415	433.54402562	216.63035573	13.52078982															
414.97047518	0.13279965	402.75289401	201.31004718	13.52078982															
422.84247996	0.0929008	410.62489879	205.265999	13.52078982															
400.78869179	0.07124812	388.57111062	194.24993125	13.52078982															
					283.22278072	0.3223754	274.32405255	137.00083858	9.84792584										
					285.16441324	0.14692327	276.26568507	138.0593809	9.84792584										
					290.05248998	0.0692986	281.15376181	140.54223161	9.84792584										
					291.06458563	0.07001064	282.16585746	141.04792341	9.84792584										
										154.22715673	0.30408327	147.86133799	73.77862736	7.0448394					
										164.87442202	0.10454865	158.50860328	79.20202732	7.0448394					
										169.13895291	0.07804609	162.77313417	81.34754404	7.0448394					
										170.74903731	0.05677391	164.38321857	82.16322233	7.0448394					
															99.88111489	0.30655274	94.70324676	47.19834701	5.73017407
															112.35294509	0.12536359	107.17507695	53.52485668	5.73017407
															116.55894038	0.08662826	111.38107225	55.647222	5.73017407
															118.41030608	0.0718678	113.23243795	56.58028507	5.73017407
460.38139762	0.28034177	448.17447229	223.94706526	13.50899737															
405.98014168	0.15782723	393.77321634	196.80769456	13.50899737															
414.84871743	0.08646293	402.6417921	201.27766459	13.50899737															
400.78869179	0.06234164	388.58176646	194.25971241	13.50899737															
					287.50883707	0.24671487	278.61072813	139.18200663	9.84724056										
					278.07797016	0.07184052	269.17986122	134.55401035	9.84724056										
					284.3943487	0.0692986	275.49623976	137.71347058	9.84724056										
					286.4030333	0.06444479	277.50492436	138.72023979	9.84724056										
										156.69928193	0.2551216	150.33126035	75.03806938	7.04727721					
										167.65929915	0.12016174	161.29127757	80.58555792	7.04727721					
										171.92585421	0.0862976	165.55783264	82.73576752	7.04727721					
										173.68902604	0.0815179	167.32100447	83.61974328	7.04727721					
															102.29339472	0.30605735	97.10436846	48.39915556	5.74252239
															114.86026204	0.12809052	109.67123578	54.77157263	5.74252239
															119.01688878	0.08217184	113.82786253	56.87284534	5.74252239
															120.81664935	0.06271157	115.6276231	57.78245576	5.74252239
468.39576161	0.20468124	456.20352891	227.99942383	13.49273752															
444.81552909	0.15584504	432.62329639	216.23372568	13.49273752															
451.23358717	0.07986222	439.04135447	219.48074612	13.49273752															
400.78869179	0.06271157	388.59645909	194.26687376	13.49273752															
					299.32552542	0.31001301	290.43161906	145.06080302	9.84258971										
					288.10842653	0.10108074	279.21452017	139.55671971	9.84258971										
					294.85800601	0.10032816	285.96409965	142.93188575	9.84258971										
					296.95216825	0.04897909	288.05826189	144.0046414	9.84258971										
										165.38013411	0.25907726	159.02264326	79.381783	7.0356232					
										174.20344032	0.13378887	167.84594948	83.85608031	7.0356232					
										178.88568888	0.09702655	172.52819803	86.21558574	7.0356232					
										180.659001	0.06654795	174.30151016	87.11748111	7.0356232					
															106.61996847	0.24721027	101.44439419	50.59859196	5.72763554
															118.61876254	0.14692327	113.44318826	56.64813249	5.72763554
															122.77073898	0.10280311	117.5951647	58.74618079	5.72763554
															124.6566531	0.06877504	119.48107882	59.70615189	5.72763554
477.95058297	0.26155424	465.75929545	232.74887061	13.49169151															
431.55001881	0.14816449	419.35873129	209.6052834	13.49169151															
438.83322144	0.09190882	426.64193393	213.27501256	13.49169151															
400.78869179	0.06728968	388.59740427	194.2650573	13.49169151															
					302.08696207	0.22545036	293.19472867	146.48463916	9.84073829										
					294.42492728	0.1461823	285.53269389	142.69325579	9.84073829										
					300.46961924	0.08827906	291.57738584	145.74455339	9.84073829										
					302.0825532	0.05862919	293.19031981	146.56584531	9.84073829										
										168.03177292	0.31941053	161.67118087	80.67588517	7.0390552					
										177.00244483	0.14989845	170.64185279	85.24597717	7.0390552					
										181.67144038	0.06203908	175.31084833	87.62440463	7.0390552					
										183.50270854	0.05655436	177.1421165	88.54278107	7.0390552					
															109.20236439	0.30309247	104.02476716	51.86083734	5.72987427
															121.53992227	0.13131394	116.36232504	58.11550555	5.72987427
															125.76441383	0.1131989	120.5868166	60.23680885	5.72987427
															127.47894404	0.07397096	122.30134681	61.11368793	5.72987427
