Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
793.60347018	0.0	779.84109487	389.92054743	13.76237532															
728.2986238	0.0	714.53624848	357.26812424	13.76237532															
598.09885604	0.0	584.33648073	292.16824036	13.76237532															
448.42446764	0.0	434.66209233	217.33104616	13.76237532															
					454.85797198	0.0	444.83891293	222.41945647	10.01905905										
					435.67920882	0.0	425.66014977	212.83007488	10.01905905										
					419.22741218	0.0	409.20835313	204.60417657	10.01905905										
					401.88453981	0.0	391.86548076	195.93274038	10.01905905										
										244.52854733	0.0	237.36468626	118.68234313	7.16386107					
										240.72945752	0.0	233.56559644	116.78279822	7.16386107					
										236.55956883	0.0	229.39570775	114.69785388	7.16386107					
										231.67385598	0.0	224.50999491	112.25499746	7.16386107					
															159.69097849	0.0	153.85097568	76.92548784	5.84000281
															160.31677876	0.0	154.47677595	77.23838797	5.84000281
															159.13217109	0.0	153.29216828	76.64608414	5.84000281
															157.26043026	0.0	151.42042744	75.71021372	5.84000281
801.53969358	0.0	787.80033871	393.90016935	13.73935487															
733.91821032	0.0	720.17885545	360.08942773	13.73935487															
598.09885604	0.0	584.35950117	292.17975059	13.73935487															
448.6490167	0.0	434.90966183	217.45483092	13.73935487															
					447.80071819	0.0	437.79313311	218.89656655	10.00758508										
					430.07696247	0.0	420.06937739	210.0346887	10.00758508										
					414.58663728	0.0	404.5790522	202.2895261	10.00758508										
					397.79935708	0.0	387.791772	193.895886	10.00758508										
										238.77987355	0.0	231.61809953	115.80904976	7.16177402					
										236.0319985	0.0	228.87022447	114.43511224	7.16177402					
										232.06924389	0.0	224.90746987	112.45373493	7.16177402					
										227.32851722	0.0	220.16674319	110.0833716	7.16177402					
															156.60060296	0.0	150.76595386	75.38297693	5.8346491
															157.58971728	0.0	151.75506819	75.87753409	5.8346491
															156.63269092	0.0	150.79804182	75.39902091	5.8346491
															154.9000731	0.0	149.065424	74.532712	5.8346491
770.72095817	0.0	756.95718563	378.47859281	13.76377255															
710.61136122	0.0	696.84758868	348.42379434	13.76377255															
598.09885604	0.0	584.33508349	292.16754175	13.76377255															
448.6490167	0.0	434.88524415	217.44262208	13.76377255															
					431.34068521	0.0	421.32858887	210.66429443	10.01209634										
					416.4141021	0.0	406.40200576	203.20100288	10.01209634										
					402.80840537	0.0	392.79630903	196.39815452	10.01209634										
					388.15776469	0.0	378.14566835	189.07283417	10.01209634										
										235.2410018	0.0	228.07932862	114.03966431	7.16167318					
										232.4010978	0.0	225.23942461	112.61971231	7.16167318					
										228.84054112	0.0	221.67886794	110.83943397	7.16167318					
										224.45108626	0.0	217.28941308	108.64470654	7.16167318					
															154.46393846	0.0	148.61966069	74.30983034	5.84427778
															155.78071648	0.0	149.93643871	74.96821935	5.84427778
															154.92117053	0.0	149.07689275	74.53844637	5.84427778
															153.45714635	0.0	147.61286857	73.80643428	5.84427778
736.21081373	0.0	722.45188208	361.22594104	13.75893164															
686.9454498	0.0	673.18651816	336.59325908	13.75893164															
598.09885604	0.0	584.3399244	292.1699622	13.75893164															
448.42446764	0.0	434.665536	217.332768	13.75893164															
					419.8578337	0.0	409.84457687	204.92228844	10.01325683										
					406.60882891	0.0	396.59557208	198.29778604	10.01325683										
					394.24901929	0.0	384.23576247	192.11788123	10.01325683										
