Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
272.575504	0.0	258.82346206	129.41173103	13.75204194															
250.88586728	0.0	237.13382534	118.56691267	13.75204194															
254.39795597	0.0	240.64591403	120.32295702	13.75204194															
255.44721609	0.0	241.69517415	120.84758707	13.75204194															
					176.49485014	0.0	166.47941866	83.23970933	10.01543148										
					173.77687961	0.0	163.76144813	81.88072406	10.01543148										
					175.67292694	0.0	165.65749545	82.82874773	10.01543148										
					175.96604014	0.0	165.95060866	82.97530433	10.01543148										
										103.40867537	0.0	96.23604902	48.11802451	7.17262635					
										106.46977194	0.0	99.29714559	49.64857279	7.17262635					
										107.53558678	0.0	100.36296043	50.18148021	7.17262635					
										107.77851384	0.0	100.60588748	50.30294374	7.17262635					
															72.02597349	0.0	66.18147979	33.09073989	5.8444937
															76.02624103	0.0	70.18174733	35.09087367	5.8444937
															77.17251348	0.0	71.32801978	35.66400989	5.8444937
															77.60677798	0.0	71.76228428	35.88114214	5.8444937
253.26230242	0.0	239.47760504	119.73880252	13.78469738															
237.35210185	0.0	223.56740447	111.78370224	13.78469738															
240.53688672	0.0	226.75218933	113.37609467	13.78469738															
241.36828293	0.0	227.58358555	113.79179278	13.78469738															
					164.08714726	0.0	154.05423808	77.02711904	10.03290918										
					162.94725917	0.0	152.91434999	76.45717499	10.03290918										
					164.5579498	0.0	154.52504062	77.26252031	10.03290918										
					164.87924647	0.0	154.84633729	77.42316864	10.03290918										
										97.23684154	0.0	90.05733426	45.02866713	7.17950728					
										100.70691478	0.0	93.5274075	46.76370375	7.17950728					
										101.64942957	0.0	94.4699223	47.23496115	7.17950728					
										101.89643719	0.0	94.71692991	47.35846496	7.17950728					
															68.62440996	0.0	62.7789439	31.38947195	5.84546606
															72.89181007	0.0	67.04634401	33.523172	5.84546606
															74.09830264	0.0	68.25283658	34.12641829	5.84546606
															74.57947137	0.0	68.73400531	34.36700266	5.84546606
251.07344697	0.0	237.31263652	118.65631826	13.76081045															
241.76682445	0.0	228.006014	114.003007	13.76081045															
244.28251105	0.0	230.5217006	115.2608503	13.76081045															
244.84999584	0.0	231.08918539	115.5445927	13.76081045															
					159.14945268	0.0	149.12261783	74.56130892	10.02683485										
					160.21252976	0.0	150.18569491	75.09284745	10.02683485										
					161.50615394	0.0	151.47931909	75.73965954	10.02683485										
					161.68054997	0.0	151.65371512	75.82685756	10.02683485										
										93.75047619	0.0	86.58085123	43.29042562	7.16962496					
										97.3418012	0.0	90.17217625	45.08608812	7.16962496					
										98.35326298	0.0	91.18363803	45.59181901	7.16962496					
										98.64003729	0.0	91.47041233	45.73520617	7.16962496					
															66.83907615	0.0	60.98991757	30.49495879	5.84915857
															70.96090822	0.0	65.11174964	32.55587482	5.84915857
															72.18766535	0.0	66.33850678	33.16925339	5.84915857
															72.69154747	0.0	66.8423889	33.42119445	5.84915857
242.77242546	0.0	229.01165092	114.50582546	13.76077454															
231.58287831	0.0	217.82210377	108.91105188	13.76077454															
234.45055157	0.0	220.68977703	110.34488852	13.76077454															
235.2216301	0.0	221.46085556	110.73042778	13.76077454															
					153.66754873	0.0	143.64777425	71.82388712	10.01977448										
					154.78799739	0.0	144.76822291	72.38411146	10.01977448										
					155.89264176	0.0	145.87286727	72.93643364	10.01977448										
					156.11615884	0.0	146.09638436	73.04819218	10.01977448										
										91.19320622	0.0	84.02160734	42.01080367	7.17159889					
										94.72598302	0.0	87.55438413	43.77719207	7.17159889					
										95.85197931	0.0	88.68038042	44.34019021	7.17159889					
										96.24467824	0.0	89.07307936	44.53653968	7.17159889					
															63.35420562	0.0	57.51498566	28.75749283	5.83921996
															67.62621273	0.0	61.78699276	30.89349638	5.83921996
															68.90191255	0.0	63.06269259	31.53134629	5.83921996
															69.4362518	0.0	63.59703184	31.79851592	5.83921996
246.43678327	0.0	232.68362722	116.34181361	13.75315605															
236.62279549	0.0	222.86963944	111.43481972	13.75315605															
239.03871178	0.0	225.28555573	112.64277786	13.75315605															
239.3122238	0.0	225.55906775	112.77953387	13.75315605															
					152.46598379	0.0	142.45353692	71.22676846	10.01244687										
					153.17789719	0.0	143.16545033	71.58272516	10.01244687										
					154.62793618	0.0	144.61548931	72.30774466	10.01244687										
					155.02876532	0.0	145.01631845	72.50815923	10.01244687										
										89.62394647	0.0	82.45655379	41.2282769	7.16739267					
										93.40410406	0.0	86.23671138	43.11835569	7.16739267					
										94.49547507	0.0	87.32808239	43.6640412	7.16739267					
										94.88949439	0.0	87.72210172	43.86105086	7.16739267					
															62.77039023	0.0	56.92593297	28.46296648	5.84445726
															67.05581643	0.0	61.21135917	30.60567958	5.84445726
															68.33207987	0.0	62.48762261	31.2438113	5.84445726
															68.88271777	0.0	63.0382605	31.51913025	5.84445726
