Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
973.94640606	0.22461735	961.52660616	480.65099441	13.74457855															
810.40566441	0.09259384	797.98586452	398.94663534	13.74457855															
540.09023266	0.08725567	527.67043276	263.79158854	13.74457855															
405.20283221	0.0485229	392.78303231	196.36725471	13.74457855															
					538.74755402	0.24093637	529.69841356	264.72873859	10.01438211										
					502.58281939	0.09392285	493.53367893	246.71987804	10.01438211										
					472.4012942	0.07868496	463.35215374	231.63673439	10.01438211										
					405.20283221	0.05223161	396.15369175	198.05073007	10.01438211										
										261.74123649	0.30272359	255.27536049	127.48631845	7.15556945					
										254.26210961	0.11954955	247.7962336	123.83834203	7.15556945					
										247.78636091	0.09071548	241.3204849	120.61488471	7.15556945					
										240.62499625	0.05161411	234.15912024	117.05375306	7.15556945					
															166.74516807	0.27454982	161.47564362	80.6005469	5.83160706
															164.92892267	0.12375375	159.65939822	79.76782223	5.83160706
															162.67637592	0.0860999	157.40685147	78.66037578	5.83160706
															159.91046734	0.05730105	154.64094289	77.29182092	5.83160706
990.46919268	0.22461735	978.05942689	488.91740477	13.73347414															
811.21769414	0.11546092	798.80792835	399.34623371	13.73347414															
540.09023266	0.07011424	527.68046687	263.80517631	13.73347414															
405.20283221	0.06348536	392.79306642	196.36479053	13.73347414															
					553.59637605	0.2572479	544.56254576	272.15264893	9.99743885										
					515.86888527	0.12486974	506.83505498	253.35509262	9.99743885										
					485.36863159	0.08066127	476.3348013	238.12707001	9.99743885										
					405.20283221	0.05495308	396.16900192	198.05702442	9.99743885										
										266.09230192	0.2572479	259.63327371	129.68801291	7.14799122					
										259.42209544	0.12338176	252.96306723	126.41984274	7.14799122					
										252.72994913	0.07753169	246.27092093	123.09669462	7.14799122					
										245.71457583	0.05581832	239.25554762	119.59986465	7.14799122					
															167.68290816	0.26367047	162.41911221	81.07772087	5.82526752
															166.34658818	0.14393161	161.08279223	80.46943031	5.82526752
															163.99198299	0.11032855	158.72818704	79.30892924	5.82526752
															161.28542793	0.04543168	156.02163198	77.98810015	5.82526752
982.43692977	0.23648709	970.04542139	484.90446715	13.71326928															
810.40566441	0.11484985	798.01415603	398.94965309	13.71326928															
540.09023266	0.07621081	527.69872427	263.81125673	13.71326928															
405.20283221	0.07263514	392.81132382	196.36934434	13.71326928															
					558.91898639	0.29042425	549.88980561	274.79969068	9.9922934										
					521.06327327	0.1054542	512.03409249	255.96431914	9.9922934										
					491.92329386	0.06846564	482.89411308	241.41282372	9.9922934										
					405.20283221	0.06744182	396.17365142	198.0531048	9.9922934										
										263.96669418	0.31853992	257.50857753	128.59501881	7.14698242					
										257.00854354	0.12375375	250.5504269	125.21333657	7.14698242					
										250.76672031	0.07555287	244.30860367	122.1165254	7.14698242					
										243.83181306	0.05792042	237.37369642	118.657888	7.14698242					
															167.83610917	0.26471383	162.5690534	81.15216978	5.82887505
															166.60149775	0.12004505	161.33444198	80.60719847	5.82887505
															164.4726009	0.06451051	159.20554513	79.57051731	5.82887505
															161.88579204	0.0664527	156.61873627	78.27614179	5.82887505
994.51474635	0.25185862	982.1371988	490.94267009	13.69781929															
810.40566441	0.13315315	798.02811687	398.94748186	13.69781929															
540.09023266	0.06286191	527.71268511	263.8249116	13.69781929															
405.20283221	0.0554467	392.82528466	196.38491898	13.69781929															
					560.31675255	0.17868221	551.29131754	275.55631767	9.98814808										
					522.82943694	0.10891517	513.80400193	256.84754338	9.98814808										
					493.11244413	0.09335223	484.08700912	241.99682844	9.98814808										
					405.20283221	0.04468844	396.1773972	198.06635438	9.98814808										
										272.14837402	0.23109366	265.68775592	132.72833113	7.1497507					
										265.11628378	0.14650526	258.65566568	129.25458021	7.1497507					
										258.56656771	0.07077218	252.10594961	126.01758871	7.1497507					
										251.11554805	0.06768956	244.65492994	122.29362019	7.1497507					
															170.96621399	0.23005702	165.70501105	82.73747701	5.82239791
															169.40750375	0.1197973	164.14630082	82.01325176	5.82239791
															167.09326551	0.0711024	161.83206258	80.88048009	5.82239791
															164.36243056	0.05680743	159.10122762	79.5222101	5.82239791
958.51218731	0.19648289	946.11795284	472.96073497	13.71628615															
810.40566441	0.13710961	798.01142994	398.93716016	13.71628615															
540.09023266	0.07308122	527.69599818	263.81145848	13.71628615															
405.20283221	0.04543168	392.80859773	196.38158302	13.71628615															
					539.32557785	0.30228887	530.29979344	264.99875228	9.98853474										
					506.23258634	0.15392643	497.20680193	248.52643775	9.98853474										
					479.80368162	0.08362825	470.77789721	235.34713448	9.98853474										
					405.20283221	0.05495308	396.1770478	198.06104736	9.98853474										
										261.70807985	0.23455323	255.25033234	127.50788955	7.14657391					
										255.57486111	0.16728228	249.1171136	124.47491566	7.14657391					
										249.58641094	0.07621081	243.12866343	121.52622631	7.14657391					
										243.13101727	0.05470533	236.67326976	118.30928221	7.14657391					
															166.71426856	0.19598759	161.45238909	80.62820075	5.82314661
															165.50664414	0.12622748	160.24476468	80.0592686	5.82314661
															163.51894513	0.06714726	158.25706566	79.0949592	5.82314661
															161.10031156	0.05680743	155.83843209	77.89081233	5.82314661
