Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
531.72256903	0.25329382	519.33318018	259.53994318	13.71092366															
478.70353979	0.12078453	466.31415094	233.0966832	13.71092366															
477.68699049	0.08165193	465.29760164	232.60797485	13.71092366															
405.20283221	0.05816817	392.81344335	196.37763759	13.71092366															
					310.27576531	0.21819478	301.24650905	150.51415714	9.99237692										
					298.32884384	0.1054542	289.29958759	144.59706669	9.99237692										
					299.03318546	0.0760482	290.0039292	144.9639405	9.99237692										
					297.7267286	0.0670702	288.69747235	144.31520108	9.99237692										
										163.70556723	0.13910564	157.25323616	78.55706526	7.14057971					
										165.05628754	0.10050676	158.60395647	79.25172486	7.14057971					
										165.9372073	0.0793429	159.48487624	79.70276667	7.14057971					
										165.82259572	0.05989865	159.37026465	79.655183	7.14057971					
															107.77869148	0.25477191	102.51428847	51.12975828	5.82593933
															111.24837838	0.12004505	105.98397537	52.93196516	5.82593933
															112.26083306	0.05709306	106.99643005	53.46966849	5.82593933
															112.53429992	0.06150526	107.26989692	53.60419583	5.82593933
494.41819478	0.14256453	482.04506319	240.95124933	13.69293229															
448.55500751	0.10619369	436.18187592	218.03784111	13.69293229															
448.96361658	0.06797031	436.59048499	218.26125734	13.69293229															
405.20283221	0.04740991	392.82970062	196.39114535	13.69293229															
					308.31871999	0.2577431	299.30796622	149.52511156	9.97190084										
					299.10071697	0.078003	290.0899632	145.0059801	9.97190084										
					299.62178286	0.07340894	290.61102908	145.26881007	9.97190084										
					298.29682808	0.04876877	289.28607431	144.61865277	9.97190084										
										165.15090054	0.19252802	158.70703412	79.25725305	7.13121218					
										166.5876464	0.11484985	160.14377997	80.01446506	7.13121218					
										167.51520931	0.07703636	161.07134288	80.49715326	7.13121218					
										167.52414227	0.06880255	161.08027584	80.50573665	7.13121218					
															108.87163866	0.19347989	103.61782837	51.71217424	5.81421672
															112.10209835	0.12152778	106.84828806	53.36338014	5.81421672
															113.18153621	0.07098465	107.92772593	53.92837064	5.81421672
															113.38011449	0.06793544	108.1263042	54.02918438	5.81421672
516.96571879	0.24538565	504.6257846	252.19019947	13.65619383															
469.84808934	0.10223724	457.50815516	228.70295896	13.65619383															
470.61257593	0.05498832	458.27264175	229.10882672	13.65619383															
405.20283221	0.05223161	392.86289802	196.40533321	13.65619383															
					316.40151091	0.19302331	307.40434687	153.60566178	9.95686154										
					303.11343093	0.08245495	294.11626689	147.01690597	9.95686154										
					304.35839619	0.06537717	295.36123215	147.64792749	9.95686154										
					303.23851914	0.05458146	294.2413551	147.09338682	9.95686154										
