Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
219.14968462	22.76843963	206.90565775	92.06860906	13.5500564															
209.7368681	11.34907598	197.49284124	93.07188263	13.5500564															
209.8297996	7.49252505	197.58577273	95.04662384	13.5500564															
209.97816475	5.62275789	197.73413788	96.05569	13.5500564															
					146.58958751	22.73137515	137.66804881	57.46833683	9.87316949										
					143.54377131	11.44809178	134.62223262	61.58707042	9.87316949										
					143.62883267	7.59556363	134.70729397	63.55586517	9.87316949										
					143.38705809	5.65674449	134.46551939	64.40438745	9.87316949										
										88.16345364	22.74372747	81.78607736	29.52117494	7.05762975					
										86.83777959	11.38620737	80.46040331	34.53709797	7.05762975					
										86.48300601	7.56259018	80.10562973	36.27151977	7.05762975					
										86.18848085	5.69690911	79.81110456	37.05709772	7.05762975					
															63.96028234	22.7560873	58.77089511	18.0074039	5.74292187
															62.88177533	11.38620737	57.69238809	23.15309036	5.74292187
															62.39644289	7.60792836	57.20705565	24.79956365	5.74292187
															62.1819498	5.67837131	56.99256257	25.65709563	5.74292187
219.68093963	22.59546956	207.46335846	92.43394445	13.52078982															
210.94982949	11.2376818	198.73224832	93.74728326	13.52078982															
211.04979208	7.50488978	198.83221092	95.66366057	13.52078982															
211.21093265	5.7	198.99335148	96.64667574	13.52078982															
					148.49223568	22.6572462	139.59350751	58.46813066	9.84792584										
					145.67264293	11.25624749	136.77391476	62.75883363	9.84792584										
					145.63192635	7.56671343	136.73319818	64.58324238	9.84792584										
					145.35825113	5.62275789	136.45952296	65.41838253	9.84792584										
										89.52248698	22.87963306	83.15666825	30.13851759	7.0448394					
										88.06311936	11.38620737	81.69730062	35.15554662	7.0448394					
										87.82252255	7.59144289	81.45670381	36.93263046	7.0448394					
										87.50775789	5.68146219	81.14193915	37.73023848	7.0448394					
															64.77570084	22.66959852	59.59783271	18.4641171	5.73017407
															63.57489719	11.36145436	58.39702906	23.51778735	5.73017407
															63.22076152	7.59556363	58.04289339	25.22366488	5.73017407
															62.96053956	5.6907311	57.78267143	26.04597017	5.73017407
217.07406638	22.64489387	204.86714105	91.11112359	13.50899737															
