Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
442.29089454	0.2696593	427.48525721	213.60779896	16.38490531															
431.00831663	0.1317986	416.2026793	208.03544035	16.38490531															
431.24879589	0.06554239	416.44315857	208.18880809	16.38490531															
405.20283221	0.06744182	390.39719488	195.16487653	16.38490531															
					339.04676056	0.23455323	328.42786801	164.09665739	11.75157442										
					338.06118111	0.11446894	327.44228856	163.66390981	11.75157442										
					338.3577762	0.08368408	327.73888365	163.82759979	11.75157442										
					337.58029092	0.07535473	326.96139837	163.44302182	11.75157442										
										240.99264309	0.22664349	233.38480218	116.57907934	8.41934394					
										243.18816508	0.10209168	235.58032417	117.73911624	8.41934394					
										243.62850551	0.08368408	236.0206646	117.96849026	8.41934394					
										243.19037538	0.06731794	235.58253446	117.75760826	8.41934394					
															190.05553082	0.26075896	183.74955313	91.74439709	6.97861531
															192.92668963	0.10035947	186.62071194	93.26017624	6.97861531
															193.54232143	0.10727053	187.23634374	93.56453661	6.97861531
															193.3881494	0.04604917	187.08217171	93.51806127	6.97861531
479.8483415	0.22565289	465.12486101	232.44960406	16.29398508															
462.49338051	0.12437375	447.76990002	223.82276314	16.29398508															
462.27943007	0.06785047	447.55594958	223.74404956	16.29398508															
405.20283221	0.05779655	390.47935171	195.21077758	16.29398508															
					363.36122924	0.26520913	352.81820597	176.27649842	11.66761242										
					361.03484594	0.13774299	350.49182267	175.17703984	11.66761242										
					361.04920644	0.08022196	350.50618317	175.21298061	11.66761242										
					359.87859422	0.06002252	349.33557095	174.63777421	11.66761242										
										252.98394537	0.25037272	245.41983329	122.58473028	8.3709507					
										254.57060245	0.12090556	247.00649038	123.44279241	8.3709507					
										254.87161382	0.08187166	247.30750174	123.61281504	8.3709507					
										254.33759009	0.07300676	246.77347801	123.35023563	8.3709507					
															195.90902041	0.27311887	189.61812588	94.6725035	6.96192329
															198.42353582	0.10308367	192.13264129	96.01477881	6.96192329
															198.92555908	0.08236482	192.63466454	96.27614986	6.96192329
															198.69119369	0.0685548	192.40029916	96.16587218	6.96192329
505.65570342	0.2390034	490.99179918	245.37639789	16.22805403															
473.19913076	0.13081037	458.53522652	229.20220808	16.22805403															
473.12308077	0.06587283	458.45917653	229.19665185	16.22805403															
405.20283221	0.06570946	390.53892797	195.23660925	16.22805403															
					376.67222834	0.26669502	366.17495216	182.95412857	11.61698564										
					374.18907565	0.11372871	363.69179948	181.78903538	11.61698564										
					374.11813168	0.06372747	363.6208555	181.77856401	11.61698564										
					372.8131738	0.06200075	362.31589762	181.12694844	11.61698564										
										262.61634231	0.31909896	255.07499607	127.37794856	8.3457565					
										263.93393161	0.09986348	256.39258538	128.14636095	8.3457565					
										264.12777787	0.08104556	256.58643164	128.25269304	8.3457565					
										263.4248705	0.03751689	255.88352426	127.92300368	8.3457565					
															202.97829948	0.23455323	196.69192352	98.22868514	6.95692273
															205.48299349	0.14293963	199.19661753	99.52683895	6.95692273
															205.91722881	0.07989152	199.63085284	99.77548066	6.95692273
															205.63782095	0.05606607	199.35144499	99.64768946	6.95692273
515.60318441	0.16484391	500.88781522	250.36148566	16.28500857															
487.48307615	0.12412575	472.76770696	236.3217906	16.28500857															
486.83821262	0.08483812	472.12284342	236.01900265	16.28500857															
405.20283221	0.03615616	390.48746301	195.22565343	16.28500857															
					387.83691715	0.17077246	377.31046899	188.56984826	11.6492693										
					383.11685997	0.12313377	372.59041181	186.23363902	11.6492693										
					382.8638251	0.07510764	372.33737694	186.13113465	11.6492693										
					381.39720345	0.05433371	370.87075529	185.40821079	11.6492693										
										269.69552732	0.24147238	262.14336863	130.95094812	8.35772228					
										270.18960797	0.10828031	262.63744928	131.26458448	8.35772228					
										270.35162133	0.06059579	262.79946264	131.36943342	8.35772228					
										269.63180556	0.03541479	262.07964687	131.02211604	8.35772228					
															206.97374175	0.24987743	200.67428983	100.2122062	6.97139345
															209.22513277	0.12957039	202.92568085	101.39805523	6.97139345
															209.6224516	0.07840704	203.32299969	101.62229632	6.97139345
															209.27146772	0.06088776	202.9720158	101.45556402	6.97139345
515.04051931	0.25779468	500.35799988	250.0501026	16.24865483															
496.36822771	0.08426979	481.68570828	240.80071924	16.24865483															
495.42415304	0.06570761	480.74163361	240.337963	16.24865483															
405.20283221	0.0411036	390.52031278	195.23960459	16.24865483															
					390.39707074	0.25877777	379.90098287	189.82110255	11.61567058										
					381.08556613	0.11100451	370.58947826	185.23923688	11.61567058										
					381.06134179	0.06273865	370.56525392	185.25125763	11.61567058										
					379.81853416	0.06509197	369.32244629	184.62867716	11.61567058										
										272.20919051	0.15742195	264.66843468	132.25550636	8.34510313					
										272.08149048	0.11942134	264.54073464	132.21065665	8.34510313					
										272.34206525	0.07774616	264.80130941	132.36178163	8.34510313					
										271.65791667	0.06472035	264.11716083	132.02622024	8.34510313					
															209.83794777	0.25828247	203.54402318	101.64287035	6.96527655
															211.73342811	0.11942134	205.43950352	102.66004109	6.96527655
															212.16440087	0.07313001	205.87047628	102.89867314	6.96527655
															211.80676239	0.05804429	205.5128378	102.72739675	6.96527655
