Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
218.76671005	22.79315178	206.51214388	91.85949605	13.5617199															
210.08344032	11.34907598	197.82887415	93.23989909	13.5617199															
210.23784569	7.51313126	197.98327952	95.23507413	13.5617199															
210.3921839	5.6598335	198.13761773	96.23889211	13.5617199															
					149.51771125	22.64489387	140.58998406	58.97254509	9.8800181										
					146.36577608	11.43571715	137.43804888	63.00116587	9.8800181										
					146.43564379	7.58731964	137.50791659	64.96029848	9.8800181										
					146.42727341	5.6598335	137.49954622	65.91985636	9.8800181										
										91.05451292	22.76843963	84.66735021	30.94945529	7.06846006					
										90.05585507	11.36145436	83.66869236	36.153619	7.06846006					
										89.7637976	7.52961924	83.37663489	37.92350782	7.06846006					
										89.48204745	5.67219329	83.09488474	38.71134572	7.06846006					
															65.90001752	22.84256858	60.69425567	18.92584354	5.76104312
															65.28914368	11.36764168	60.08338183	24.35787008	5.76104312
															64.87352705	7.63265782	59.6677652	26.01755369	5.76104312
															64.74944917	5.69382011	59.54368732	26.92493361	5.76104312
215.04789497	22.69431067	202.78692213	90.04630573	13.56880995															
208.12165998	11.35526329	195.86068713	92.25271192	13.56880995															
208.36664329	7.59556363	196.10567044	94.25505341	13.56880995															
208.62181585	5.68764021	196.360843	95.33660139	13.56880995															
					145.55180467	22.6078294	136.61840195	57.00528628	9.886299										
					142.31844283	11.2624348	133.38504011	61.06130265	9.886299										
					142.50777054	7.53786072	133.57436783	63.01825355	9.886299										
					142.44472271	5.6598335	133.51131999	63.92574325	9.886299										
										89.53486183	22.73137515	83.14430948	30.20646717	7.07221127					
										88.48395436	11.30575727	82.09340201	35.39382237	7.07221127					
										88.23468938	7.59968437	81.84413702	37.12222633	7.07221127					
										88.00910133	5.64412199	81.61854897	37.98721349	7.07221127					
															64.56568883	22.64489387	59.36593293	18.36051953	5.75439652
															63.97097543	11.46665747	58.77121953	23.65228103	5.75439652
															63.66177856	7.61617234	58.46202266	25.42292516	5.75439652
															63.48977142	5.72758392	58.29001553	26.2812158	5.75439652
217.01231978	22.57076492	204.75356444	91.09139976	13.56635592															
209.00043882	11.26862588	196.74168347	92.7365288	13.56635592															
209.08792335	7.52549599	196.829168	94.651836	13.56635592															
209.20575864	5.61348898	196.94700329	95.66675715	13.56635592															
					148.13396576	22.63253404	139.19164048	58.27955322	9.89617331										
					145.12187061	11.2810005	136.17954534	62.44927242	9.89617331										
					145.38051603	7.57495491	136.43819076	64.43161792	9.89617331										
					145.21613232	5.68764021	136.27380705	65.29308342	9.89617331										
										89.4236684	22.68195835	83.03665244	30.17734704	7.06829767					
										88.24878761	11.39858576	81.86177165	35.23159295	7.06829767					
										87.99563627	7.50901052	81.60862031	37.04980489	7.06829767					
										87.755625	5.65648798	81.36860904	37.85606053	7.06829767					
															64.61511314	22.76843963	59.41343443	18.3224974	5.75652444
															63.82244985	11.45428285	58.62077114	23.58324415	5.75652444
															63.50928106	7.66150802	58.30760236	25.32304717	5.75652444
															63.29731848	5.72780671	58.09563977	26.18391653	5.75652444
216.06099569	22.74372747	203.82104493	90.53865873	13.54554551															
