Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
240.87423142	22.85332465	228.61966525	102.8831703	13.5617199															
228.15071536	11.42551581	215.89614919	102.23531669	13.5617199															
227.8884494	7.593502	215.63388323	104.02019061	13.5617199															
227.97975263	5.66730586	215.72518646	105.0289403	13.5617199															
					175.45449379	22.85332465	166.5267666	71.83672097	9.8800181										
					169.96917545	11.3697628	161.04144826	74.83584273	9.8800181										
					169.63390281	7.61411072	160.70617561	76.54603244	9.8800181										
					169.66440443	5.7136736	160.73667724	77.51150182	9.8800181										
										110.36841078	22.80389045	103.98124807	40.58867881	7.06846006					
										107.82916416	11.49985316	101.44200145	44.97107414	7.06846006					
										106.90744238	7.64708417	100.52027968	46.43659775	7.06846006					
										106.48582248	5.67682774	100.09865978	47.21091602	7.06846006					
															81.83532696	22.91510615	76.62956511	26.85722948	5.76104312
															79.67381024	11.49365964	74.46804839	31.48719438	5.76104312
															78.74777156	7.61507687	73.54200971	32.96346642	5.76104312
															78.27640656	5.6951265	73.07064471	33.6877591	5.76104312
249.43786301	22.87803425	237.17689016	107.14942796	13.56880995															
235.79994358	11.24696464	223.53897073	106.14600304	13.56880995															
236.08737634	7.5367129	223.82640349	108.14484529	13.56880995															
235.81592623	5.68585296	223.55495338	108.93455021	13.56880995															
					178.00010765	22.77918085	169.06670494	73.14376204	9.886299										
					172.39134036	11.39454066	163.45793765	76.03169849	9.886299										
					172.2301504	7.56145889	163.29674769	77.8676444	9.886299										
					172.04153056	5.63948522	163.10812785	78.73432131	9.886299										
										112.45679952	22.86567945	106.06624717	41.60028386	7.07221127					
										109.50950853	11.445	103.11895617	45.83697809	7.07221127					
										108.82398046	7.54816633	102.43342811	47.44263089	7.07221127					
										108.43538683	5.72317226	102.04483448	48.16083111	7.07221127					
															82.62619918	22.87803425	77.42644329	27.27420452	5.75439652
															80.18178464	11.3697628	74.98202875	31.80613297	5.75439652
															79.3458013	7.64394636	74.14604541	33.25104953	5.75439652
															78.83282127	5.74149424	73.63306538	33.94578557	5.75439652
245.07572602	22.69267474	232.81697067	105.06214796	13.56635592															
232.93463139	11.40167753	220.67587605	104.63709926	13.56635592															
