Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
314.47772359	-0.05834334	302.05117966	151.0547615	13.75204194															
304.4835548	-0.04402778	292.05701088	146.05051933	13.75204194															
304.70581442	-0.01270444	292.27927049	146.14598747	13.75204194															
304.09003191	-0.02918544	291.66348798	145.84633671	13.75204194															
					210.00626501	-0.02818878	200.95617632	100.49218255	10.01543148										
					207.46930556	-0.01682432	198.41921687	99.2180206	10.01543148										
					207.01880758	-0.01930073	197.96871889	98.99400981	10.01543148										
					206.30949137	-0.01484234	197.25940268	98.63712251	10.01543148										
										112.07857143	-0.05191327	105.59728255	52.82459791	7.17262635					
										111.0540991	-0.00124249	104.57281022	52.28702636	7.17262635					
										110.49702437	-0.02012433	104.01573549	52.01792991	7.17262635					
										109.98995683	-0.00878191	103.50866796	51.75872493	7.17262635					
															76.71367047	-0.03362845	71.43250146	35.73306496	5.8444937
															75.89142267	-0.03833709	70.61025367	35.32429538	5.8444937
															75.46383094	-0.01121996	70.18266194	35.09694095	5.8444937
															75.11685435	-0.00024962	69.83568535	34.91796749	5.8444937
370.76836735	-0.04845438	358.3123155	179.18038494	13.78469738															
360.85467342	-0.02548048	348.39862157	174.21205103	13.78469738															
360.59989987	-0.00759012	348.14384802	174.07571907	13.78469738															
359.35891892	-0.02114865	346.90286707	173.46200786	13.78469738															
					240.00541717	-0.05784814	230.93953538	115.49869176	10.03290918										
					237.27780781	-0.04204955	228.21192602	114.12698778	10.03290918										
					236.73140938	-0.02160881	227.66552759	113.8435682	10.03290918										
					235.80368994	0.00568506	226.73780815	113.36606154	10.03290918										
										127.58354592	-0.04203181	121.09603934	60.56903558	7.17950728					
										126.37058934	-0.02968468	119.88308277	59.95638373	7.17950728					
										125.85086866	-0.0372772	119.36336208	59.70031964	7.17950728					
										125.34817568	-0.02955706	118.8606691	59.44511308	7.17950728					
															88.53936825	-0.01929022	83.2573206	41.63830541	5.84546606
															87.4945045	0.00939189	82.21245686	41.10153248	5.84546606
															86.9571039	-0.01945297	81.67505626	40.84725461	5.84546606
															86.61168544	-0.00841216	81.32963779	40.66902498	5.84546606
381.34372123	-0.01929408	368.90925396	184.46427402	13.76081045															
363.46314565	-0.01138138	351.02867837	175.52002988	13.76081045															
363.51621078	-0.01352804	351.08174351	175.54763577	13.76081045															
362.55776652	-0.03598724	350.12329924	175.07964324	13.76081045															
					249.91072179	-0.07761855	240.85032885	120.4639737	10.02683485										
					245.76613363	-0.03809309	236.7057407	118.37191689	10.02683485										
					245.47193591	-0.02325851	236.41154298	118.21740074	10.02683485										
					244.61882695	-0.01682057	235.55843402	117.78762729	10.02683485										
										130.01265006	-0.04203181	123.53407329	61.78805255	7.16962496					
										128.91468468	-0.02473724	122.43610792	61.23042258	7.16962496					
										128.35731559	-0.02441255	121.87873882	60.95157568	7.16962496					
										127.85842155	0.00284159	121.37984478	60.68850159	7.16962496					
															90.66743697	-0.02917917	85.38205272	42.70561595	5.84915857
															89.73118243	-0.0375976	84.44579818	42.24169789	5.84915857
															89.27171896	-0.0099007	83.98633471	41.9981177	5.84915857
															88.83243056	-0.00791667	83.5470463	41.77748148	5.84915857
407.16238745	-0.08948079	394.72795263	197.40871671	13.76077454															
388.35832207	-0.02894144	375.92388725	187.97641434	13.76077454															
387.90721731	-0.02208973	375.47278249	187.74743611	13.76077454															
386.85231231	-0.02695946	374.41787749	187.22241847	13.76077454															
					267.40691026	-0.05834334	258.35289718	129.20562026	10.01977448										
					260.85283408	-0.00322072	251.798821	125.90102086	10.01977448										
					260.85226802	-0.02540387	251.79825494	125.91182941	10.01977448										
					260.04008258	0.00197635	250.9860695	125.49204657	10.01977448										
										138.50220883	-0.0598334	132.02184839	66.04084089	7.17159889					
										137.34801426	-0.04204955	130.86765383	65.45485169	7.17159889					
										136.75327019	-0.01963117	130.27290975	65.14627046	7.17159889					
										136.16573949	-0.00482545	129.68537905	64.84510225	7.17159889					
															96.21173954	-0.04994997	90.93533596	45.49264297	5.83921996
															95.15471096	-0.02251126	89.87830738	44.95040932	5.83921996
															94.69295477	-0.02589703	89.41655119	44.72122411	5.83921996
															94.22904467	-0.00977102	88.95264109	44.48120606	5.83921996
406.74498449	-0.0459951	394.31743384	197.18171447	13.75315605															
392.63943318	-0.01954204	380.21188253	190.11571229	13.75315605															
392.29912049	-0.0381033	379.87156984	189.95483657	13.75315605															
390.92619369	-0.00519707	378.49864304	189.25192006	13.75315605															
					275.31712935	0.04101891	266.2697376	133.11435935	10.01244687										
					268.97540916	-0.03438063	259.92801741	129.98119902	10.01244687										
					268.80693712	-0.02818879	259.75954538	129.89386708	10.01244687										
					268.05149962	-0.00742305	259.00410788	129.50576546	10.01244687										
										142.47489744	-0.04154493	135.99833779	68.01994136	7.16739267					
										141.19445571	-0.04303679	134.71789606	67.38046642	7.16739267					
										140.66328354	-0.00313668	134.1867239	67.09493029	7.16739267					
										140.07295608	-0.00086899	133.59639644	66.79863272	7.16739267					
															99.23859816	-0.03363518	93.95746208	46.99554863	5.84445726
															98.1867455	-0.02226351	92.90560941	46.46393646	5.84445726
															97.69566338	-0.01204356	92.4145273	46.21328543	5.84445726
															97.23130068	-0.00408408	91.95016459	45.97712434	5.84445726
