Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
580.07631829	0.19524465	565.50189396	282.65332466	16.12902959															
554.34287074	0.09033442	539.76844641	269.839056	16.12902959															
540.45077353	0.06628588	525.8763492	262.90503166	16.12902959															
405.20283221	0.03906344	390.62840788	195.29467222	16.12902959															
					399.33189414	0.2768261	388.89852701	194.31085046	11.54625962										
					394.86173597	0.09256263	384.42836884	192.16790311	11.54625962										
					391.63709279	0.06908962	381.20372566	190.56731802	11.54625962										
					387.3110717	0.07764264	376.87770457	188.40003096	11.54625962										
										246.64294076	0.23776516	239.12933652	119.44578568	8.31505537					
										246.86026052	0.10295967	239.34665627	119.6218483	8.31505537					
										246.05535381	0.06348214	238.54174956	119.23913371	8.31505537					
										244.58318694	0.04846096	237.06958269	118.51056086	8.31505537					
															180.86270262	0.26397088	174.58667361	87.16135136	6.94547211
															182.87794464	0.11038452	176.60191562	88.24576555	6.94547211
															182.87779456	0.07255174	176.60176554	88.2646069	6.94547211
															182.24058746	0.06107357	175.96455845	87.95174244	6.94547211
612.02029218	0.22886482	597.48506231	298.62809875	16.08565438															
587.8772758	0.10989228	573.34204594	286.61607683	16.08565438															
540.45077353	0.06018274	525.91554367	262.92768046	16.08565438															
405.20283221	0.05390203	390.66760234	195.30685016	16.08565438															
					424.069174	0.16261507	413.66034297	206.74886395	11.51910634										
					417.34420341	0.13241859	406.93537238	203.40147689	11.51910634										
					413.8056008	0.07601636	403.39676977	201.66037671	11.51910634										
					405.20283221	0.05031532	394.79400118	197.37184293	11.51910634										
										261.36495147	0.25359216	253.87283455	126.8096212	8.29127605					
										261.20157941	0.14677605	253.70946249	126.78134322	8.29127605					
										260.07812083	0.06051318	252.58600391	126.26274536	8.29127605					
										258.24856419	0.0514283	250.75644727	125.35250948	8.29127605					
															189.14678057	0.2318366	182.88543387	91.32679864	6.92922368
															190.88505135	0.11830912	184.62370466	92.25269777	6.92922368
															190.76766188	0.0705741	184.50631519	92.21787054	6.92922368
															190.04500188	0.05748686	183.78365518	91.86308416	6.92922368
638.28128627	0.20364969	623.8051745	311.80076241	16.02023036															
615.69061999	0.12400175	601.21450822	300.54525323	16.02023036															
540.45077353	0.06908962	525.97466176	262.95278607	16.02023036															
405.20283221	0.05563251	390.72672044	195.33554397	16.02023036															
					444.25576096	0.24864669	433.88279164	216.81707248	11.47941937										
					434.41834795	0.11979334	424.04537863	211.96279265	11.47941937										
					430.41829856	0.07502503	420.04532925	209.98515211	11.47941937										
					405.20283221	0.04264827	394.82986289	197.39360731	11.47941937										
										270.9988343	0.24419652	263.53305568	131.64442958	8.26212834					
										270.73103206	0.12400175	263.26525345	131.57062585	8.26212834					
										269.51176903	0.06776786	262.04599041	130.98911128	8.26212834					
										267.54905593	0.06082583	260.08327731	130.01122574	8.26212834					
															197.2845057	0.22639584	191.03048777	95.40204597	6.92111318
															198.89514153	0.11731713	192.6411236	96.26190323	6.92111318
															198.6713977	0.06348214	192.41737976	96.17694881	6.92111318
															197.75149962	0.02978791	191.49748169	95.73384689	6.92111318
646.29561487	0.18634431	631.88918468	315.85142019	15.94311607															
612.87686874	0.06805235	598.47043855	299.2011931	15.94311607															
540.45077353	0.05160631	526.04434334	262.99636852	15.94311607															
405.20283221	0.03955706	390.79640202	195.37842248	15.94311607															
					450.28731739	0.20612618	439.95082451	219.87234917	11.43905212										
					442.48567635	0.12845817	432.14918348	216.01036265	11.43905212										
					438.29690337	0.0590287	427.96041049	213.95069089	11.43905212										
					405.20283221	0.04833709	394.86633933	197.40900112	11.43905212										
										277.69039674	0.15075045	270.23585358	135.04255156	8.24969443					
										277.06519163	0.09206663	269.61064847	134.75929092	8.24969443					
										275.73380758	0.08046979	268.27926442	134.09939731	8.24969443					
										273.58646021	0.04858483	266.13191705	133.04166611	8.24969443					
															201.4371748	0.25705173	195.19743359	97.47019093	6.90531361
															202.87642034	0.1039479	196.63667913	98.26636561	6.90531361
															202.63060915	0.07964369	196.39086793	98.15561212	6.90531361
															201.72087275	0.0678735	195.48113153	97.70662902	6.90531361
676.70452021	0.27781669	662.34044979	331.03131655	15.89623793															
638.53891157	0.12573397	624.17484115	312.02455359	15.89623793															
540.45077353	0.0590287	526.08670311	263.0138372	15.89623793															
405.20283221	0.04895458	390.83876179	195.3949036	15.89623793															
					465.91527917	0.19128977	455.59625082	227.70248052	11.4197247										
					457.29636147	0.10741608	446.97733313	223.43495852	11.4197247										
					452.57115821	0.08063251	442.25212987	221.08574868	11.4197247										
					405.20283221	0.04771772	394.88380386	197.41804307	11.4197247										
										285.98686462	0.28770762	278.54600122	139.1291468	8.23455549					
										284.86320391	0.09998747	277.42234051	138.66117652	8.23455549					
										283.44226302	0.05028705	276.00139962	137.97555629	8.23455549					
										281.21173611	0.0541479	273.77087272	136.85836241	8.23455549					
															207.46965429	0.25359216	201.2298742	100.48814102	6.90535663
															208.76689629	0.12845817	202.5271162	101.19932902	6.90535663
															208.4776502	0.08772447	202.23787011	101.07507282	6.90535663
															207.45810623	0.06366929	201.21832614	100.57732842	6.90535663
