Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
292.71915165	22.7577027	280.28327034	128.76278382	13.76237532															
276.48967778	11.43880893	264.05379647	126.30749377	13.76237532															
276.78273046	7.59762525	264.34684915	128.37461195	13.76237532															
276.54902479	5.70772346	264.11314348	129.20271001	13.76237532															
					199.68096847	22.57241742	190.62760186	84.02759222	10.01905905										
					193.73592277	11.38930291	184.68255616	86.64662662	10.01905905										
					193.69147796	7.52755762	184.63811134	88.55527686	10.01905905										
					193.49009639	5.69845456	184.43672978	89.36913761	10.01905905										
										119.42750751	22.72064565	112.95413907	45.11674671	7.16386107					
										117.60396439	11.36454614	111.13059596	49.88302491	7.16386107					
										117.13296092	7.60174599	110.65959248	51.52892325	7.16386107					
										116.68154106	5.68918565	110.20817262	52.25949349	7.16386107					
															85.17433934	23.0171021	79.89722837	28.44006313	5.84000281
															83.47392803	11.4264343	78.19681706	33.38519138	5.84000281
															82.92377505	7.59762525	77.64666408	35.02451941	5.84000281
															82.55642464	5.73861918	77.27931366	35.77034724	5.84000281
296.56074324	22.58477477	284.14566354	130.78044438	13.73935487															
279.6396665	11.31504012	267.2245868	127.95477334	13.73935487															
279.39993988	7.56877255	266.98486018	129.70804382	13.73935487															
278.80755571	5.65519905	266.39247601	130.36863848	13.73935487															
					202.33672673	22.42418919	193.29372816	85.43476948	10.00758508										
					196.78070838	11.31504012	187.73770981	88.21133484	10.00758508										
					196.70023798	7.54404309	187.65723941	90.05659816	10.00758508										
					196.40981034	5.69845456	187.36681177	90.83417861	10.00758508										
										121.02048959	22.73755507	114.54900704	45.90572599	7.16177402					
										119.29344659	11.45737462	112.82196404	50.68229471	7.16177402					
										118.65382766	7.5358016	112.1823451	52.32327175	7.16177402					
										118.26652729	5.72008137	111.79504474	53.03748168	7.16177402					
															86.21684772	22.86110082	80.94457444	29.04173681	5.8346491
															84.76733952	11.40786861	79.49506624	34.04359882	5.8346491
															84.24268537	7.61823146	78.97041209	35.67609031	5.8346491
															83.85716575	5.67064785	78.58489247	36.45712231	5.8346491
301.5264039	22.60947447	289.08926004	133.23989278	13.76377255															
286.4718656	11.35217151	274.03472173	131.34127511	13.76377255															
286.17995491	7.54404309	273.74281104	133.09938398	13.76377255															
285.53989296	5.63975213	273.1027491	133.73149848	13.76377255															
					205.0582524	22.62636163	196.0111774	86.69240788	10.01209634										
					199.36134779	11.30884905	190.31427279	89.50271187	10.01209634										
					199.3463001	7.51107214	190.29922509	91.39407647	10.01209634										
					199.04218828	5.66446795	189.99511327	92.16532266	10.01209634										
										122.00887815	22.73755507	115.53748672	46.39996583	7.16167318					
										120.46928034	11.32122743	113.99788891	51.33833074	7.16167318					
										119.89442635	7.5646518	113.42303492	52.92919156	7.16167318					
										119.43750376	5.69536555	112.96611232	53.63537339	7.16167318					
															86.63690929	22.73755507	81.3559354	29.30919016	5.84427778
															85.20672894	11.31504012	79.92575504	34.30535746	5.84427778
															84.72903056	7.61823146	79.44805667	35.9149126	5.84427778
