Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
228.80864865	22.51683183	216.38210472	96.93263645	13.75204194															
221.87579488	11.33051028	209.44925096	99.05937034	13.75204194															
222.18427856	7.47191633	209.75773463	101.14290915	13.75204194															
222.07567789	5.6752823	209.64913397	101.98692583	13.75204194															
					147.13466216	22.73917417	138.08457347	57.67269965	10.01543148										
					144.20906344	11.44190446	135.15897475	61.85853514	10.01543148										
					144.11725451	7.53373998	135.06716582	63.76671292	10.01543148										
					143.89222459	5.63820669	134.8421359	64.60196461	10.01543148										
										87.75673423	22.77623123	81.27544536	29.24960706	7.17262635					
										86.74187437	11.36764168	80.2605855	34.44647191	7.17262635					
										86.22541834	7.58731964	79.74412946	36.07840491	7.17262635					
										85.78529106	5.71544692	79.30400219	36.79427763	7.17262635					
															63.80545796	22.8379955	58.52428895	17.84314673	5.8444937
															62.74873872	11.42952608	57.46756971	23.01902182	5.8444937
															62.24601954	7.61617234	56.96485053	24.67433909	5.8444937
															62.04756009	5.69690911	56.76639108	25.53474099	5.8444937
257.30560811	22.68976727	244.84955626	111.0798945	13.78469738															
249.40880642	11.35526329	236.95275457	112.79874564	13.78469738															
249.52278307	7.57083417	237.06673122	114.74794852	13.78469738															
249.12243177	5.66292439	236.66637992	115.50172777	13.78469738															
					166.10792793	22.35625375	157.04204614	67.34289619	10.03290918										
					162.08169132	11.51616725	153.01580953	70.74982114	10.03290918										
					162.09974699	7.50488978	153.0338652	72.76448771	10.03290918										
					161.87086442	5.68146219	152.80498263	73.56176022	10.03290918										
										98.78741742	22.87505255	92.29991084	34.71242915	7.17950728					
										97.25628009	11.36145436	90.76877352	39.70365958	7.17950728					
										96.69425351	7.62441383	90.20674693	41.29116655	7.17950728					
										96.42911304	5.6907311	89.94160647	42.12543769	7.17950728					
															70.59927177	22.80093844	65.31722413	21.25814284	5.84546606
															69.3272016	11.49760155	64.04515396	26.2737762	5.84546606
															68.88177605	7.59968437	63.59972841	28.00002202	5.84546606
															68.57906673	5.72471582	63.29701908	28.78615163	5.84546606
271.58496997	22.73917417	259.15050269	118.20566426	13.76081045															
257.14453736	11.28719157	244.71007009	116.71143926	13.76081045															
257.37441132	7.49252505	244.93994405	118.7237095	13.76081045															
256.9485015	5.59495118	244.51403423	119.45954152	13.76081045															
					172.65469219	22.66506006	163.59429926	70.4646196	10.02683485										
					168.96958751	11.28719157	159.90919458	74.3110015	10.02683485										
					168.82617986	7.4884018	159.76578692	76.13869256	10.02683485										
					168.56612231	5.6691024	159.50572937	76.91831348	10.02683485										
										101.45553303	22.52918919	94.97695626	36.22388354	7.16962496					
										100.11540496	11.41096038	93.6368282	41.11293391	7.16962496					
										99.65767535	7.54198397	93.17909858	42.81855731	7.16962496					
										99.29012456	5.70308901	92.81154779	43.55422939	7.16962496					
															72.63741742	22.73917417	67.35203317	22.3064295	5.84915857
															71.4065672	11.36764168	66.12118295	27.37677064	5.84915857
															70.95081162	7.5831989	65.66542737	29.04111424	5.84915857
															70.70165123	5.64747559	65.41626697	29.88439569	5.84915857
277.44	22.77623123	265.00556518	121.11466697	13.76077454															
263.07320085	11.22530341	250.63876603	119.70673131	13.76077454															
263.29301603	7.57907816	250.85858121	121.63975153	13.76077454															
263.27507578	5.65648798	250.84064095	122.59207649	13.76077454															
					178.46031532	22.67741742	169.40630223	73.36444241	10.01977448										
					174.11848796	11.38002006	165.06447488	76.84222741	10.01977448										
					173.96168086	7.54198397	164.90766778	78.6828419	10.01977448										
					173.78144279	5.69382011	164.7274297	79.5168048	10.01977448										
										104.03718468	22.59094595	97.55682425	37.48293915	7.17159889					
										102.44231194	11.36145436	95.9619515	42.30024857	7.17159889					
										101.9245491	7.53373998	95.44418866	43.95522434	7.17159889					
										101.55174261	5.67837131	95.07138217	44.69650543	7.17159889					
															73.94677177	22.73917417	68.67036819	22.96559701	5.83921996
															73.0155993	11.38620737	67.73919572	28.17649417	5.83921996
															72.49640782	7.61617234	67.22000424	29.80191595	5.83921996
															72.20321733	5.63202679	66.92681375	30.64739348	5.83921996
276.4577493	22.53370044	264.03019865	120.7482491	13.75315605															
266.12417377	11.33051028	253.69662312	121.18305642	13.75315605															
266.08745491	7.52137525	253.65990426	123.0692645	13.75315605															
265.60568916	5.70308901	253.17813851	123.73752475	13.75315605															
					178.76912913	22.49213213	169.72173738	73.61480262	10.01244687										
					174.53312437	11.33669759	165.48573262	77.07451752	10.01244687										
					174.38208417	7.55022545	165.33469242	78.89223348	10.01244687										
					174.13057211	5.61039997	165.08318036	79.73639019	10.01244687										
										105.30585703	22.69431067	98.82929738	38.06749336	7.16739267					
										103.71097041	11.37382899	97.23441077	42.93029089	7.16739267					
										103.2228507	7.52961924	96.74629106	44.60833591	7.16739267					
										102.95135078	5.6845512	96.47479113	45.39511996	7.16739267					
															75.08319069	22.6033033	69.80205461	23.59937565	5.84445726
															74.02433801	11.42333877	68.74320193	28.65993158	5.84445726
															73.51856212	7.64502255	68.23742604	30.29620175	5.84445726
															73.15482912	5.73707561	67.87369304	31.06830871	5.84445726
