Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
352.63838123	22.70503705	340.24899238	158.77197766	13.71092366															
330.36372743	11.35217151	317.97433858	153.31108353	13.71092366															
329.19860471	7.60586673	316.80921586	154.60167456	13.71092366															
328.0551478	5.67657941	315.66575894	154.99458977	13.71092366															
					260.19315291	22.81625275	251.16389666	114.17382195	9.99237692										
					251.76129518	11.35737199	242.73203893	115.68733347	9.99237692										
					250.99010445	7.56970839	241.96084819	117.1955699	9.99237692										
					249.78154357	5.65828993	240.75228731	117.54699869	9.99237692										
										163.33635339	22.80389045	156.88402233	67.04006594	7.14057971					
										157.61275979	11.40693148	151.16042872	69.87674862	7.14057971					
										156.63334893	7.57795789	150.18101786	71.30152999	7.14057971					
										155.83241859	5.68894539	149.38008752	71.84557106	7.14057971					
															118.47922592	22.85332465	113.21482291	45.18074913	5.82593933
															114.57131024	11.45029367	109.30690723	48.92830678	5.82593933
															113.23287684	7.61095087	107.96847383	50.17876148	5.82593933
															112.37953407	5.68894539	107.11513106	50.71309283	5.82593933
351.1307881	22.68031995	338.75765652	158.03866828	13.69293229															
330.86500502	11.35835883	318.49187343	153.5667573	13.69293229															
329.87646056	7.44597844	317.50332897	155.02867527	13.69293229															
328.29252754	5.68300576	315.91939595	155.1181951	13.69293229															
					255.237858	22.64324805	246.22710423	111.79192809	9.97190084										
					244.81073419	11.40693148	235.79998042	112.19652447	9.97190084										
					243.97047042	7.5408389	234.95971665	113.70943887	9.97190084										
					243.01023359	5.66421531	233.99947982	114.16763226	9.97190084										
										161.05024284	22.98924995	154.60637642	65.80856323	7.13121218					
										155.30723546	11.33360582	148.86336903	68.76488161	7.13121218					
										154.50518884	7.61920037	148.06132241	70.22106102	7.13121218					
										153.65033863	5.66137894	147.20647221	70.77254663	7.13121218					
															117.6265722	22.66796515	112.37276191	44.85239838	5.81421672
															113.99224799	11.25315196	108.7384377	48.74264287	5.81421672
															112.83694101	7.56558489	107.58313072	50.00877291	5.81421672
															112.11625313	5.75097897	106.86244284	50.55573194	5.81421672
351.0937162	22.76681855	338.75378202	157.99348174	13.65619383															
325.85225176	11.34598044	313.51231757	151.08316857	13.65619383															
324.91074616	7.52846591	312.57081197	152.52117303	13.65619383															
323.46032111	5.64284114	311.12038692	152.73877289	13.65619383															
					250.6409273	22.74210895	241.64376326	109.45082715	9.95686154										
					241.29828313	11.28303464	232.30111909	110.50904223	9.95686154										
					240.4484018	7.53992234	231.45123776	111.95565771	9.95686154										
					239.81702968	5.64566821	230.81986564	112.58709872	9.95686154										
										159.19664781	22.50731524	152.75514106	65.12391291	7.1286008					
										153.90861334	11.32122743	147.4671066	68.07293958	7.1286008					
										152.90906751	7.57383189	146.46756077	69.44686444	7.1286008					
										152.13844502	5.74458667	145.69693827	69.9761758	7.1286008					
															116.11897156	22.75446375	110.87497519	44.06025572	5.80335598
															112.43272568	11.445	107.18872931	47.87186465	5.80335598
															111.16658172	7.53258941	105.92258535	49.19499797	5.80335598
															110.31190223	5.72317226	105.06790586	49.6723668	5.80335598
359.23720208	22.71739185	346.91241059	162.09750937	13.63943592															
333.61892302	11.40167753	321.29413152	154.946227	13.63943592															
332.56965742	7.51609291	320.24486592	156.3643865	13.63943592															
331.22460128	5.66446795	318.89980978	156.61767091	13.63943592															
					253.90326207	22.58145904	244.91396333	111.16625214	9.94815727										
					243.147999	11.33979313	234.15870026	111.40945356	9.94815727										
					242.57644051	7.5449624	233.58714177	113.02108968	9.94815727										
					241.60943165	5.68609664	232.62013291	113.46701813	9.94815727										
										157.21947476	22.76681855	150.78313414	64.0081578	7.12288363					
										152.25626254	11.39549022	145.81992191	67.21221584	7.12288363					
										151.34181568	7.56558489	144.90547505	68.66994508	7.12288363					
										150.4896332	5.66755884	144.05329257	69.19286687	7.12288363					
															115.08095834	22.63089325	109.83284404	43.60097539	5.80791316
															111.42398696	11.5068844	106.17587266	47.33449413	5.80791316
															110.05368236	7.55640782	104.80556806	48.62458012	5.80791316
															109.41899474	5.69845456	104.17088044	49.23621294	5.80791316
342.97494743	22.61853094	330.64739334	154.0144312	13.64249319															
322.75795637	11.33979313	310.43040228	149.54530458	13.64249319															
321.87110545	7.57383189	309.54355136	150.98485974	13.64249319															
320.72901741	5.66730586	308.40146332	151.36707873	13.64249319															
					248.26831815	22.81625275	239.2759846	108.22986592	9.95151579										
					237.76724774	11.23347892	228.7749142	108.77071764	9.95151579										
					236.88322645	7.5358016	227.89089291	110.17754565	9.95151579										
					236.2034256	5.70749248	227.21109206	110.75179979	9.95151579										
