Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
316.38496997	22.5785961	304.06506199	140.74323294	13.6340315															
297.93863215	11.33051028	285.61872416	137.14410694	13.6340315															
297.34076653	7.55846944	285.02085855	138.73119455	13.6340315															
296.97741925	5.6505646	284.65751127	139.50347334	13.6340315															
					236.56383634	22.5785961	227.58822073	102.50481231	9.93301461										
					224.94427282	11.2810005	215.96865721	102.34382835	9.93301461										
					224.24436874	7.4884018	215.26875313	103.89017566	9.93301461										
					223.67558525	5.62275789	214.69996964	104.53860588	9.93301461										
										156.65623874	22.71447447	150.22875294	63.75713923	7.11308428					
										150.31613591	11.28719157	143.88865011	66.30072927	7.11308428					
										149.13252255	7.58731964	142.70503675	67.55885855	7.11308428					
										148.44891963	5.6660134	142.02143383	68.17771022	7.11308428					
															117.57328829	22.91210961	112.34200468	44.71494754	5.78928719
															112.72049022	11.33669759	107.48920662	48.07625451	5.78928719
															111.16444639	7.62029309	105.93316279	49.15643485	5.78928719
															110.35361042	5.67219329	105.12232681	49.72506676	5.78928719
319.75716967	22.54153904	307.45007964	142.4542703	13.6198463															
298.08715772	11.34288867	285.7800677	137.21858952	13.6198463															
297.15941633	7.57083417	284.85232631	138.64074607	13.6198463															
296.4614478	5.62584877	284.15435777	139.2642545	13.6198463															
					237.1443994	22.56624625	228.16925113	102.80150244	9.93249742										
					226.14485958	11.25006018	217.16971131	102.95982556	9.93249742										
					225.19645541	7.55846944	216.22130714	104.33141885	9.93249742										
					224.69207937	5.6845512	215.7169311	105.01618995	9.93249742										
										158.29910661	22.6033033	151.88522114	64.64095892	7.09803325					
										151.9437337	11.36145436	145.52984823	67.08419693	7.09803325					
										150.84710421	7.55846944	144.43321874	68.43737465	7.09803325					
										150.14822546	5.7092689	143.73433999	69.01253555	7.09803325					
															118.21561562	22.8627027	112.98179527	45.05954628	5.79209452
															113.69828862	11.38002006	108.46446827	48.5422241	5.79209452
															112.14950651	7.54198397	106.91568617	49.6868511	5.79209452
															111.36392276	5.7092689	106.13010241	50.21041675	5.79209452
322.09177177	22.71447447	309.80362963	143.54457758	13.5988773															
300.50689318	11.2191161	288.21875104	138.49981747	13.5988773															
299.69831663	7.50076653	287.41017449	139.95470398	13.5988773															
299.25139897	5.67837131	286.96325683	140.64244276	13.5988773															
					235.48918168	22.51683183	226.52341607	102.00329212	9.92211395										
					224.46775201	11.30575727	215.50198639	102.09811456	9.92211395										
					223.37883517	7.50901052	214.41306955	103.45202952	9.92211395										
					222.93716012	5.6907311	213.9713945	104.1403317	9.92211395										
										155.53217718	22.5785961	149.1176893	63.2695466	7.09869991					
										148.97940196	11.34288867	142.56491408	65.61101271	7.09869991					
										147.7723998	7.6409018	141.35791193	66.85850506	7.09869991					
										147.00914685	5.65674449	140.59465897	67.46895724	7.09869991					
															116.36134361	22.64489387	111.13242881	44.24376747	5.78666571
															111.65605441	11.38002006	106.42713961	47.52355978	5.78666571
															110.14641533	7.52549599	104.91750053	48.69600227	5.78666571
															109.32475839	5.7	104.09584359	49.19792179	5.78666571
317.63439377	22.66959852	305.34293055	141.33666601	13.60255264															
295.86545762	11.34907598	283.5739944	136.11245921	13.60255264															
295.06977204	7.54610471	282.77830882	137.61610205	13.60255264															
294.6416481	5.69382011	282.35018487	138.32818238	13.60255264															
					231.82987335	22.64489387	222.8701866	100.11264636	9.91538667										
					223.08150827	11.37382899	214.12182152	101.37399627	9.91538667										
					221.9981012	7.47191633	213.03841445	102.78324906	9.91538667										
					221.42632323	5.61039997	212.46663648	103.42811825	9.91538667										
										153.98189327	22.58311724	147.57363646	62.49525961	7.0918042					
										148.26771439	11.29337889	141.85945759	65.28303935	7.0918042					
										147.12118737	7.5543487	140.71293057	66.57929094	7.0918042					
										146.37267964	5.64129569	139.96442284	67.16156357	7.0918042					
															116.05247547	22.68195835	110.82685487	44.07244826	5.78302013
															111.1980993	11.31194458	105.97247869	47.33026706	5.78302013
															109.62297345	7.60792836	104.39735284	48.39471224	5.78302013
															108.86131134	5.67219329	103.63569074	48.98174872	5.78302013
301.80780937	22.38544253	289.51325545	133.56390646	13.60597301															
288.01214142	11.2995662	275.7175875	132.20901065	13.60597301															
287.00382014	7.4884018	274.70926622	133.61043221	13.60597301															
286.29033613	5.61966888	273.99578221	134.18805666	13.60597301															
					227.72806117	22.55840509	218.75633328	98.0989641	9.9287122										
					217.01051028	11.29337889	208.03878239	98.37270175	9.9287122										
					215.97233717	7.52137525	207.00060928	99.73961701	9.9287122										
					215.68885328	5.58259326	206.71712539	100.56726606	9.9287122										
										151.88157038	22.6078294	145.47106475	61.43161768	7.0942929					
										145.74277207	11.39239468	139.33226643	63.96993588	7.0942929					
										144.44627756	7.55022545	138.03577192	65.24277324	7.0942929					
										143.8586855	5.65030498	137.44817986	65.89893744	7.0942929					
															113.5320835	22.78079195	108.30829485	42.76375145	5.78099277
															108.60508526	11.38002006	103.38129661	46.00063827	5.78099277
															107.10468186	7.62441383	101.88089322	47.12823969	5.78099277
															106.25983287	5.71544692	101.03604423	47.66029865	5.78099277
