Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
16.78675235	-0.00622625	4.46684437	2.23653531	13.6340315															
16.76733108	0.00801426	4.4474231	2.21970442	13.6340315															
16.72129003	0.02973232	4.40138204	2.18582486	13.6340315															
16.6878977	0.00672336	4.36798971	2.18063318	13.6340315															
					11.73924035	0.07383727	2.76362474	1.34489373	9.93301461										
					11.72765015	0.06539039	2.75203454	1.34332207	9.93301461										
					11.70306454	0.0160532	2.72744893	1.35569787	9.93301461										
					11.67458854	0.01104927	2.69897293	1.34396183	9.93301461										
										8.22432236	0.04517403	1.79683657	0.87583127	7.11308428					
										8.20917417	0.05896021	1.78168838	0.86136408	7.11308428					
										8.17100984	0.03962141	1.74352404	0.85195131	7.11308428					
										8.16763319	0.02662144	1.74014739	0.85676298	7.11308428					
															6.66405531	0.16724595	1.43277171	0.63276288	5.78928719
															6.65483108	0.02186186	1.42354748	0.70084281	5.78928719
															6.63341978	0.01819713	1.40213617	0.69196952	5.78928719
															6.60887694	-0.00106366	1.37759333	0.68932849	5.78928719
16.49120074	0.13264903	4.18411071	2.02573084	13.6198463															
16.49529279	0.03571321	4.18820277	2.07624478	13.6198463															
16.42923032	0.02297532	4.12214029	2.04958249	13.6198463															
16.40808279	0.00548712	4.10099277	2.04775282	13.6198463															
					11.61617824	0.13413433	2.64102997	1.25344782	9.93249742										
					11.58866366	0.02705706	2.61351539	1.29322917	9.93249742										
					11.55027769	0.02759089	2.57512942	1.27376926	9.93249742										
					11.54345673	0.02155453	2.56830846	1.27337697	9.93249742										
										8.17094169	0.04467894	1.75705622	0.85618864	7.09803325					
										8.14042042	0.0322485	1.72653495	0.84714323	7.09803325					
										8.12551951	0.00731738	1.71163404	0.85215833	7.09803325					
										8.1198024	0.02427464	1.70591693	0.84082115	7.09803325					
															6.66207491	0.05407081	1.42825457	0.68709188	5.79209452
															6.63183183	0.00924925	1.39801148	0.69438112	5.79209452
															6.6171014	0.02347065	1.38328105	0.6799052	5.79209452
															6.60356241	0.01191408	1.36974206	0.67891399	5.79209452
16.33107371	0.1020054	4.04293157	1.97046309	13.5988773															
16.32217342	0.03843093	4.03403128	1.99780018	13.5988773															
