Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
16.9384777	0.09286857	4.65492044	2.28102593	13.59380336															
16.85339339	0.0209985	4.56983614	2.27441882	13.59380336															
16.80040027	0.03410023	4.51684301	2.24137139	13.59380336															
16.78862619	0.02346986	4.50506894	2.24079954	13.59380336															
					11.82572515	0.09039308	2.85764147	1.3836242	9.92467926										
					11.80777778	0.03361111	2.83969411	1.4030415	9.92467926										
					11.78646264	0.00871831	2.81837897	1.40483033	9.92467926										
					11.77346361	0.01172836	2.80537994	1.39682579	9.92467926										
										8.28164883	0.0829816	1.88522686	0.90112263	7.07870699					
										8.23316066	0.02940691	1.83673869	0.90366589	7.07870699					
										8.2204553	0.02948716	1.82403333	0.89727309	7.07870699					
										8.20681216	0.01086356	1.81039018	0.89976331	7.07870699					
															6.70754151	0.06272004	1.48143644	0.7093582	5.78355628
															6.67881757	0.04993243	1.4527125	0.70139003	5.78355628
															6.64907772	0.02487158	1.42297265	0.69905053	5.78355628
															6.62135943	0.01444847	1.39525436	0.69040294	5.78355628
16.49070564	0.16255001	4.2359102	2.0366801	13.56197362															
16.51457958	0.00591216	4.25978414	2.12693599	13.56197362															
16.43928452	0.03921114	4.18448908	2.07263897	13.56197362															
16.40981428	0.02532516	4.15501884	2.06484684	13.56197362															
					11.66609322	0.06272004	2.72234727	1.32981361	9.89774552										
					11.59929429	0.03608108	2.65554834	1.30973363	9.89774552										
					11.58208889	0.01745414	2.63834294	1.3104444	9.89774552										
					11.55593922	0.020504	2.61219327	1.29584463	9.89774552										
										8.18625975	0.07309462	1.77891704	0.85291121	7.0907926					
										8.16465465	0.05166291	1.75731194	0.85282451	7.0907926					
										8.13277185	0.03245163	1.72542913	0.84648875	7.0907926					
										8.11090483	0.04077351	1.70356211	0.8313943	7.0907926					
															6.62945839	0.02268454	1.40945227	0.69338387	5.77680677
															6.61971096	0.05240616	1.39970484	0.67364934	5.77680677
															6.59419113	0.0418479	1.37418501	0.66616856	5.77680677
															6.5757535	0.01654952	1.35574738	0.66959893	5.77680677
16.53074115	0.08989798	4.2681088	2.08910541	13.57064647															
16.4710548	0.04275901	4.20842246	2.08283172	13.57064647															
16.43318546	0.04382422	4.17055311	2.06336445	13.57064647															
16.39609555	0.02235743	4.1334632	2.05555289	13.57064647															
					11.62062663	0.10225295	2.67593501	1.28684103	9.89879205										
					11.56714715	0.04548048	2.62245553	1.28848753	9.89879205										
					11.55159606	0.01778436	2.60690445	1.29456005	9.89879205										
					11.53344485	0.01877439	2.58875323	1.28498942	9.89879205										
										8.1674835	0.11313013	1.77658302	0.83172645	7.07259653					
										8.12063438	0.04152402	1.72973391	0.84410494	7.07259653					
										8.0935432	0.0085532	1.70264272	0.84704476	7.07259653					
										8.09397261	0.00962731	1.70307214	0.84672241	7.07259653					
															6.65812162	0.11609322	1.442308	0.66310739	5.77216708
															6.60981982	0.01877252	1.3940062	0.68761684	5.77216708
															6.58265594	0.03129837	1.36684232	0.66777197	5.77216708
															6.57847361	0.01803152	1.36265999	0.67231424	5.77216708
16.50652631	0.0370199	4.23179472	2.09738741	13.58403629															
16.42060435	0.04004129	4.14587277	2.05291574	13.58403629															
16.35143596	0.02487158	4.07670437	2.02591639	13.58403629															
16.33641517	0.01124062	4.06168358	2.02522148	13.58403629															
					11.59097319	0.02614273	2.64503389	1.30944558	9.90017283										
					11.53820946	0.03163288	2.59227015	1.28031864	9.90017283										
					11.51764343	0.01135507	2.57170412	1.28017453	9.90017283										
					11.47300775	0.02136881	2.52706845	1.25284982	9.90017283										
