Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
23.07177936	0.14797459	10.63589805	5.24396173	13.76237532															
23.08287538	0.06118619	10.64699407	5.29290394	13.76237532															
23.04338726	0.03846815	10.60750595	5.2845189	13.76237532															
23.00647511	0.01834105	10.5705938	5.27612638	13.76237532															
					15.70190788	0.06741598	6.64854127	3.29056264	10.01905905										
					15.74766517	0.03249625	6.69429855	3.33090115	10.01905905										
					15.68408105	0.05907188	6.63071444	3.28582128	10.01905905										
					15.67980105	0.03739302	6.62643444	3.29452071	10.01905905										
										10.78339168	0.06889378	4.31002324	2.12056473	7.16386107					
										10.7435961	0.05203453	4.27022766	2.10909656	7.16386107					
										10.71826801	0.04786441	4.24489957	2.09851758	7.16386107					
										10.68769322	0.03848674	4.21432478	2.08791902	7.16386107					
															8.6784932	0.19887227	3.40138222	1.60125498	5.84000281
															8.65011637	0.04683934	3.37300539	1.66308303	5.84000281
															8.61353986	0.01028436	3.33642889	1.66307227	5.84000281
															8.6140464	0.02588044	3.33693542	1.65552749	5.84000281
22.49946739	0.10645379	10.08438769	4.98896695	13.73935487															
22.52593468	0.02928303	10.11085499	5.04078598	13.73935487															
22.46701551	0.02017345	10.05193581	5.01588118	13.73935487															
22.43606794	0.04060811	10.02098824	4.99019007	13.73935487															
					15.52645529	0.11436037	6.48345672	3.18454818	10.00758508										
					15.5057958	0.00628003	6.46279723	3.2282586	10.00758508										
					15.47080637	0.03072298	6.4278078	3.19854241	10.00758508										
					15.43255753	0.02822911	6.38955896	3.18066492	10.00758508										
										10.68257151	0.07630526	4.21108896	2.06739185	7.16177402					
										10.66989489	0.04486111	4.19841234	2.07677562	7.16177402					
										10.653002	0.0376451	4.18151945	2.07193718	7.16177402					
										10.61699662	0.02340795	4.14551407	2.06105306	7.16177402					
															8.59644929	0.145004	3.32417601	1.589586	5.8346491
															8.59917042	0.07948574	3.32689714	1.6237057	5.8346491
															8.55849066	0.02841394	3.28621738	1.62890172	5.8346491
															8.55863363	0.02663476	3.28636035	1.6298628	5.8346491
22.53059862	0.1440138	10.09345475	4.97472047	13.76377255															
22.56649399	0.03769144	10.12935013	5.04582934	13.76377255															
22.49536441	0.02462392	10.05822054	5.01679831	13.76377255															
22.46079955	0.02849099	10.02365568	4.99758235	13.76377255															
					15.45874675	0.07087417	6.41167174	3.17039878	10.01209634										
					15.43580706	0.07256006	6.38873205	3.15808599	10.01209634										
					15.40735157	0.04638092	6.36027656	3.15694782	10.01209634										
					15.39539414	0.02984985	6.34831914	3.15923464	10.01209634										
										10.57581766	0.17119924	4.10442623	1.9666135	7.16167318					
										10.56429429	0.06786036	4.09290286	2.01252125	7.16167318					
										10.55740577	0.04819213	4.08601434	2.01891111	7.16167318					
										10.54827914	0.01920585	4.07688771	2.02884093	7.16167318					
															8.5494974	0.09607922	3.2685235	1.58622214	5.84427778
															8.57246246	0.01765766	3.29148857	1.63691545	5.84427778
															8.55123833	0.05379586	3.27026443	1.60823428	5.84427778
															8.52456603	0.01747624	3.24359214	1.61305795	5.84427778
22.3245099	0.07581766	9.89174034	4.90796134	13.75893164															
22.35875375	0.06093844	9.9259842	4.93252288	13.75893164															
22.31208722	0.05033606	9.87931767	4.9144908	13.75893164															
22.27754317	0.02638889	9.84477361	4.90919236	13.75893164															
					15.37127175	0.13660232	6.32314812	3.0932729	10.01325683										
					15.33614114	0.06316441	6.2880175	3.11242654	10.01325683										
					15.29362575	0.03484323	6.24550211	3.10532944	10.01325683										
					15.28152576	0.0239032	6.23340212	3.10474946	10.01325683										
										10.60003251	0.01354021	4.13468438	2.06057209	7.15498526					
										10.55192943	0.05945195	4.0865813	2.01356468	7.15498526					
										10.53630921	0.02478903	4.07096108	2.02308603	7.15498526					
										10.51708146	0.02861299	4.05173333	2.01156017	7.15498526					
															8.60633627	0.1454991	3.3290452	1.59177305	5.84020212
															8.54031156	0.03200075	3.26302049	1.61550987	5.84020212
															8.52767011	0.06797031	3.25037904	1.59120436	5.84020212
															8.5160961	0.0232958	3.23880503	1.60775461	5.84020212
22.18513953	0.11683587	9.74927128	4.8162177	13.76236086															
22.21135511	0.03546547	9.77548685	4.87001069	13.76236086															
22.16473899	0.03962141	9.72887074	4.84462466	13.76236086															
22.10622186	0.02588044	9.67035361	4.82223658	13.76236086															
					15.31789858	0.10052761	6.27943691	3.08945465	10.00256425										
					15.34801051	0.05302177	6.30954884	3.12826353	10.00256425										
					15.29593229	0.02297532	6.25747062	3.11724765	10.00256425										
					15.28657845	0.03145833	6.24811678	3.10832922	10.00256425										
										10.61041458	0.1034907	4.1457102	2.02110975	7.15427285					
										10.55267267	0.05574324	4.08796829	2.01611252	7.15427285					
										10.53416778	0.03896348	4.0694634	2.01524996	7.15427285					
										10.52944632	0.03924737	4.06474194	2.01274728	7.15427285					
															8.5944764	0.11485547	3.32279907	1.6039718	5.83398957
															8.53313814	0.05796922	3.26146081	1.6017458	5.83398957
															8.50723149	0.04127001	3.23555416	1.59714207	5.83398957
															8.50113363	0.04456456	3.22945631	1.59244587	5.83398957
