Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
25.26645579	0.08124875	12.83991187	6.37933156	13.75204194															
25.28113363	0.02804429	12.85458971	6.41327271	13.75204194															
25.23970147	0.02693045	12.81315754	6.39311354	13.75204194															
25.19700038	0.03008254	12.77045645	6.37018695	13.75204194															
					16.7293425	0.011565	7.67925381	3.83384441	10.01543148										
					16.74201201	0.04708709	7.69192332	3.82241812	10.01543148										
					16.67210974	0.03714977	7.62202105	3.79243564	10.01543148										
					16.65757129	0.01426276	7.6074826	3.79660992	10.01543148										
										10.89392629	0.06494049	4.41263741	2.17384846	7.17262635					
										10.86345721	0.07182057	4.38216833	2.15517388	7.17262635					
										10.86737492	0.02083389	4.38608604	2.18262608	7.17262635					
										10.85721986	0.02625188	4.37593099	2.17483955	7.17262635					
															8.56317263	0.10843419	3.28200363	1.58678472	5.8444937
															8.53948574	0.02705706	3.25831673	1.61562984	5.8444937
															8.50816461	0.02577718	3.2269956	1.60060921	5.8444937
															8.51364807	0.01685905	3.23247907	1.60781001	5.8444937
24.05066513	0.12177936	11.59461328	5.73641696	13.78469738															
24.02504505	0.0554955	11.56899319	5.75674885	13.78469738															
23.99828886	0.02808622	11.54223701	5.75707539	13.78469738															
23.95525888	0.01092546	11.49920703	5.74414078	13.78469738															
					16.0200165	0.08075365	6.95413471	3.43669053	10.03290918										
					16.0675976	0.04486111	7.00171581	3.47842735	10.03290918										
					16.0390427	0.0242937	6.97316091	3.4744336	10.03290918										
					16.02118934	0.02143072	6.95530755	3.46693842	10.03290918										
										10.5865223	0.10991198	4.09901573	1.99455187	7.17950728					
										10.66362988	0.03397898	4.17612331	2.07107216	7.17950728					
										10.62739743	0.02132672	4.13989086	2.05928207	7.17950728					
										10.62708917	0.0323074	4.1395826	2.0536376	7.17950728					
															8.42428986	0.03578216	3.14224221	1.55323003	5.84546606
															8.42176426	0.03274399	3.13971662	1.55348631	5.84546606
