Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
17.94546409	0.02367473	5.55607524	2.76620025	13.71092366															
17.93822447	0.02866366	5.54883562	2.76008598	13.71092366															
17.91515344	0.00146598	5.52576458	2.7621493	13.71092366															
17.88266141	0.01371246	5.49327256	2.73978005	13.71092366															
					12.31427536	0.10472845	3.2850191	1.59014533	9.99237692										
					12.3643506	0.03410285	3.33509435	1.65049575	9.99237692										
					12.36440043	0.00970897	3.33514418	1.6627176	9.99237692										
					12.33661643	0.02186406	3.30736018	1.64274806	9.99237692										
										8.51567313	0.10522354	2.06334207	0.97905926	7.14057971					
										8.50879129	0.05661036	2.05646022	0.99992493	7.14057971					
										8.50105987	0.03624416	2.04872881	1.00624232	7.14057971					
										8.50936186	0.00889077	2.05703079	1.02407001	7.14057971					
															6.86496049	0.09335617	1.60055748	0.75360066	5.82593933
															6.86813814	0.00838213	1.60373513	0.7976765	5.82593933
															6.85271097	0.02800367	1.58830797	0.78015215	5.82593933
															6.84509009	0.00926239	1.58068708	0.78571235	5.82593933
18.17379476	0.04443139	5.80066317	2.87811589	13.69293229															
18.14596471	0.05685811	5.77283313	2.85798751	13.69293229															
18.1048574	0.04102235	5.73172582	2.84535173	13.69293229															
18.0791479	0.01086899	5.70601631	2.84757366	13.69293229															
					12.45809412	0.10719644	3.44734035	1.67007195	9.97190084										
					12.45362988	0.03632883	3.44287611	1.70327364	9.97190084										
					12.43609573	0.01597065	3.42534196	1.70468566	9.97190084										
					12.39868243	0.02199887	3.38792866	1.68296489	9.97190084										
										8.52802811	0.10225295	2.08416168	0.99095437	7.13121218					
										8.54316817	0.04721096	2.09930174	1.02604539	7.13121218					
										8.52907855	0.01646598	2.08521213	1.03437308	7.13121218					
										8.52216108	0.01432466	2.07829466	1.031985	7.13121218					
															6.87089418	-0.00103521	1.61708389	0.80905955	5.81421672
															6.87654655	0.03187688	1.62273626	0.79542969	5.81421672
															6.85353652	0.01333389	1.59972624	0.79319617	5.81421672
															6.85226164	0.03498123	1.59845135	0.78173506	5.81421672
18.06259252	0.0834767	5.72265833	2.81959082	13.65619383															
18.09056682	0.03361111	5.75063263	2.85851076	13.65619383															
18.04684123	0.0317937	5.70690704	2.83755667	13.65619383															
18.03228416	0.00839715	5.69234998	2.84197641	13.65619383															
					12.36567564	0.07754301	3.36851159	1.64548429	9.95686154										
					12.42939565	0.0064039	3.4322316	1.71291385	9.95686154										
					12.35665277	0.02157438	3.35948873	1.66895717	9.95686154										
					12.36888138	0.03164414	3.37171734	1.6700366	9.95686154										
										8.51764603	0.11065463	2.07613929	0.98274233	7.1286008					
										8.5446509	0.03558934	2.10314416	1.03377741	7.1286008					
										8.50831221	0.01976067	2.06680547	1.0235224	7.1286008					
										8.51344407	0.0197729	2.07193733	1.02608221	7.1286008					
															6.82740048	0.06963643	1.58340411	0.75688384	5.80335598
															6.86541667	0.03088964	1.6214203	0.79526533	5.80335598
															6.8415035	0.03261674	1.59750713	0.7824452	5.80335598
															6.83383821	0.00950826	1.58984185	0.79016679	5.80335598
17.78236647	0.0834767	5.45757498	2.68704914	13.63943592															
17.77747372	0.02272898	5.45268223	2.71497662	13.63943592															
17.74720147	0.03261674	5.42240997	2.69489661	13.63943592															
17.72589732	0.02062781	5.40110583	2.69023901	13.63943592															
					12.30339818	0.05579616	3.31409944	1.62915164	9.94815727										
					12.26171922	0.0385548	3.27242048	1.61693284	9.94815727										
					12.27721231	0.00773015	3.28791357	1.64009171	9.94815727										
					12.25418022	0.02408892	3.26488148	1.62039628	9.94815727										
										8.49244099	0.03207642	2.05610036	1.01201197	7.12288363					
										8.51176051	0.02000751	2.07541988	1.02770619	7.12288363					
										8.46562375	0.03640927	2.02928312	0.99643692	7.12288363					
										8.47770646	0.01593844	2.04136583	1.0127137	7.12288363					
															6.84914733	0.04640428	1.60103303	0.77731437	5.80791316
															6.84043919	0.03113739	1.59232489	0.78059375	5.80791316
															6.8148032	0.03904603	1.5666889	0.76382143	5.80791316
															6.81504317	0.02298799	1.56692887	0.77197044	5.80791316
18.10460092	0.10274805	5.77704684	2.83714939	13.64249319															
18.11554429	0.00417793	5.78799021	2.89190614	13.64249319															
18.09941878	0.00608155	5.77186469	2.88289157	13.64249319															
18.05083146	0.01074512	5.72327737	2.85626613	13.64249319															
					12.3819839	0.05876675	3.38965035	1.6654418	9.95151579										
					12.37993243	0.02025526	3.38759889	1.68367182	9.95151579										
					12.38319046	0.02091644	3.39085692	1.68497024	9.95151579										
					12.37481794	0.01173423	3.3824844	1.68537508	9.95151579										
										8.48205891	0.09088818	2.04770887	0.97841035	7.12068071					
										8.50384384	0.05042793	2.0694938	1.00953294	7.12068071					
										8.49413776	0.02388342	2.05978772	1.01795215	7.12068071					
										8.48656703	0.0238413	2.05221699	1.01418785	7.12068071					
															6.84914733	0.06123475	1.61251289	0.77563907	5.79520878
															6.8441479	0.01234234	1.60751346	0.79758556	5.79520878
															6.83524183	0.0219046	1.59860739	0.78835139	5.79520878
															6.82646511	0.02322411	1.58983067	0.78330328	5.79520878
