Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
18.32527255	0.06172985	5.90547266	2.92187141	13.74457855															
18.34121622	0.03657658	5.92141632	2.94241987	13.74457855															
18.26283773	0.01102735	5.84303783	2.91600524	13.74457855															
18.23812969	0.0146961	5.81832979	2.90181685	13.74457855															
					12.49194839	0.0829816	3.44280793	1.67991317	10.01438211										
					12.54550676	0.03113739	3.4963663	1.73261446	10.01438211										
					12.50359073	0.02075133	3.45445027	1.71684947	10.01438211										
					12.48740616	0.01519707	3.4382657	1.71153431	10.01438211										
										8.55693889	0.05678636	2.09106288	1.01713826	7.15556945					
										8.59126877	0.04300676	2.12539276	1.041193	7.15556945					
										8.53756671	0.04662608	2.07169071	1.01253231	7.15556945					
										8.54466592	0.02212275	2.07878991	1.02833358	7.15556945					
															6.90277556	0.02218944	1.6332511	0.80553083	5.83160706
															6.89571321	0.0252027	1.62618876	0.80049303	5.83160706
															6.85345397	0.020256	1.58392952	0.78183676	5.83160706
															6.84366929	0.01062125	1.57414484	0.7817618	5.83160706
18.01193489	0.08792509	5.6021691	2.75712201	13.73347414															
18.0209497	0.01827703	5.61118391	2.79645344	13.73347414															
17.9854478	0.04168279	5.57568201	2.76699961	13.73347414															
