Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
18.2639931	0.01181723	5.98043584	2.98430931	13.59380336															
18.398247	-2.628e-05	6.11468974	3.05735801	13.59380336															
18.35408105	0.04036441	6.0705238	3.0150797	13.59380336															
18.40357241	0.0254471	6.12001516	3.04728403	13.59380336															
					12.44531813	-0.0262455	3.47723446	1.75173998	9.92467926										
					12.48927177	0.00838213	3.5211881	1.75640298	9.92467926										
					12.55923282	0.01251084	3.59114915	1.78931915	9.92467926										
					12.5826952	0.00171922	3.61461152	1.80644615	9.92467926										
										8.4892482	0.082503	2.09282622	1.00516161	7.07870699					
										8.4643018	0.01357733	2.06787983	1.02715125	7.07870699					
										8.41125	-0.00084056	2.01482803	1.00783429	7.07870699					
										8.4558054	0.00283079	2.05938343	1.02827632	7.07870699					
															6.51640906	0.02812875	1.29030399	0.63108762	5.78355628
															6.70568318	-0.04305556	1.47957811	0.76131683	5.78355628
															6.74493913	-0.01732155	1.51883405	0.7680778	5.78355628
															6.80262381	-0.02695535	1.57651874	0.80173705	5.78355628
18.09789916	0.09090636	5.84310372	2.87609868	13.56197362															
18.00453078	0.0158033	5.74973534	2.86696602	13.56197362															
18.06812292	0.01976067	5.81332748	2.8967834	13.56197362															
18.05726488	-0.00359617	5.80246944	2.90303281	13.56197362															
					12.21595138	0.00439676	3.27220543	1.63390434	9.89774552										
					12.4771509	0.01036411	3.53340495	1.76152042	9.89774552										
					12.43611324	0.01498249	3.49236729	1.7386924	9.89774552										
					12.4310549	0.03212169	3.48730895	1.72759363	9.89774552										
										8.35281363	0.07953932	1.94547091	0.9329658	7.0907926					
										8.35622748	0.03138514	1.94888476	0.95874981	7.0907926					
										8.36361825	-0.00627919	1.95627553	0.98127736	7.0907926					
										8.39512069	0.00579665	1.98777797	0.99099066	7.0907926					
															6.66717437	0.03504652	1.44716825	0.70606087	5.77680677
															6.59043544	0.04275901	1.37042932	0.66383515	5.77680677
															6.75301451	-0.00710474	1.53300839	0.77005656	5.77680677
															6.68792896	-0.01088794	1.46792285	0.7394054	5.77680677
17.8497449	0.17938926	5.58711255	2.70386165	13.57064647															
18.03123874	-0.00521772	5.76860639	2.88691205	13.57064647															
18.00071047	-0.02506921	5.73807813	2.88157367	13.57064647															
18.00992746	-0.00619247	5.74729512	2.87674379	13.57064647															
					12.21941026	0.05284364	3.27471865	1.61093751	9.89879205										
					12.35968093	0.0343506	3.41498932	1.69031936	9.89879205										
					12.45012258	0.0102018	3.50543097	1.74761458	9.89879205										
					12.40386506	-0.01805778	3.45917344	1.73861561	9.89879205										
										8.28015456	0.05086285	1.88925409	0.91919562	7.07259653					
										8.37378754	-0.00447447	1.98288706	0.99368077	7.07259653					
										8.34219146	0.00838809	1.95129099	0.97145145	7.07259653					
										8.38585168	-0.00940595	1.9949512	1.00217858	7.07259653					
															6.60390156	0.03257803	1.38808794	0.67775495	5.77216708
															6.65003754	-0.0527027	1.43422392	0.74346331	5.77216708
															6.69582138	0.03558372	1.48000776	0.72221202	5.77216708
															6.75615308	0.02717859	1.54033945	0.75658043	5.77216708
18.03858043	0.0394958	5.76384884	2.86217652	13.58403629															
18.0804542	0.02248123	5.80572262	2.89162069	13.58403629															
18.11690794	0.00888342	5.84217635	2.91664646	13.58403629															
18.09261131	-0.00779827	5.81787972	2.912839	13.58403629															
					12.2119973	0.00835084	3.26605799	1.62885358	9.90017283										
					12.41210961	-0.01857357	3.4661703	1.74237194	9.90017283										
					12.42836808	-0.00265427	3.48242877	1.74254152	9.90017283										
					12.40781953	-0.00075413	3.46188023	1.73131718	9.90017283										
										8.2064976	0.00291867	1.80622937	0.90165535	7.08296351					
										8.40445195	-0.01783033	2.00418372	1.01100703	7.08296351					
										8.41669113	0.00476318	2.0164229	1.00582986	7.08296351					
										8.42836793	0.02421273	2.02809971	1.00194349	7.08296351					
															6.62664316	0.16357293	1.4182255	0.62732629	5.7639822
															6.67847598	0.02297673	1.47005832	0.7235408	5.7639822
															6.72911608	-0.01468479	1.52069842	0.76769161	5.7639822
															6.76678214	-0.012248	1.55836449	0.78530624	5.7639822
18.18292317	-0.12165366	5.90154949	3.01160158	13.59138687															
18.15192568	-0.06086336	5.870552	2.96570768	13.59138687															
18.18613159	0.00838809	5.90475791	2.94818491	13.59138687															
18.2059461	0.00394322	5.92457242	2.9603146	13.59138687															
					12.25006002	-0.0262455	3.304367	1.66530625	9.89990028										
					12.44920796	0.00789039	3.50351493	1.74781227	9.89990028										
					12.446993	0.00608155	3.50129997	1.74760921	9.89990028										
					12.49816658	0.02186406	3.55247356	1.76530475	9.89990028										
										8.09972239	0.06668667	1.70429778	0.81880555	7.07760323					
										8.36785285	-0.00942192	1.97242825	0.99092508	7.07760323					
										8.43580887	-0.00364243	2.04038427	1.02201335	7.07760323					
										8.43195285	0.01308842	2.03652825	1.01171991	7.07760323					
															6.59352491	0.02219388	1.3853156	0.68156086	5.76375163
															6.66660661	-0.00991742	1.4583973	0.73415736	5.76375163
															6.70851484	-0.00825801	1.50030554	0.75428177	5.76375163
															6.73155765	0.02507754	1.52334835	0.7491354	5.76375163
