Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
25.17630552	0.09688625	12.75650562	6.32980969	13.74457855															
25.16549174	0.01409535	12.74569184	6.36579825	13.74457855															
25.07709056	0.03939126	12.65729066	6.3089497	13.74457855															
25.08773649	0.04575263	12.66793659	6.31109198	13.74457855															
					16.4732593	0.07019058	7.42411885	3.67696414	10.01438211										
					16.59298423	0.06281532	7.54384378	3.74051423	10.01438211										
					16.59965644	0.04367662	7.55051598	3.75341968	10.01438211										
					16.64332958	0.02918168	7.59418912	3.78250372	10.01438211										
										10.90916116	0.00939376	4.44328516	2.2169457	7.15556945					
										10.95926426	0.00543919	4.49338826	2.24397453	7.15556945					
										10.93715894	0.00445047	4.47128293	2.23341623	7.15556945					
										10.92722424	0.00358492	4.46134823	2.22888166	7.15556945					
															8.54679622	0.05190576	3.27727177	1.612683	5.83160706
															8.81484234	0.07468844	3.54531789	1.73531473	5.83160706
															8.74441711	0.02241494	3.47489266	1.72623886	5.83160706
															8.76990495	0.00778702	3.5003805	1.74629674	5.83160706
25.02751351	-0.05289616	12.61774772	6.33532194	13.73347414															
25.1372973	0.04055931	12.72753151	6.3434861	13.73347414															
25.14977652	0.01681121	12.74001073	6.36159976	13.73347414															
25.1098705	0.00321509	12.70010471	6.34844481	13.73347414															
					16.56619148	-0.06228241	7.53236119	3.7973218	9.99743885										
					16.73370495	0.02027778	7.69987467	3.83979845	9.99743885										
					16.67596731	0.02224983	7.64213702	3.8099436	9.99743885										
					16.68178679	0.01743619	7.6479565	3.81526016	9.99743885										
										10.7920093	-0.00198079	4.3329811	2.16748094	7.14799122					
										10.92983483	0.02225601	4.47080663	2.22427531	7.14799122					
										10.94803619	-0.01104236	4.48900798	2.25002517	7.14799122					
										10.9184486	0.03176338	4.45942039	2.21382851	7.14799122					
															8.56063175	0.01384304	3.2968358	1.64149638	5.82526752
															8.76661411	0.05391517	3.50281817	1.7244515	5.82526752
															8.76139343	0.04763175	3.49759748	1.72498286	5.82526752
															8.72903716	0.04439189	3.46524121	1.71042466	5.82526752
25.28852041	0.1309949	12.89701202	6.38300856	13.71326928															
25.5231006	0.0136036	13.13159222	6.55899431	13.71326928															
25.41529853	0.03016261	13.02379015	6.49681377	13.71326928															
25.46043356	-0.00383258	13.06892517	6.53637888	13.71326928															
					16.67938926	-0.00840336	7.65020847	3.82930592	9.9922934										
					16.86477853	0.05935435	7.83559774	3.88812169	9.9922934										
					16.83633672	0.04318129	7.80715594	3.88198733	9.9922934										
					16.83140953	0.02584459	7.80222875	3.88819208	9.9922934										
										11.01445078	-0.08353842	4.55633413	2.31993627	7.14698242					
										10.98943694	0.02596847	4.53132029	2.25267591	7.14698242					
										10.97852902	0.03889593	4.52041237	2.24075822	7.14698242					
										11.0035473	0.04352665	4.54543065	2.250952	7.14698242					
															8.76379802	0.06030912	3.49674225	1.71821656	5.82887505
															8.81434685	-0.00173048	3.54729108	1.77451078	5.82887505
															8.8360557	0.02389843	3.56899993	1.77255075	5.82887505
															8.83340278	0.00457583	3.56634701	1.78088559	5.82887505
25.67557023	0.11517857	13.29802268	6.59142205	13.69781929															
25.82951952	0.01211712	13.45197197	6.71992743	13.69781929															
25.72482738	0.02060123	13.34727984	6.6633393	13.69781929															
25.67931153	0.03880753	13.30176398	6.63147823	13.69781929															
					16.96165216	0.15076531	7.93621715	3.89272592	9.98814808										
					16.8766479	0.04624625	7.85121289	3.90248332	9.98814808										
					16.84474233	0.02307538	7.81930732	3.89811597	9.98814808										
					16.8253491	0.03301614	7.79991409	3.88344897	9.98814808										
										11.00604742	-0.05981393	4.54542931	2.30262162	7.1497507					
										10.99314565	0.01879505	4.53252754	2.25686625	7.1497507					
										11.0299508	0.07779436	4.56933269	2.24576917	7.1497507					
										10.99643509	0.02471923	4.53581699	2.25554888	7.1497507					
															8.72722089	0.09738145	3.46601796	1.68431825	5.82239791
															8.8551539	0.08210586	3.59395097	1.75592256	5.82239791
															8.81446381	0.02950217	3.55326088	1.76187935	5.82239791
															8.81856419	0.01694069	3.55736126	1.77021028	5.82239791
25.85402161	-0.03707233	13.45978713	6.74842973	13.71628615															
25.90222598	-0.00148273	13.5079915	6.75473712	13.71628615															
25.79141428	0.02554703	13.3971798	6.68581638	13.71628615															
25.7626464	-0.00160661	13.36841192	6.68500926	13.71628615															
					16.81878752	-0.02669568	7.79300311	3.90984939	9.98853474										
					16.8121021	0.02695571	7.7863177	3.87968099	9.98853474										
					16.82891928	0.01516261	7.80313487	3.89398613	9.98853474										
					16.8089039	0.02831644	7.7831195	3.87740153	9.98853474										
										10.901253	0.12753601	4.44350549	2.15798474	7.14657391					
										11.03790916	0.0600976	4.58016165	2.26003203	7.14657391					
										11.07544113	-0.00379003	4.61769362	2.31074182	7.14657391					
										11.05276276	0.04624625	4.59501525	2.2743845	7.14657391					
															8.76330282	0.03608193	3.50142335	1.73267071	5.82314661
															8.75573198	0.00593468	3.49385252	1.74395892	5.82314661
															8.83077969	0.00807538	3.56890022	1.78041242	5.82314661
															8.86048236	0.0048217	3.59860289	1.7968906	5.82314661
