Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
23.43658463	-0.03218037	11.04719578	5.53968808	13.71092366															
23.4817042	0.02891141	11.09231535	5.53170197	13.71092366															
23.46938626	0.03393512	11.07999741	5.52303114	13.71092366															
23.45358483	0.01482545	11.06419598	5.52468527	13.71092366															
					15.16953031	0.03356843	6.14027406	3.05335281	9.99237692										
					15.48345345	0.02569444	6.4541972	3.21425138	9.99237692										
					15.53783105	0.00294947	6.5085748	3.25281267	9.99237692										
					15.47342484	-0.0073049	6.44416858	3.22573674	9.99237692										
										9.98260054	-0.04305222	3.53026947	1.78666085	7.14057971					
										10.04757883	0.03558934	3.59524776	1.77982921	7.14057971					
										10.11431788	-0.00364243	3.66198681	1.83281462	7.14057971					
										10.09896021	0.0039452	3.64662914	1.82134197	7.14057971					
															7.89161164	0.13045468	2.62720864	1.24837698	5.82593933
															8.03868243	-0.0205518	2.77427942	1.39741561	5.82593933
															8.06348566	0.01646598	2.79908265	1.39130834	5.82593933
															8.01908408	-0.01052365	2.75468108	1.38260236	5.82593933
23.17953932	-0.01833733	10.80640773	5.41237253	13.69293229															
23.35631757	0.03187688	10.98318598	5.47565455	13.69293229															
23.34445297	-0.01633339	10.97132138	5.49382738	13.69293229															
23.37951389	0.00876689	11.0063823	5.4988077	13.69293229															
					15.38505402	0.02515756	6.37430025	3.17457134	9.97190084										
					15.50496622	0.01357733	6.49421245	3.24031756	9.97190084										
					15.50816378	0.02454136	6.49741	3.23643432	9.97190084										
					15.50293168	-0.00013514	6.49217791	3.24615652	9.97190084										
										10.14176921	0.08546669	3.69790278	1.80621805	7.13121218					
										10.08467718	-0.01684309	3.64081075	1.82882692	7.13121218					
										10.08844313	0.03509089	3.6445767	1.80474291	7.13121218					
										10.11070758	0.03708333	3.66684116	1.81487891	7.13121218					
															7.80609244	0.04394508	2.55228215	1.25416853	5.81421672
															7.97512387	0.02915916	2.72131358	1.34607721	5.81421672
															7.97365827	-0.00364243	2.71984798	1.36174521	5.81421672
															7.99596096	-0.00384572	2.74215067	1.3729982	5.81421672
23.35205582	0.13737245	11.01212164	5.43737459	13.65619383															
23.42482357	0.06254505	11.08488939	5.51117217	13.65619383															
23.51767845	0.03624416	11.17774427	5.57075005	13.65619383															
23.48115495	0.00802151	11.14122077	5.56659963	13.65619383															
					15.38851291	0.03554172	6.39134886	3.17790357	9.95686154										
					15.51832207	0.01728604	6.52115803	3.251936	9.95686154										
					15.52217312	-0.01369663	6.52500907	3.26935285	9.95686154										
					15.54744745	-0.0171997	6.55028341	3.28374155	9.95686154										
										9.97765606	-0.00796068	3.53614932	1.772055	7.1286008					
										10.07329955	-0.048003	3.63179281	1.83989791	7.1286008					
										10.09849483	-0.03232155	3.65698809	1.84465482	7.1286008					
										10.10316441	0.01062125	3.66165767	1.82551821	7.1286008					
															7.71909514	-0.06332533	2.47509877	1.26921205	5.80335598
															7.99243619	-0.06506757	2.74843982	1.40675369	5.80335598
															8.08408689	0.00229153	2.84009052	1.4188995	5.80335598
															8.07955143	0.00975601	2.83555506	1.41289953	5.80335598
23.6619973	-0.01042917	11.3372058	5.67381749	13.63943592															
23.72431306	-0.02351727	11.39952157	5.71151942	13.63943592															
23.77232071	0.00327969	11.44752922	5.72212477	13.63943592															
23.71734117	0.00604427	11.39254968	5.6932527	13.63943592															
					15.38307323	-0.03514406	6.39377449	3.21445927	9.94815727										
					15.62812688	0.00492117	6.63882814	3.31695348	9.94815727										
					15.62749083	0.01152018	6.63819209	3.31333595	9.94815727										
					15.58663582	-0.00421523	6.59733708	3.30077616	9.94815727										
										9.89213685	0.13786765	3.45579623	1.65896429	7.12288363					
										10.10693318	0.00887763	3.67059256	1.83085746	7.12288363					
										10.1530512	-0.02358572	3.71671057	1.87014815	7.12288363					
										10.16610548	-0.01138889	3.72976485	1.87057687	7.12288363					
															7.86393307	-0.03613445	2.61581877	1.32597661	5.80791316
															8.10397147	-0.00150901	2.85585717	1.42868309	5.80791316
															8.03101651	-0.01435457	2.78290221	1.39862839	5.80791316
															8.04473487	-0.0213932	2.79662057	1.40900688	5.80791316
23.86862245	-0.00647509	11.54106836	5.77377173	13.64249319															
23.86825075	-0.01263889	11.54069667	5.77666778	13.64249319															
23.85852318	0.00575133	11.5309691	5.76260888	13.64249319															
23.85756569	0.01742305	11.53001161	5.75629428	13.64249319															
					15.70784814	0.01428571	6.71551459	3.35061444	9.95151579										
					15.62689189	-0.01807808	6.63455835	3.32631821	9.95151579										
					15.69341978	0.01382922	6.70108623	3.34362851	9.95151579										
					15.68074887	-0.01015203	6.68841533	3.34928368	9.95151579										
										10.00286615	-0.00796068	3.56851611	1.78823839	7.12068071					
										10.13636261	0.01382508	3.70201257	1.84409375	7.12068071					
										10.12832722	0.00294947	3.69397718	1.84551386	7.12068071					
										10.16559342	0.02062781	3.73124338	1.85530778	7.12068071					
															7.83773259	-0.07222389	2.60109815	1.33666102	5.79520878
															7.97165916	0.04572823	2.73502472	1.34464825	5.79520878
															8.0442003	0.0219046	2.80756586	1.39283063	5.79520878
															8.06191471	-0.02176463	2.82528027	1.42352245	5.79520878
