Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
18.99791708	0.04991498	6.57137316	3.26072909	13.75204194															
19.04357733	0.02621622	6.6170334	3.29540859	13.75204194															
19.01539943	0.05389593	6.58885551	3.26747979	13.75204194															
19.04445285	0.01915708	6.61790893	3.29937592	13.75204194															
					13.09638928	-0.01384027	4.04630059	2.03007043	10.01543148										
					13.12396772	-0.02670796	4.07387903	2.05029349	10.01543148										
					13.18594063	-0.00082305	4.13585194	2.06833749	10.01543148										
					13.18996748	0.00049525	4.1398788	2.06969177	10.01543148										
										8.95479596	-0.03954041	2.47350708	1.25652375	7.17262635					
										8.98227102	-0.0279467	2.50098215	1.26446442	7.17262635					
										8.95340644	0.00428536	2.47211756	1.2339161	7.17262635					
										8.94923899	0.00407829	2.46795012	1.23193592	7.17262635					
															7.15581616	0.01976645	1.87464716	0.92744035	5.8444937
															7.21400526	-0.01261261	1.93283625	0.97272443	5.8444937
															7.23385757	-0.01252585	1.95268857	0.98260721	5.8444937
															7.17703852	-0.01965045	1.89586951	0.95775998	5.8444937
18.92279706	0.01185987	6.46674521	3.22744267	13.78469738															
18.95231982	-0.02299925	6.49626797	3.25963361	13.78469738															
18.97023933	0.00972398	6.51418748	3.25223175	13.78469738															
18.93383817	0.01161768	6.47778632	3.23308432	13.78469738															
					13.05353391	-0.04696128	3.98765212	2.0173067	10.03290918										
					13.08192568	-0.07048423	4.01604389	2.04326406	10.03290918										
					13.09479486	-0.01038442	4.02891307	2.01964875	10.03290918										
					13.12310343	-0.000741	4.05722164	2.02898132	10.03290918										
										8.77467737	0.03559424	2.2871708	1.12578828	7.17950728					
										8.9192042	0.01112988	2.43169763	1.21028388	7.17950728					
										8.95966811	0.03576634	2.47216154	1.2181976	7.17950728					
										8.925756	-0.00271823	2.43824943	1.22048383	7.17950728					
															6.99758403	0.18487395	1.71553639	0.76533122	5.84546606
															7.08960586	-0.01706456	1.80755821	0.91231139	5.84546606
															7.18737658	-0.00609907	1.90532894	0.955714	5.84546606
															7.17530703	0.01668459	1.89325938	0.9382874	5.84546606
19.14655612	-0.07217137	6.71208885	3.39213011	13.76081045															
19.10713589	0.02299925	6.67266861	3.32483468	13.76081045															
19.13720063	0.01516261	6.70273336	3.34378537	13.76081045															
19.10118309	0.01445973	6.66671582	3.32612804	13.76081045															
					13.04957983	0.1962485	3.9891869	1.8964692	10.02683485										
					13.11457207	0.04451577	4.05417914	2.00483168	10.02683485										
					13.08111574	-0.02538192	4.02072281	2.02305236	10.02683485										
					13.15832791	-0.01075288	4.09793498	2.05434393	10.02683485										
										8.96153211	0.04597089	2.48295534	1.21849223	7.16962496					
										8.96273273	0.02868619	2.48415596	1.22773489	7.16962496					
										8.97367745	0.02208472	2.49510068	1.23650798	7.16962496					
										8.93947474	0.00197724	2.46089797	1.22946037	7.16962496					
															7.07321429	0.04448529	1.78783003	0.87167237	5.84915857
															7.0898536	0.02918168	1.80446935	0.88764383	5.84915857
															7.22858155	0.01318629	1.9431973	0.96500551	5.84915857
															7.19162206	0.02496498	1.90623781	0.94063641	5.84915857
19.37789616	0.07068577	6.94346133	3.43638778	13.76077454															
19.25453453	0.02942943	6.82009971	3.39533514	13.76077454															
19.26048532	0.02093145	6.8260505	3.40255952	13.76077454															
19.22069722	0.01087669	6.7862624	3.38769286	13.76077454															
					13.18732997	-0.01581316	4.13331688	2.07456502	10.01977448										
					13.2080518	-0.02250375	4.15403872	2.08827124	10.01977448										
					13.21791444	0.04137008	4.16390136	2.06126564	10.01977448										
					13.19923649	0.00346111	4.14522341	2.07088115	10.01977448										
										8.96993547	-0.02471489	2.48957504	1.25714496	7.17159889					
										8.93453829	-0.00197823	2.45417785	1.22807804	7.17159889					
										8.94928619	0.03972148	2.46892575	1.21460214	7.17159889					
										8.96295773	-0.00136006	2.48259729	1.24197867	7.17159889					
															7.14390756	-0.00988896	1.86750398	0.93869647	5.83921996
															7.20633634	0.02151652	1.92993276	0.95420812	5.83921996
															7.17023766	0.02142678	1.89383408	0.93620365	5.83921996
															7.26342921	-0.0084042	1.98702564	0.99771492	5.83921996
19.42683824	0.06327281	6.99928758	3.46800739	13.75315605															
19.35246997	0.03660285	6.92491932	3.44415823	13.75315605															
19.35921114	0.00296698	6.93166049	3.46434676	13.75315605															
19.30424587	0.01606741	6.87669522	3.43031391	13.75315605															
					13.18353842	0.16757203	4.13614667	1.98428732	10.01244687										
