Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
25.92569778	-0.03855792	13.48981647	6.7641872	13.76237532															
25.9737012	0.0459985	13.53781989	6.7459107	13.76237532															
25.94041111	0.00362492	13.5045298	6.75045244	13.76237532															
25.86556591	-0.00791083	13.4296846	6.71879771	13.76237532															
					17.16778211	-0.03311825	8.1144155	4.07376687	10.01905905										
					17.25107733	-0.00840841	8.19771071	4.10305956	10.01905905										
					17.24739326	0.02307538	8.19402665	4.08547563	10.01905905										
					17.19376876	0.00358492	8.14040215	4.06840861	10.01905905										
										11.10837335	0.05387905	4.63500491	2.29056293	7.16386107					
										11.18109985	0.02003378	4.70773141	2.34384881	7.16386107					
										11.12307288	0.00527352	4.64970444	2.32221546	7.16386107					
										11.12262381	0.03139195	4.64925537	2.30893171	7.16386107					
															8.64368247	0.09392257	3.3665715	1.63632447	5.84000281
															8.78565691	0.04971096	3.50854593	1.72941749	5.84000281
															8.75974483	0.0049458	3.48263386	1.73884403	5.84000281
															8.75433279	0.00346111	3.47722182	1.73688036	5.84000281
26.0519754	-0.01433537	13.6368957	6.82561553	13.73935487															
25.99373123	0.02918168	13.57865153	6.77473493	13.73935487															
25.93381921	0.01565794	13.51873951	6.75154079	13.73935487															
25.92464295	0.00815658	13.50956325	6.75070333	13.73935487															
					17.11294759	0.12503501	8.06994902	3.97245701	10.00758508										
					17.29410661	0.06825826	8.25110804	4.09142489	10.00758508										
					17.16317211	0.04087475	8.12017355	4.0396494	10.00758508										
					17.195746	0.01248249	8.15274743	4.07013247	10.00758508										
										11.02533013	0.0207608	4.55384758	2.26654339	7.16177402					
										11.18753003	0.00791291	4.71604748	2.35406728	7.16177402					
										11.10016261	0.01285607	4.62868006	2.30791199	7.16177402					
										11.14425338	0.01779702	4.67277083	2.3274869	7.16177402					
															8.66691176	0.02965936	3.39463848	1.68248956	5.8346491
															8.77477477	0.00222598	3.50250149	1.75013776	5.8346491
															8.71639593	0.04103986	3.44412265	1.70154139	5.8346491
															8.71107554	0.01198912	3.43880226	1.71340657	5.8346491
26.11255252	0.06129952	13.67540865	6.80705457	13.76377255															
26.22224474	0.00816066	13.78510088	6.88847011	13.76377255															
26.10869079	0.00115327	13.67154693	6.83519683	13.76377255															
26.07740433	-0.00444972	13.64026046	6.82235509	13.76377255															
					17.29630852	-0.0207608	8.24923352	4.13499716	10.01209634										
					17.30029279	0.00074324	8.25321779	4.12623727	10.01209634										
					17.26206304	0.01038442	8.21498803	4.10230181	10.01209634										
					17.25259817	0.00976426	8.20552317	4.09787945	10.01209634										
										10.9887455	0.00840336	4.51735407	2.25447535	7.16167318					
										11.08563814	-0.01434309	4.61424671	2.3142949	7.16167318					
										11.08730904	0.00543863	4.61591761	2.30523949	7.16167318					
										11.1292984	0.00568597	4.65790697	2.3261105	7.16167318					
															8.6807548	0.0222464	3.39978091	1.68876725	5.84427778
															8.64790541	0.0185473	3.36693151	1.67419211	5.84427778
															8.75776601	-0.02159189	3.47679212	1.749192	5.84427778
															8.73702914	0.00247249	3.45605524	1.72679138	5.84427778
26.22328181	0.18389106	13.79051225	6.8033106	13.75893164															
26.13099099	0.0046997	13.69822143	6.84676087	13.75893164															
26.08825217	0.0250517	13.65548261	6.81521545	13.75893164															
26.02116933	0.02768509	13.58839978	6.78035734	13.75893164															
					17.37490246	0.0227416	8.32677882	4.15201861	10.01325683										
					17.40193694	-0.01038664	8.3538133	4.18209997	10.01325683										
					17.38139009	0.01071214	8.33326645	4.16127716	10.01325683										
					17.36052928	-0.00012387	8.31240564	4.15626476	10.01325683										
										11.12319928	0.01433824	4.65785115	2.32175646	7.15498526					
										11.15364865	-0.00024775	4.68830052	2.34427414	7.15498526					
										11.14252085	0.02324049	4.67717272	2.32696611	7.15498526					
										11.08085043	0.0217515	4.6155023	2.2968754	7.15498526					
															8.65455432	-0.00148559	3.37726325	1.68937442	5.84020212
															8.69341216	0.00173048	3.41612109	1.70719531	5.84020212
															8.72842895	0.02818379	3.45113788	1.71147705	5.84020212
															8.72470908	0.00741929	3.44741801	1.71999936	5.84020212
26.3557623	0.03954832	13.91989405	6.94017287	13.76236086															
26.38497748	-0.03585961	13.94910923	6.99248442	13.76236086															
26.24120414	0.0267003	13.80533589	6.88931779	13.76236086															
26.24858179	0.0194047	13.81271354	6.89665442	13.76236086															
					17.29235444	0.14187425	8.25389277	4.05600926	10.00256425										
					17.3453003	0.06974099	8.30683863	4.11854882	10.00256425										
					17.37693963	0.0566978	8.33847796	4.14089008	10.00256425										
					17.38501314	-0.02299925	8.34655147	4.18477536	10.00256425										
										11.16967287	0.09936224	4.70496849	2.30280312	7.15427285					
