Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
24.48602941	-0.01784214	12.16612143	6.09198178	13.6340315															
24.52906156	0.00541667	12.20915358	6.10186845	13.6340315															
24.45088059	-0.04748416	12.1309726	6.08922838	13.6340315															
24.47732545	0.01136449	12.15741747	6.07302649	13.6340315															
					15.98021459	0.00093788	7.00459898	3.50183055	9.93301461										
					16.08416667	0.02248123	7.10855106	3.54303491	9.93301461										
					16.03624083	-0.01336641	7.06062522	3.53699581	9.93301461										
					16.04268581	-0.00174362	7.0670702	3.53440691	9.93301461										
										10.18082233	0.05135804	3.75333653	1.85098924	7.11308428					
										10.28870871	-0.03934685	3.86122291	1.95028488	7.11308428					
										10.29051034	-0.00594897	3.86302454	1.93448675	7.11308428					
										10.30200263	0.00109985	3.87451683	1.93670849	7.11308428					
															7.98207533	0.03554172	2.75079172	1.357625	5.78928719
															8.10520646	0.07095345	2.87392285	1.4014847	5.78928719
															8.13402769	0.00394013	2.90274408	1.44940198	5.78928719
															8.14595345	-0.00273273	2.91466985	1.45870129	5.78928719
24.50728541	0.16159214	12.20019539	6.01930163	13.6198463															
24.62947072	-0.03464715	12.32238069	6.17851392	13.6198463															
24.54185874	-0.03528853	12.23476871	6.13502862	13.6198463															
24.56351351	0.01445571	12.25642349	6.12098389	13.6198463															
					15.84279712	-0.09841687	6.86764885	3.48303286	9.93249742										
					16.05275901	0.02297673	7.07761074	3.52731701	9.93249742										
					16.01432121	0.01663109	7.03917295	3.51127093	9.93249742										
					15.97554242	-0.00743243	7.00039415	3.50391329	9.93249742										
										10.20356393	-0.03317077	3.78967846	1.91142461	7.09803325					
										10.2159985	-0.00076577	3.80211303	1.9014394	7.09803325					
										10.32446298	-0.01798199	3.91057751	1.96427975	7.09803325					
										10.31461524	-0.01546922	3.90072977	1.9580995	7.09803325					
															7.9894883	0.00291867	2.75566795	1.37637464	5.79209452
															8.00084459	0.00319069	2.76702425	1.38191678	5.79209452
															8.07996664	0.02833139	2.8461463	1.40890745	5.79209452
															8.08313626	0.01692755	2.84931591	1.41619418	5.79209452
24.3802446	-0.03712485	12.09210246	6.06461365	13.5988773															
24.48281532	0.01308183	12.19467318	6.09079567	13.5988773															
24.44791361	-0.01518012	12.15977147	6.08747579	13.5988773															
24.46904092	-0.00124812	12.18089878	6.09107345	13.5988773															
					15.76172719	-0.07172869	6.79596157	3.43384513	9.92211395										
					16.00280405	0.0484497	7.03703844	3.49429437	9.92211395										
					16.00212308	-0.02127919	7.03635747	3.52881833	9.92211395										
					15.97764452	-0.00743243	7.0118789	3.50965567	9.92211395										
										10.15215336	0.17148109	3.73766549	1.7830922	7.09869991					
										10.24320195	0.00566441	3.82871408	1.91152483	7.09869991					
										10.21073716	-0.00710474	3.79624928	1.90167701	7.09869991					
										10.29557245	-0.00335023	3.88108457	1.9422174	7.09869991					
															7.94994748	-0.05393157	2.72103268	1.38748213	5.78666571
															8.07750751	0.07936186	2.84859271	1.38461542	5.78666571
															8.10946881	0.01283856	2.88055401	1.43385773	5.78666571
															8.13371246	-0.01213026	2.90479766	1.45846396	5.78666571
24.70155312	0.12254652	12.41008989	6.14377169	13.60255264															
24.68437312	0.01778153	12.3929099	6.18756418	13.60255264															
