Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
159.1039792	0.07634307	147.76966385	73.84666039	13.6340315															
151.05815676	0.04752988	139.72384141	69.83815577	13.6340315															
150.7718977	0.03910537	139.43758235	69.69923849	13.6340315															
150.41621674	0.01090946	139.0819014	69.53549597	13.6340315															
					102.92689558	0.12363133	94.66932922	47.27284895	9.93301461										
					101.50098228	0.0361542	93.24341592	46.60363086	9.93301461										
					100.79482255	0.04744613	92.53725619	46.24490503	9.93301461										
					100.42326134	0.0416262	92.16569497	46.06203439	9.93301461										
										61.1324952	0.11638055	55.21920826	27.55141386	7.11308428					
										60.64845826	0.04616577	54.73517132	27.34450278	7.11308428					
										60.32903836	0.02697628	54.41575142	27.19438757	7.11308428					
										60.05914637	0.0308032	54.14585944	27.05752812	7.11308428					
															43.28384634	0.06180732	38.47106542	19.20462905	5.78928719
															42.96699069	0.03228634	38.15420977	19.06096172	5.78928719
															42.73001298	0.03789246	37.91723206	18.9396698	5.78928719
															42.57581629	0.02183101	37.76303537	18.87060218	5.78928719
153.53021158	0.06862725	142.20768876	71.06953075	13.6198463															
146.19043468	0.01044324	134.86791186	67.42873431	13.6198463															
145.88953319	0.0019563	134.56701036	67.28252703	13.6198463															
145.3702942	0.0308032	134.04777137	67.00848409	13.6198463															
					99.34668724	0.0695245	91.08955083	45.51001316	9.93249742										
					97.72563934	0.05094189	89.46850293	44.70878052	9.93249742										
					97.25173469	0.03015931	88.99459828	44.48221949	9.93249742										
					96.80601231	0.02581284	88.5488759	44.26153153	9.93249742										
										58.90681032	0.09818487	53.00603569	26.45392541	7.09803325					
										58.45920706	0.06868919	52.55843243	26.24487162	7.09803325					
										58.18509236	0.028493	52.28431773	26.12791237	7.09803325					
										57.97741577	0.01238926	52.07664113	26.03212593	7.09803325					
															42.04412425	0.10591597	37.22900953	18.56154678	5.79209452
															41.76656682	0.05890556	36.9514521	18.44627327	5.79209452
															41.58715387	0.04031828	36.77203915	18.36586044	5.79209452
															41.4577521	0.0081795	36.64263738	18.31722894	5.79209452
148.11015666	0.13866267	136.80506589	68.33320161	13.5988773															
142.03806441	0.03501456	130.73297365	65.34897954	13.5988773															
141.70863953	0.02106134	130.40354876	65.19124371	13.5988773															
141.1579512	0.01465603	129.85286043	64.9191022	13.5988773															
					94.89564616	0.06362275	86.64714179	43.29175952	9.92211395										
					93.45087523	0.03183048	85.20237086	42.58527019	9.92211395										
					93.07709199	0.01044666	84.82858763	42.40907048	9.92211395										
					92.62409677	0.01295088	84.37559241	42.18132077	9.92211395										
										56.31958643	0.06908283	50.41825759	25.17458738	7.09869991					
										55.99760616	0.03046637	50.09627731	25.03290547	7.09869991					
										55.71816744	0.03122031	49.8168386	24.89280914	7.09869991					
										55.49610803	0.00135308	49.59477919	24.79671305	7.09869991					
															40.46923169	0.14366717	35.65863008	17.75748145	5.78666571
															40.26740195	0.03843003	35.45680034	17.70918515	5.78666571
															40.06475564	0.03667955	35.25415402	17.60873723	5.78666571
															39.95246698	0.01169962	35.14186537	17.56508287	5.78666571
143.59693818	0.0899982	132.28879201	66.0993969	13.60255264															
137.29798889	0.0265985	125.98984272	62.98162211	13.60255264															
136.95866157	0.02227425	125.65051541	62.81412058	13.60255264															
136.39878752	0.02307134	125.09064135	62.53378501	13.60255264															
					90.81765366	0.01632503	82.57474185	41.27920841	9.91538667										
					89.86233303	0.04047793	81.61942122	40.78947165	9.91538667										
					89.4730526	0.0298555	81.23014079	40.60014264	9.91538667										
					89.06983912	0.01431603	80.82692731	40.40630564	9.91538667										
										53.97884634	0.07681393	48.08325008	24.00321808	7.0918042					
										53.67502402	0.05003363	47.77942776	23.86469706	7.0918042					
										53.39832668	0.02818919	47.50273042	23.73727061	7.0918042					
										53.19662349	0.02511821	47.30102722	23.63795451	7.0918042					
															39.11717407	0.16003361	34.30960311	17.07478475	5.78302013
															39.02238363	0.00429955	34.21481268	17.10525656	5.78302013
															38.80953562	0.03895347	34.00196467	16.9815056	5.78302013
															38.69817539	0.02875633	33.89060443	16.93092405	5.78302013
138.18370318	0.03088295	126.87271357	63.42091531	13.60597301															
133.27531306	0.05116982	121.96432345	60.95657682	13.60597301															
132.97156512	0.03336689	121.66057551	60.81360431	13.60597301															
132.34996831	0.01363259	121.0389787	60.51267305	13.60597301															
					88.20586285	-0.0205081	79.95187318	39.98619064	9.9287122										
					87.22985526	0.04525405	78.97586559	39.46530577	9.9287122										
					86.83401729	0.03336689	78.58002763	39.27333037	9.9287122										
					86.36588307	0.0311432	78.1118934	39.0403751	9.9287122										
