Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
139.63925645	0.0	126.04545309	63.02272655	13.59380336															
137.30101772	0.0	123.70721436	61.85360718	13.59380336															
136.20100944	0.0	122.60720608	61.30360304	13.59380336															
135.3103431	0.0	121.71653974	60.85826987	13.59380336															
					87.85138238	0.0	77.92670311	38.96335156	9.92467926										
					86.68849424	0.0	76.76381498	38.38190749	9.92467926										
					86.03998436	0.0	76.11530509	38.05765255	9.92467926										
					85.52526358	0.0	75.60058432	37.80029216	9.92467926										
										54.01193869	0.0	46.9332317	23.46661585	7.07870699					
										53.22118273	0.0	46.14247575	23.07123787	7.07870699					
										52.83349496	0.0	45.75478798	22.87739399	7.07870699					
										52.53794122	0.0	45.45923424	22.72961712	7.07870699					
															38.9979958	0.0	33.21443952	16.60721976	5.78355628
															38.39893223	0.0	32.61537595	16.30768798	5.78355628
															38.10137979	0.0	32.31782351	16.15891175	5.78355628
															37.88776858	0.0	32.10421231	16.05210615	5.78355628
141.89172169	0.0	128.32974807	64.16487403	13.56197362															
139.67728529	0.0	126.11531167	63.05765583	13.56197362															
138.41702362	0.0	124.85505	62.427525	13.56197362															
137.51050328	0.0	123.94852966	61.97426483	13.56197362															
					87.76668054	0.0	77.86893502	38.93446751	9.89774552										
					86.71584104	0.0	76.81809552	38.40904776	9.89774552										
					86.03725183	0.0	76.13950632	38.06975316	9.89774552										
					85.57445945	0.0	75.67671394	37.83835697	9.89774552										
										53.01706373	0.0	45.92627112	22.96313556	7.0907926					
										52.3461517	0.0	45.2553591	22.62767955	7.0907926					
										51.98700017	0.0	44.89620756	22.44810378	7.0907926					
										51.68589162	0.0	44.59509902	22.29754951	7.0907926					
															38.21327141	0.0	32.43646464	16.21823232	5.77680677
															37.67702748	0.0	31.90022071	15.95011035	5.77680677
