Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
16.46370504	0.07679856	5.16283237	2.5430169	13.59380336															
16.64618093	0.0245506	5.34530826	2.66037883	13.59380336															
16.66216741	0.01984843	5.36129474	2.67072315	13.59380336															
16.67178829	0.01090946	5.37091562	2.68000308	13.59380336															
					11.49580856	0.07179506	3.24517158	1.58668826	9.92467926										
					11.64927553	0.04889399	3.39863855	1.67487228	9.92467926										
					11.69300514	0.03440564	3.44236816	1.70398126	9.92467926										
					11.70440028	0.02102446	3.4537633	1.71636942	9.92467926										
										7.72827606	0.08588768	1.84356784	0.87884008	7.07870699					
										7.93128754	0.02727883	2.04657932	1.00965025	7.07870699					
										7.97800187	0.05093296	2.09329365	1.02118035	7.07870699					
										8.0109259	0.01955518	2.12621768	1.05333125	7.07870699					
															6.11732827	0.10089818	1.3093116	0.60420671	5.78355628
															6.314947	0.02750676	1.50693033	0.73971179	5.78355628
															6.37008552	0.02060794	1.56206886	0.77073046	5.78355628
															6.39127429	0.02739117	1.58325762	0.77793323	5.78355628
16.06543097	0.06998709	4.79101917	2.36051604	13.56197362															
16.28964985	0.07346877	5.01523805	2.47088464	13.56197362															
16.30037081	0.04047018	5.02595901	2.49274441	13.56197362															
16.33630255	0.0180771	5.06189075	2.52190682	13.56197362															
					11.28028536	0.0799801	3.05203908	1.48602949	9.89774552										
					11.47863003	0.04525405	3.25038376	1.60256485	9.89774552										
					11.50543469	0.02106134	3.27718842	1.62806354	9.89774552										
					11.52645	0.01715853	3.29820373	1.6405226	9.89774552										
										7.66751801	0.09818487	1.77276271	0.83728892	7.0907926					
