Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
17.89377225	0.0	4.25974075	2.12987038	13.6340315															
17.85751647	0.0	4.22348496	2.11174248	13.6340315															
17.80737038	0.0	4.17333888	2.08666944	13.6340315															
17.76181306	0.0	4.12778156	2.06389078	13.6340315															
					12.38794928	0.0	2.45493467	1.22746734	9.93301461										
					12.37488458	0.0	2.44186998	1.22093499	9.93301461										
					12.30834076	0.0	2.37532615	1.18766308	9.93301461										
					12.30310703	0.0	2.37009242	1.18504621	9.93301461										
										8.48545468	0.0	1.3723704	0.6861852	7.11308428					
										8.49739294	0.0	1.38430866	0.69215433	7.11308428					
										8.45856654	0.0	1.34548226	0.67274113	7.11308428					
										8.44599737	0.0	1.33291309	0.66645655	7.11308428					
															6.81568998	0.0	1.02640279	0.51320139	5.78928719
															6.77056922	0.0	0.98128203	0.49064101	5.78928719
															6.78471291	0.0	0.99542572	0.49771286	5.78928719
															6.74736853	0.0	0.95808134	0.47904067	5.78928719
17.68965316	0.0	4.06980687	2.03490343	13.6198463															
17.65379675	0.0	4.03395045	2.01697523	13.6198463															
17.57228215	0.0	3.95243586	1.97621793	13.6198463															
17.52676206	0.0	3.90691576	1.95345788	13.6198463															
					12.20211265	0.0	2.26961523	1.13480761	9.93249742										
					12.24636336	0.0	2.31386595	1.15693297	9.93249742										
					12.219956	0.0	2.28745859	1.14372929	9.93249742										
					12.21427626	0.0	2.28177885	1.14088942	9.93249742										
										8.42259854	0.0	1.32456529	0.66228264	7.09803325					
										8.47004615	0.0	1.37201289	0.68600645	7.09803325					
										8.44581201	0.0	1.34777876	0.67388938	7.09803325					
										8.43984815	0.0	1.3418149	0.67090745	7.09803325					
															6.76923289	0.0	0.97713838	0.48856919	5.79209452
															6.74185571	0.0	0.94976119	0.47488059	5.79209452
															6.75737662	0.0	0.9652821	0.48264105	5.79209452
															6.72345258	0.0	0.93135806	0.46567903	5.79209452
17.54755012	0.0	3.94867282	1.97433641	13.5988773															
17.51434179	0.0	3.91546449	1.95773225	13.5988773															
17.46020724	0.0	3.86132994	1.93066497	13.5988773															
17.42153807	0.0	3.82266077	1.91133038	13.5988773															
					12.25677341	0.0	2.33465946	1.16732973	9.92211395										
					12.23269204	0.0	2.31057809	1.15528905	9.92211395										
					12.20537702	0.0	2.28326307	1.14163153	9.92211395										
					12.19924367	0.0	2.27712972	1.13856486	9.92211395										
										8.54557903	0.0	1.44687912	0.72343956	7.09869991					
										8.47278373	0.0	1.37408382	0.68704191	7.09869991					
										8.43214386	0.0	1.33344395	0.66672197	7.09869991					
										8.41456616	0.0	1.31586624	0.65793312	7.09869991					
															6.8074946	0.0	1.02082889	0.51041444	5.78666571
															6.74458914	0.0	0.95792343	0.47896171	5.78666571
															6.75281965	0.0	0.96615393	0.48307697	5.78666571
															6.75761793	0.0	0.97095222	0.48547611	5.78666571
17.50109304	0.0	3.8985404	1.9492702	13.60255264															
17.52390881	0.0	3.92135617	1.96067809	13.60255264															
17.43287095	0.0	3.83031831	1.91515915	13.60255264															
17.40650548	0.0	3.80395284	1.90197642	13.60255264															
					12.19664906	0.0	2.28126239	1.14063119	9.91538667										
					12.19851166	0.0	2.28312499	1.14156249	9.91538667										
					12.17075123	0.0	2.25536456	1.12768228	9.91538667										
					12.17259565	0.0	2.25720897	1.12860449	9.91538667										
										8.48545468	0.0	1.39365048	0.69682524	7.0918042					
										8.43723248	0.0	1.34542828	0.67271414	7.0918042					
										8.42576521	0.0	1.33396101	0.66698051	7.0918042					
										8.42344952	0.0	1.33164532	0.66582266	7.0918042					
															6.7665011	0.0	0.98348097	0.49174048	5.78302013
															6.77330265	0.0	0.99028252	0.49514126	5.78302013
															6.75828746	0.0	0.97526732	0.48763366	5.78302013
															6.73096991	0.0	0.94794978	0.47397489	5.78302013
17.45189586	0.0	3.84592285	1.92296142	13.60597301															
17.45008118	0.0	3.84410817	1.92205409	13.60597301															
17.39095567	0.0	3.78498266	1.89249133	13.60597301															
17.3723422	0.0	3.76636919	1.88318459	13.60597301															
					12.23217897	0.0	2.30346677	1.15173338	9.9287122										
					12.19577823	0.0	2.26706602	1.13353301	9.9287122										
					12.14979636	0.0	2.22108416	1.11054208	9.9287122										
					12.15619702	0.0	2.22748482	1.11374241	9.9287122										
										8.43626581	0.0	1.34197291	0.67098645	7.0942929					
										8.47278373	0.0	1.37849083	0.68924542	7.0942929					
										8.41756488	0.0	1.32327198	0.66163599	7.0942929					
										8.40568487	0.0	1.31139197	0.65569598	7.0942929					
															6.69271779	0.0	0.91172502	0.45586251	5.78099277
															6.72545095	0.0	0.94445818	0.47222909	5.78099277
															6.74917628	0.0	0.96818351	0.48409176	5.78099277
															6.72413767	0.0	0.9431449	0.47157245	5.78099277
