Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
151.68319734	0.0	137.97227368	68.98613684	13.71092366															
150.38004805	0.0	136.66912438	68.33456219	13.71092366															
149.48890247	0.0	135.7779788	67.8889894	13.71092366															
148.9219528	0.0	135.21102914	67.60551457	13.71092366															
					93.5942575	0.0	83.60188058	41.80094029	9.99237692										
					92.91901096	0.0	82.92663404	41.46331702	9.99237692										
					92.40009053	0.0	82.4077136	41.2038568	9.99237692										
					92.05126003	0.0	82.05888311	41.02944155	9.99237692										
										57.44642689	0.0	50.30584717	25.15292359	7.14057971					
										57.01800901	0.0	49.87742929	24.93871465	7.14057971					
										56.71789496	0.0	49.57731525	24.78865762	7.14057971					
										56.50300568	0.0	49.36242596	24.68121298	7.14057971					
															42.78768714	0.0	36.96174781	18.4808739	5.82593933
															42.3817026	0.0	36.55576327	18.27788164	5.82593933
															42.16893072	0.0	36.34299139	18.1714957	5.82593933
															41.99632256	0.0	36.17038323	18.08519162	5.82593933
148.73779316	0.0	135.04486087	67.52243043	13.69293229															
147.51704239	0.0	133.8241101	66.91205505	13.69293229															
146.72525994	0.0	133.03232765	66.51616382	13.69293229															
146.22983182	0.0	132.53689953	66.26844976	13.69293229															
					92.90065143	0.0	82.92875059	41.4643753	9.97190084										
					92.40082593	0.0	82.42892509	41.21446254	9.97190084										
