Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
30.03607952	0.0	16.29150096	8.14575048	13.74457855															
29.93981567	0.0	16.19523711	8.09761856	13.74457855															
29.829602	0.0	16.08502345	8.04251172	13.74457855															
29.76823248	0.0	16.02365393	8.01182696	13.74457855															
					19.62877776	0.0	9.61439565	4.80719782	10.01438211										
					19.57613574	0.0	9.56175363	4.78087681	10.01438211										
					19.53042879	0.0	9.51604668	4.75802334	10.01438211										
					19.47359667	0.0	9.45921457	4.72960728	10.01438211										
										12.73520354	0.0	5.57963409	2.78981705	7.15556945					
										12.69071662	0.0	5.53514717	2.76757358	7.15556945					
										12.67190734	0.0	5.51633789	2.75816895	7.15556945					
										12.62834205	0.0	5.4727726	2.7363863	7.15556945					
															9.82727971	0.0	3.99567265	1.99783633	5.83160706
															9.77439239	0.0	3.94278533	1.97139267	5.83160706
															9.76248049	0.0	3.93087343	1.96543671	5.83160706
															9.74627604	0.0	3.91466898	1.95733449	5.83160706
29.38579386	0.0	15.65231972	7.82615986	13.73347414															
29.31908949	0.0	15.58561535	7.79280767	13.73347414															
29.18630217	0.0	15.45282803	7.72641401	13.73347414															
29.14249165	0.0	15.4090175	7.70450875	13.73347414															
					19.35281396	0.0	9.35537511	4.67768756	9.99743885										
					19.21655215	0.0	9.2191133	4.60955665	9.99743885										
					19.15866464	0.0	9.16122579	4.5806129	9.99743885										
					19.10581733	0.0	9.10837848	4.55418924	9.99743885										
										12.54667283	0.0	5.39868162	2.69934081	7.14799122					
										12.5745	0.0	5.42650879	2.71325439	7.14799122					
										12.49695951	0.0	5.34896829	2.67448415	7.14799122					
										12.48690365	0.0	5.33891244	2.66945622	7.14799122					
															9.72968704	0.0	3.90441952	1.95220976	5.82526752
															9.73064084	0.0	3.90537332	1.95268666	5.82526752
															9.65587061	0.0	3.8306031	1.91530155	5.82526752
															9.64382525	0.0	3.81855773	1.90927887	5.82526752
29.17267363	0.0	15.45940436	7.72970218	13.71326928															
29.04837573	0.0	15.33510645	7.66755322	13.71326928															
28.95121671	0.0	15.23794743	7.61897372	13.71326928															
28.89856133	0.0	15.18529205	7.59264603	13.71326928															
					19.16155201	0.0	9.16925861	4.5846293	9.9922934										
					19.01283659	0.0	9.02054318	4.51027159	9.9922934										
					18.95911304	0.0	8.96681964	4.48340982	9.9922934										
					18.93158169	0.0	8.93928829	4.46964414	9.9922934										
										12.4565085	0.0	5.30952608	2.65476304	7.14698242					
										12.43504505	0.0	5.28806262	2.64403131	7.14698242					
										12.38123846	0.0	5.23425604	2.61712802	7.14698242					
										12.37552836	0.0	5.22854594	2.61427297	7.14698242					
															9.69143299	0.0	3.86255794	1.93127897	5.82887505
															9.66228008	0.0	3.83340503	1.91670251	5.82887505
															9.62397735	0.0	3.7951023	1.89755115	5.82887505
															9.59048807	0.0	3.76161302	1.88080651	5.82887505
28.96228466	0.0	15.26446537	7.63223269	13.69781929															
28.92669224	0.0	15.22887296	7.61443648	13.69781929															
