Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
17.72983107	0.0	3.96745575	1.98372788	13.76237532															
17.62098308	0.0	3.85860777	1.92930388	13.76237532															
17.52672352	0.0	3.7643482	1.8821741	13.76237532															
17.50831438	0.0	3.74593907	1.87296953	13.76237532															
					12.21879876	0.0	2.19973971	1.09986985	10.01905905										
					12.20534525	0.0	2.18628619	1.0931431	10.01905905										
					12.16801871	0.0	2.14895966	1.07447983	10.01905905										
					12.15892909	0.0	2.13987004	1.06993502	10.01905905										
										8.40178666	0.0	1.23792559	0.61896279	7.16386107					
										8.39211421	0.0	1.22825314	0.61412657	7.16386107					
										8.39660724	0.0	1.23274617	0.61637308	7.16386107					
										8.34828864	0.0	1.18442757	0.59221379	7.16386107					
															6.73235597	0.0	0.89235316	0.44617658	5.84000281
															6.71587978	0.0	0.87587697	0.43793848	5.84000281
															6.70817185	0.0	0.86816904	0.43408452	5.84000281
															6.66947351	0.0	0.8294707	0.41473535	5.84000281
17.35824045	0.0	3.61888558	1.80944279	13.73935487															
17.32429339	0.0	3.58493853	1.79246926	13.73935487															
17.26794513	0.0	3.52859026	1.76429513	13.73935487															
17.23705303	0.0	3.49769816	1.74884908	13.73935487															
					12.04940338	0.0	2.0418183	1.02090915	10.00758508										
					12.14518894	0.0	2.13760386	1.06880193	10.00758508										
					12.05958716	0.0	2.05200208	1.02600104	10.00758508										
					12.05780528	0.0	2.0502202	1.0251101	10.00758508										
										8.37446589	0.0	1.21269187	0.60634594	7.16177402					
										8.37707618	0.0	1.21530215	0.60765108	7.16177402					
										8.34649163	0.0	1.18471761	0.5923588	7.16177402					
										8.3359902	0.0	1.17421617	0.58710809	7.16177402					
															6.69684147	0.0	0.86219237	0.43109618	5.8346491
															6.67896181	0.0	0.84431271	0.42215636	5.8346491
															6.69997151	0.0	0.86532242	0.43266121	5.8346491
															6.66674145	0.0	0.83209235	0.41604617	5.8346491
17.26261362	0.0	3.49884108	1.74942054	13.76377255															
17.28464199	0.0	3.52086945	1.76043472	13.76377255															
17.24060884	0.0	3.47683629	1.73841815	13.76377255															
17.18580603	0.0	3.42203348	1.71101674	13.76377255															
					12.04120134	0.0	2.029105	1.0145525	10.01209634										
					12.06725701	0.0	2.05516067	1.02758033	10.01209634										
					12.06414413	0.0	2.05204779	1.02602389	10.01209634										
					12.0434557	0.0	2.03135936	1.01567968	10.01209634										
										8.32255561	0.0	1.16088243	0.58044121	7.16167318					
										8.34972938	0.0	1.1880562	0.5940281	7.16167318					
										8.35104583	0.0	1.18937265	0.59468632	7.16167318					
										8.34350545	0.0	1.18183227	0.59091613	7.16167318					
															6.70776645	0.0	0.86348868	0.43174434	5.84427778
															6.71997993	0.0	0.87570215	0.43785108	5.84427778
															6.6699027	0.0	0.82562492	0.41281246	5.84427778
															6.68655723	0.0	0.84227945	0.42113973	5.84427778
17.32545719	0.0	3.56652555	1.78326277	13.75893164															
17.3010509	0.0	3.54211926	1.77105963	13.75893164															
17.25792312	0.0	3.49899147	1.74949574	13.75893164															
17.19810655	0.0	3.43917491	1.71958745	13.75893164															
					12.08218664	0.0	2.06892981	1.03446491	10.01325683										
					12.11100856	0.0	2.09775173	1.04887587	10.01325683										
					12.07143362	0.0	2.0581768	1.0290884	10.01325683										
					12.01612466	0.0	2.00286784	1.00143392	10.01325683										
										8.35533887	0.0	1.20035361	0.6001768	7.15498526					
										8.41946101	0.0	1.26447575	0.63223788	7.15498526					
										8.3428455	0.0	1.18786024	0.59393012	7.15498526					
										8.33052399	0.0	1.17553873	0.58776936	7.15498526					
															6.6695207	0.0	0.82931859	0.41465929	5.84020212
															6.6898997	0.0	0.84969758	0.42484879	5.84020212
															6.7145505	0.0	0.87434838	0.43717419	5.84020212
															6.6845061	0.0	0.84430398	0.42215199	5.84020212
17.29266563	0.0	3.53030477	1.76515238	13.76236086															
17.29421316	0.0	3.5318523	1.76592615	13.76236086															
17.23149767	0.0	3.4691368	1.7345684	13.76236086															
17.18580603	0.0	3.42344516	1.71172258	13.76236086															
					12.05759712	0.0	2.05503287	1.02751644	10.00256425										
					12.08913278	0.0	2.08656853	1.04328427	10.00256425										
					12.05503019	0.0	2.05246594	1.02623297	10.00256425										
					12.03034319	0.0	2.02777894	1.01388947	10.00256425										
										8.41818244	0.0	1.26390959	0.63195479	7.15427285					
										8.36613829	0.0	1.21186544	0.60593272	7.15427285					
										8.35742448	0.0	1.20315163	0.60157582	7.15427285					
										8.34418847	0.0	1.18991562	0.59495781	7.15427285					
															6.72962472	0.0	0.89563515	0.44781758	5.83398957
															6.7172465	0.0	0.88325692	0.44162846	5.83398957
															6.6945037	0.0	0.86051413	0.43025706	5.83398957
															6.67759717	0.0	0.8436076	0.4218038	5.83398957
