Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
17.16971804	0.0	3.4176761	1.70883805	13.75204194															
17.12741141	0.0	3.37536947	1.68768473	13.75204194															
17.06383933	0.0	3.31179738	1.65589869	13.75204194															
17.05120195	0.0	3.29916001	1.64958	13.75204194															
					11.93737247	0.0	1.92194099	0.9609705	10.01543148										
					12.0029964	0.0	1.98756491	0.99378246	10.01543148										
					11.91288646	0.0	1.89745498	0.94872749	10.01543148										
					11.92934835	0.0	1.91391687	0.95695843	10.01543148										
										8.37446589	0.0	1.20183954	0.60091977	7.17262635					
										8.31281557	0.0	1.14018921	0.57009461	7.17262635					
										8.26539636	0.0	1.09277001	0.54638501	7.17262635					
										8.26561251	0.0	1.09298615	0.54649308	7.17262635					
															6.66678116	0.0	0.82228746	0.41114373	5.8444937
															6.66392377	0.0	0.81943007	0.40971504	5.8444937
															6.64347725	0.0	0.79898355	0.39949178	5.8444937
															6.64009342	0.0	0.79559972	0.39779986	5.8444937
16.80905241	0.0	3.02435503	1.51217751	13.78469738															
16.80474164	0.0	3.02004426	1.51002213	13.78469738															
16.7640565	0.0	2.97935912	1.48967956	13.78469738															
16.71366101	0.0	2.92896362	1.46448181	13.78469738															
					11.80076035	0.0	1.76785117	0.88392559	10.03290918										
					11.82115245	0.0	1.78824327	0.89412164	10.03290918										
					11.77347525	0.0	1.74056607	0.87028303	10.03290918										
					11.76741116	0.0	1.73450197	0.86725099	10.03290918										
										8.32255561	0.0	1.14304834	0.57152417	7.17950728					
										8.27043073	0.0	1.09092346	0.54546173	7.17950728					
										8.22803529	0.0	1.04852802	0.52426401	7.17950728					
										8.20343309	0.0	1.02392582	0.51196291	7.17950728					
															6.73782677	0.0	0.8923607	0.44618035	5.84546606
															6.63384354	0.0	0.78837748	0.39418874	5.84546606
															6.64165557	0.0	0.79618951	0.39809475	5.84546606
															6.61412841	0.0	0.76866235	0.38433118	5.84546606
16.7434776	0.0	2.98266714	1.49133357	13.76081045															
16.72680971	0.0	2.96599926	1.48299963	13.76081045															
16.69389686	0.0	2.93308641	1.46654321	13.76081045															
16.63986823	0.0	2.87905778	1.43952889	13.76081045															
					11.80895409	0.0	1.78211924	0.89105962	10.02683485										
					11.79517653	0.0	1.76834168	0.88417084	10.02683485										
					11.76982912	0.0	1.74299427	0.87149713	10.02683485										
					11.73393089	0.0	1.70709604	0.85354802	10.02683485										
										8.2924953	0.0	1.12287034	0.56143517	7.16962496					
										8.28546877	0.0	1.11584381	0.55792191	7.16962496					
										8.23168142	0.0	1.06205646	0.53102823	7.16962496					
										8.20821628	0.0	1.03859133	0.51929566	7.16962496					
															6.66404991	0.0	0.81489134	0.40744567	5.84915857
															6.64614815	0.0	0.79698958	0.39849479	5.84915857
															6.62798742	0.0	0.77882885	0.38941443	5.84915857
															6.62096273	0.0	0.77180416	0.38590208	5.84915857
16.82544819	0.0	3.06467365	1.53233683	13.76077454															
16.75688994	0.0	2.9961154	1.4980577	13.76077454															
16.70665417	0.0	2.94587963	1.47293982	13.76077454															
16.66993134	0.0	2.9091568	1.4545784	13.76077454															
					11.7679771	0.0	1.74820261	0.87410131	10.01977448										
					11.8047477	0.0	1.78497322	0.89248661	10.01977448										
					11.79351928	0.0	1.7737448	0.8868724	10.01977448										
					11.76672814	0.0	1.74695366	0.87347683	10.01977448										
										8.29796609	0.0	1.12636721	0.5631836	7.17159889					
										8.27726847	0.0	1.10566958	0.55283479	7.17159889					
										8.23988175	0.0	1.06828287	0.53414143	7.17159889					
										8.21778267	0.0	1.04618378	0.52309189	7.17159889					
															6.6695207	0.0	0.83030074	0.41515037	5.83921996
