Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
45.93839138	0.0	32.34458802	16.17229401	13.59380336															
45.4317989	0.0	31.83799554	15.91899777	13.59380336															
45.15333165	0.0	31.55952829	15.77976415	13.59380336															
44.91802636	0.0	31.324223	15.6621115	13.59380336															
					26.91687177	0.0	16.99219251	8.49609626	9.92467926										
					26.67638278	0.0	16.75170352	8.37585176	9.92467926										
					26.55171661	0.0	16.62703735	8.31351867	9.92467926										
					26.44756386	0.0	16.52288459	8.2614423	9.92467926										
										15.53229026	0.0	8.45358327	4.22679164	7.07870699					
										15.57224149	0.0	8.49353451	4.24676725	7.07870699					
										15.54028546	0.0	8.46157847	4.23078924	7.07870699					
										15.50421108	0.0	8.4255041	4.21275205	7.07870699					
46.85397319	0.0	33.29199958	16.64599979	13.56197362															
46.33415596	0.0	32.77218234	16.38609117	13.56197362															
46.01316237	0.0	32.45118876	16.22559438	13.56197362															
45.76713629	0.0	32.20516267	16.10258134	13.56197362															
					27.33035257	0.0	17.43260705	8.71630353	9.89774552										
					27.12194905	0.0	17.22420353	8.61210177	9.89774552										
					27.00187672	0.0	17.1041312	8.5520656	9.89774552										
					26.87293782	0.0	16.9751923	8.48759615	9.89774552										
										15.84841748	0.0	8.75762488	4.37881244	7.0907926					
										15.87357553	0.0	8.78278292	4.39139146	7.0907926					
										15.80020447	0.0	8.70941187	4.35470593	7.0907926					
										15.74822029	0.0	8.65742768	4.32871384	7.0907926					
47.30301	0.0	33.73236354	16.86618177	13.57064647															
46.68010145	0.0	33.10945499	16.55472749	13.57064647															
46.38252068	0.0	32.81187421	16.40593711	13.57064647															
46.15777191	0.0	32.58712545	16.29356272	13.57064647															
					27.74493749	0.0	17.84614543	8.92307272	9.89879205										
					27.55793584	0.0	17.65914378	8.82957189	9.89879205										
					27.4240034	0.0	17.52521135	8.76260568	9.89879205										
					27.2947576	0.0	17.39596555	8.69798277	9.89879205										
										16.04094129	0.0	8.96834476	4.48417238	7.07259653					
										16.07035781	0.0	8.99776128	4.49888064	7.07259653					
										16.05697333	0.0	8.9843768	4.4921884	7.07259653					
										15.99257127	0.0	8.91997474	4.45998737	7.07259653					
47.44213075	0.0	33.85809446	16.92904723	13.58403629															
46.94202087	0.0	33.35798458	16.67899229	13.58403629															
46.6378025	0.0	33.05376621	16.52688311	13.58403629															
46.42486814	0.0	32.84083185	16.42041593	13.58403629															
					28.11029356	0.0	18.21012073	9.10506036	9.90017283										
					27.92549955	0.0	18.02532672	9.01266336	9.90017283										
					27.79269406	0.0	17.89252123	8.94626061	9.90017283										
					27.67721614	0.0	17.77704331	8.88852165	9.90017283										
										16.24656082	0.0	9.16359732	4.58179866	7.08296351					
										16.27808629	0.0	9.19512278	4.59756139	7.08296351					
										16.22665504	0.0	9.14369153	4.57184577	7.08296351					
										16.18565843	0.0	9.10269493	4.55134746	7.08296351					
47.54935154	0.0	33.95796467	16.97898234	13.59138687															
47.06083783	0.0	33.46945096	16.73472548	13.59138687															
46.72194389	0.0	33.13055702	16.56527851	13.59138687															
46.49411166	0.0	32.90272479	16.4513624	13.59138687															
					28.18303271	0.0	18.28313243	9.14156621	9.89990028										
					27.9821539	0.0	18.08225362	9.04112681	9.89990028										
					27.86387847	0.0	17.96397819	8.9819891	9.89990028										
					27.74290163	0.0	17.84300135	8.92150067	9.89990028										
										16.40465606	0.0	9.32705283	4.66352642	7.07760323					
										16.33392227	0.0	9.25631904	4.62815952	7.07760323					
										16.32892854	0.0	9.25132531	4.62566265	7.07760323					
										16.27118831	0.0	9.19358508	4.59679254	7.07760323					
