Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
14.90657752	0.0	1.27254601	0.63627301	13.6340315															
14.8586351	0.0	1.2246036	0.6123018	13.6340315															
14.85318776	0.0	1.21915626	0.60957813	13.6340315															
14.82443112	0.0	1.19039961	0.59519981	13.6340315															
					10.83296109	0.0	0.89994648	0.44997324	9.93301461										
					10.77938614	0.0	0.84637153	0.42318576	9.93301461										
					10.7555957	0.0	0.82258109	0.41129054	9.93301461										
					10.73878207	0.0	0.80576746	0.40288373	9.93301461										
										7.69242639	0.0	0.5793421	0.28967105	7.11308428					
										7.65741051	0.0	0.54432623	0.27216311	7.11308428					
										7.63183339	0.0	0.51874911	0.25937455	7.11308428					
										7.62438457	0.0	0.51130028	0.25565014	7.11308428					
14.85844449	0.0	1.23859819	0.6192991	13.6198463															
14.79331682	0.0	1.17347052	0.58673526	13.6198463															
14.76946518	0.0	1.14961888	0.57480944	13.6198463															
14.74004017	0.0	1.12019387	0.56009694	13.6198463															
					10.73943459	0.0	0.80693717	0.40346858	9.93249742										
					10.67538273	0.0	0.74288532	0.37144266	9.93249742										
					10.64506284	0.0	0.71256542	0.35628271	9.93249742										
					10.64372236	0.0	0.71122494	0.35561247	9.93249742										
										7.66508072	0.0	0.56704746	0.28352373	7.09803325					
										7.62703118	0.0	0.52899793	0.26449896	7.09803325					
										7.63347512	0.0	0.53544186	0.26772093	7.09803325					
										7.58868502	0.0	0.49065177	0.24532588	7.09803325					
14.77585957	0.0	1.17698227	0.58849114	13.5988773															
14.74460105	0.0	1.14572375	0.57286187	13.5988773															
14.72496134	0.0	1.12608404	0.56304202	13.5988773															
14.69805023	0.0	1.09917292	0.54958646	13.5988773															
					10.74107832	0.0	0.81896437	0.40948218	9.92211395										
					10.67018589	0.0	0.74807194	0.37403597	9.92211395										
					10.63065274	0.0	0.70853879	0.35426939	9.92211395										
					10.61855663	0.0	0.69644268	0.34822134	9.92211395										
										7.64703291	0.0	0.54833299	0.2741665	7.09869991					
										7.64399675	0.0	0.54529683	0.27264842	7.09869991					
										7.58860307	0.0	0.48990316	0.24495158	7.09869991					
										7.60715138	0.0	0.50845146	0.25422573	7.09869991					
14.71077455	0.0	1.10822192	0.55411096	13.60255264															
14.72352703	0.0	1.12097439	0.56048719	13.60255264															
14.692495	0.0	1.08994236	0.54497118	13.60255264															
14.65127294	0.0	1.0487203	0.52436015	13.60255264															
					10.65411012	0.0	0.73872345	0.36936172	9.91538667										
					10.66525906	0.0	0.74987239	0.37493619	9.91538667										
					10.62262682	0.0	0.70724014	0.35362007	9.91538667										
					10.59513278	0.0	0.67974611	0.33987305	9.91538667										
										7.66616823	0.0	0.57436403	0.28718202	7.0918042					
										7.60759805	0.0	0.51579385	0.25789692	7.0918042					
										7.60428946	0.0	0.51248526	0.25624263	7.0918042					
										7.59946421	0.0	0.50766001	0.25383001	7.0918042					
14.81961762	0.0	1.21364461	0.60682231	13.60597301															
14.73009474	0.0	1.12412174	0.56206087	13.60597301															
14.67461871	0.0	1.0686457	0.53432285	13.60597301															
14.67311014	0.0	1.06713713	0.53356856	13.60597301															
					10.66012883	0.0	0.73141662	0.36570831	9.9287122										
					10.65896136	0.0	0.73024916	0.36512458	9.9287122										
					10.60675771	0.0	0.6780455	0.33902275	9.9287122										
					10.60214347	0.0	0.67343127	0.33671563	9.9287122										
										7.63116843	0.0	0.53687553	0.26843777	7.0942929					
										7.60431211	0.0	0.51001921	0.25500961	7.0942929					
										7.601006	0.0	0.5067131	0.25335655	7.0942929					
										7.60044785	0.0	0.50615495	0.25307747	7.0942929					
