Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
46.98862825	0.0	33.43857185	16.71928593	13.5500564															
47.11754895	0.0	33.56749255	16.78374627	13.5500564															
46.94321918	0.0	33.39316278	16.69658139	13.5500564															
46.86099617	0.0	33.31093977	16.65546989	13.5500564															
					26.27618417	0.0	16.40301468	8.20150734	9.87316949										
					26.66612856	0.0	16.79295907	8.39647953	9.87316949										
					26.70164817	0.0	16.82847867	8.41423934	9.87316949										
					26.70602683	0.0	16.83285734	8.41642867	9.87316949										
										14.69731052	0.0	7.63968077	3.81984039	7.05762975					
										15.3089508	0.0	8.25132105	4.12566052	7.05762975					
										15.4427037	0.0	8.38507395	4.19253697	7.05762975					
										15.50006722	0.0	8.44243746	4.22121873	7.05762975					
52.78353281	0.0	39.26274299	19.63137149	13.52078982															
52.58715495	0.0	39.06636513	19.53318257	13.52078982															
52.39750687	0.0	38.87671705	19.43835852	13.52078982															
52.23477675	0.0	38.71398693	19.35699346	13.52078982															
					29.22752501	0.0	19.37959917	9.68979958	9.84792584										
					29.55316047	0.0	19.70523463	9.85261731	9.84792584										
					29.56531428	0.0	19.71738843	9.85869422	9.84792584										
					29.51928856	0.0	19.67136272	9.83568136	9.84792584										
										16.13769598	0.0	9.09285658	4.54642829	7.0448394					
										16.71328918	0.0	9.66844978	4.83422489	7.0448394					
										16.84425754	0.0	9.79941814	4.89970907	7.0448394					
										16.87686399	0.0	9.83202459	4.91601229	7.0448394					
54.26111715	0.0	40.75211978	20.37605989	13.50899737															
54.1861009	0.0	40.67710354	20.33855177	13.50899737															
53.89263642	0.0	40.38363906	20.19181953	13.50899737															
53.72967613	0.0	40.22067876	20.11033938	13.50899737															
					30.30521309	0.0	20.45797253	10.22898626	9.84724056										
					30.62271693	0.0	20.77547638	10.38773819	9.84724056										
					30.6131962	0.0	20.76595564	10.38297782	9.84724056										
					30.58298466	0.0	20.7357441	10.36787205	9.84724056										
										16.76242957	0.0	9.71515236	4.85757618	7.04727721					
										17.28170916	0.0	10.23443195	5.11721598	7.04727721					
										17.41625987	0.0	10.36898267	5.18449133	7.04727721					
										17.42958043	0.0	10.38230322	5.19115161	7.04727721					
55.44931413	0.0	41.9565766	20.9782883	13.49273752															
55.15299735	0.0	41.66025982	20.83012991	13.49273752															
54.97444646	0.0	41.48170894	20.74085447	13.49273752															
54.78530278	0.0	41.29256526	20.64628263	13.49273752															
					31.01036435	0.0	21.16777464	10.58388732	9.84258971										
					31.22839274	0.0	21.38580303	10.69290152	9.84258971										
					31.24393252	0.0	21.40134281	10.70067141	9.84258971										
					31.214252	0.0	21.37166229	10.68583115	9.84258971										
										17.17380932	0.0	10.13818612	5.06909306	7.0356232					
										17.70456051	0.0	10.66893731	5.33446865	7.0356232					
										17.81899813	0.0	10.78337493	5.39168747	7.0356232					
										17.86337798	0.0	10.82775478	5.41387739	7.0356232					
55.86178992	0.0	42.3700984	21.1850492	13.49169151															
55.57776376	0.0	42.08607225	21.04303612	13.49169151															
55.35784943	0.0	41.86615792	20.93307896	13.49169151															
55.18708011	0.0	41.69538859	20.8476943	13.49169151															
					31.44581543	0.0	21.60507713	10.80253857	9.84073829										
					31.74593804	0.0	21.90519975	10.95259987	9.84073829										
					31.74573251	0.0	21.90499422	10.95249711	9.84073829										
					31.69238891	0.0	21.85165062	10.92582531	9.84073829										
										17.47742857	0.0	10.43837337	5.21918669	7.0390552					
										17.94978438	0.0	10.91072919	5.45536459	7.0390552					
										18.07745814	0.0	11.03840294	5.51920147	7.0390552					
										18.11298448	0.0	11.07392929	5.53696464	7.0390552					
