Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
16.00803962	0.0	2.25599767	1.12799884	13.75204194															
16.01221363	0.0	2.26017168	1.13008584	13.75204194															
15.97903478	0.0	2.22699284	1.11349642	13.75204194															
15.95219912	0.0	2.20015718	1.10007859	13.75204194															
					11.35755692	0.0	1.34212544	0.67106272	10.01543148										
					11.35208798	0.0	1.33665649	0.66832825	10.01543148										
					11.29518909	0.0	1.2797576	0.6398788	10.01543148										
					11.27196704	0.0	1.25653556	0.62826778	10.01543148										
										8.01070398	0.0	0.83807763	0.41903881	7.17262635					
										7.9560028	0.0	0.78337645	0.39168822	7.17262635					
										7.91508889	0.0	0.74246253	0.37123127	7.17262635					
										7.90572092	0.0	0.73309457	0.36654728	7.17262635					
15.87127561	0.0	2.08657823	1.04328911	13.78469738															
15.80706336	0.0	2.02236598	1.01118299	13.78469738															
15.77430227	0.0	1.98960489	0.99480244	13.78469738															
15.75979532	0.0	1.97509794	0.98754897	13.78469738															
					11.29847879	0.0	1.26556961	0.63278481	10.03290918										
					11.2676488	0.0	1.23473962	0.61736981	10.03290918										
					11.21925905	0.0	1.18634986	0.59317493	10.03290918										
					11.20751326	0.0	1.17460408	0.58730204	10.03290918										
										8.00414436	0.0	0.82463708	0.41231854	7.17950728					
										7.94533078	0.0	0.76582351	0.38291175	7.17950728					
										7.93005437	0.0	0.7505471	0.37527355	7.17950728					
										7.90189079	0.0	0.72238352	0.36119176	7.17950728					
15.91230232	0.0	2.15149187	1.07574593	13.76081045															
15.78817858	0.0	2.02736813	1.01368406	13.76081045															
15.75380447	0.0	1.99299402	0.99649701	13.76081045															
15.72421707	0.0	1.96340662	0.98170331	13.76081045															
					11.25198019	0.0	1.22514534	0.61257267	10.02683485										
					11.22631912	0.0	1.19948427	0.59974213	10.02683485										
					11.19790511	0.0	1.17107026	0.58553513	10.02683485										
					11.1761764	0.0	1.14934155	0.57467078	10.02683485										
										8.02930342	0.0	0.85967846	0.42983923	7.16962496					
										7.93603086	0.0	0.76640591	0.38320295	7.16962496					
										7.90578047	0.0	0.73615552	0.36807776	7.16962496					
										7.9020258	0.0	0.73240084	0.36620042	7.16962496					
15.78155822	0.0	2.02078368	1.01039184	13.76077454															
15.7879044	0.0	2.02712987	1.01356493	13.76077454															
15.74248755	0.0	1.98171301	0.99085651	13.76077454															
15.72216284	0.0	1.9613883	0.98069415	13.76077454															
					11.30340266	0.0	1.28362818	0.64181409	10.01977448										
					11.24688257	0.0	1.22710808	0.61355404	10.01977448										
					11.21287059	0.0	1.19309611	0.59654806	10.01977448										
					11.19916549	0.0	1.17939101	0.5896955	10.01977448										
										8.05173069	0.0	0.88013181	0.4400659	7.17159889					
										7.9305503	0.0	0.75895141	0.37947571	7.17159889					
										7.91581749	0.0	0.7442186	0.3721093	7.17159889					
										7.89491181	0.0	0.72331293	0.36165646	7.17159889					
15.7635068	0.0	2.01035075	1.00517537	13.75315605															
15.77961819	0.0	2.02646213	1.01323107	13.75315605															
15.73171916	0.0	1.97856311	0.98928155	13.75315605															
15.68617332	0.0	1.93301727	0.96650863	13.75315605															
					11.23830462	0.0	1.22585775	0.61292888	10.01244687										
					11.2301534	0.0	1.21770654	0.60885327	10.01244687										
					11.19151666	0.0	1.17906979	0.58953489	10.01244687										
					11.17138666	0.0	1.15893979	0.5794699	10.01244687										
										7.93357443	0.0	0.76618176	0.38309088	7.16739267					
										7.96288111	0.0	0.79548844	0.39774422	7.16739267					
										7.91746031	0.0	0.75006764	0.37503382	7.16739267					
										7.90448921	0.0	0.73709654	0.36854827	7.16739267					
