Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
15.11799	0.0	1.63122165	0.81561082	13.48676835															
15.10155892	0.0	1.61479057	0.80739528	13.48676835															
15.01515957	0.0	1.52839122	0.76419561	13.48676835															
15.01590886	0.0	1.52914051	0.76457025	13.48676835															
					10.85264026	0.0	1.02768031	0.51384015	9.82495995										
					10.80538699	0.0	0.98042704	0.49021352	9.82495995										
					10.77328926	0.0	0.94832931	0.47416466	9.82495995										
					10.78507525	0.0	0.9601153	0.48005765	9.82495995										
										7.71968087	0.0	0.67783698	0.33891849	7.0418439					
										7.66562327	0.0	0.62377938	0.31188969	7.0418439					
										7.65171348	0.0	0.60986959	0.30493479	7.0418439					
										7.64188644	0.0	0.60004254	0.30002127	7.0418439					
14.99326581	0.0	1.50693165	0.75346583	13.48633415															
14.90443629	0.0	1.41810213	0.70905107	13.48633415															
14.89021661	0.0	1.40388246	0.70194123	13.48633415															
14.87783101	0.0	1.39149685	0.69574843	13.48633415															
					10.78972599	0.0	0.96691488	0.48345744	9.82281111										
					10.78142139	0.0	0.95861028	0.47930514	9.82281111										
					10.73389056	0.0	0.91107945	0.45553973	9.82281111										
					10.72609457	0.0	0.90328346	0.45164173	9.82281111										
										7.69396549	0.0	0.66346721	0.3317336	7.03049828					
										7.66206316	0.0	0.63156488	0.31578244	7.03049828					
										7.65609342	0.0	0.62559515	0.31279757	7.03049828					
										7.64996004	0.0	0.61946176	0.30973088	7.03049828					
14.89315266	0.0	1.40536577	0.70268289	13.48778689															
14.86365911	0.0	1.37587222	0.68793611	13.48778689															
14.82692288	0.0	1.33913599	0.669568	13.48778689															
14.78888226	0.0	1.30109537	0.65054768	13.48778689															
					10.72462795	0.0	0.89937796	0.44968898	9.82524999										
					10.69837598	0.0	0.87312598	0.43656299	9.82524999										
					10.70217957	0.0	0.87692958	0.43846479	9.82524999										
					10.6880529	0.0	0.86280291	0.43140146	9.82524999										
										7.65621859	0.0	0.6335658	0.3167829	7.02265279					
										7.64646431	0.0	0.62381153	0.31190576	7.02265279					
										7.65317346	0.0	0.63052068	0.31526034	7.02265279					
										7.63791714	0.0	0.61526436	0.30763218	7.02265279					
14.85102991	0.0	1.3756881	0.68784405	13.47534182															
14.77908884	0.0	1.30374702	0.65187351	13.47534182															
14.77458178	0.0	1.29923996	0.64961998	13.47534182															
14.72360803	0.0	1.24826622	0.62413311	13.47534182															
					10.71915606	0.0	0.8926713	0.44633565	9.82648476										
					10.66252147	0.0	0.83603671	0.41801836	9.82648476										
					10.66585738	0.0	0.83937262	0.41968631	9.82648476										
					10.64549359	0.0	0.81900884	0.40950442	9.82648476										
										7.67263425	0.0	0.65324846	0.32662423	7.0193858					
										7.64427508	0.0	0.62488928	0.31244464	7.0193858					
										7.63108815	0.0	0.61170236	0.30585118	7.0193858					
										7.6290231	0.0	0.6096373	0.30481865	7.0193858					
14.87236945	0.0	1.36993705	0.68496853	13.5024324															
14.79444644	0.0	1.29201405	0.64600702	13.5024324															
14.77093044	0.0	1.26849804	0.63424902	13.5024324															
14.75015516	0.0	1.24772276	0.62386138	13.5024324															
					10.74869928	0.0	0.90727602	0.45363801	9.84142326										
					10.70416403	0.0	0.86274077	0.43137039	9.84142326										
					10.67608001	0.0	0.83465675	0.41732838	9.84142326										
					10.66164079	0.0	0.82021754	0.41010877	9.84142326										
										7.62558764	0.0	0.59172134	0.29586067	7.0338663					
										7.66178899	0.0	0.62792269	0.31396135	7.0338663					
										7.65335354	0.0	0.61948724	0.30974362	7.0338663					
										7.6209495	0.0	0.5870832	0.2935416	7.0338663					
