Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
14.57869514	0.0	1.01697524	0.50848762	13.5617199															
14.61063373	0.0	1.04891384	0.52445692	13.5617199															
14.5958021	0.0	1.03408221	0.5170411	13.5617199															
14.54793814	0.0	0.98621825	0.49310912	13.5617199															
					10.58219284	0.0	0.70217474	0.35108737	9.8800181										
					10.55701842	0.0	0.67700032	0.33850016	9.8800181										
					10.58472737	0.0	0.70470927	0.35235464	9.8800181										
					10.55447764	0.0	0.67445954	0.33722977	9.8800181										
										7.66809422	0.0	0.59963416	0.29981708	7.06846006					
										7.62278979	0.0	0.55432973	0.27716486	7.06846006					
										7.6061743	0.0	0.53771424	0.26885712	7.06846006					
										7.58725048	0.0	0.51879041	0.25939521	7.06846006					
14.46438128	0.0	0.89557132	0.44778566	13.56880995															
14.50033679	0.0	0.93152683	0.46576342	13.56880995															
14.49833805	0.0	0.9295281	0.46476405	13.56880995															
14.44574497	0.0	0.87693502	0.43846751	13.56880995															
					10.57071164	0.0	0.68441264	0.34220632	9.886299										
					10.54661642	0.0	0.66031741	0.33015871	9.886299										
					10.54647612	0.0	0.66017711	0.33008856	9.886299										
					10.52856039	0.0	0.64226138	0.32113069	9.886299										
										7.68778576	0.0	0.61557449	0.30778724	7.07221127					
										7.60138617	0.0	0.5291749	0.26458745	7.07221127					
										7.58317754	0.0	0.51096627	0.25548313	7.07221127					
										7.56614374	0.0	0.49393247	0.24696624	7.07221127					
14.4889957	0.0	0.92263978	0.46131989	13.56635592															
14.48418196	0.0	0.91782604	0.45891302	13.56635592															
14.41826001	0.0	0.85190409	0.42595204	13.56635592															
14.4201533	0.0	0.85379738	0.42689869	13.56635592															
					10.56845078	0.0	0.67227747	0.33613874	9.89617331										
					10.55416939	0.0	0.65799608	0.32899804	9.89617331										
					10.500696	0.0	0.60452269	0.30226135	9.89617331										
					10.49681226	0.0	0.60063896	0.30031948	9.89617331										
										7.61437815	0.0	0.54608048	0.27304024	7.06829767					
										7.59919474	0.0	0.53089707	0.26544854	7.06829767					
										7.57916051	0.0	0.51086285	0.25543142	7.06829767					
										7.55150035	0.0	0.48320268	0.24160134	7.06829767					
14.49791457	0.0	0.95236905	0.47618453	13.54554551															
14.46829304	0.0	0.92274752	0.46137376	13.54554551															
14.41442839	0.0	0.86888287	0.43444144	13.54554551															
14.39702713	0.0	0.85148161	0.42574081	13.54554551															
					10.52960784	0.0	0.6543047	0.32715235	9.87530314										
					10.50978768	0.0	0.63448453	0.31724227	9.87530314										
					10.49175647	0.0	0.61645333	0.30822666	9.87530314										
					10.48039089	0.0	0.60508775	0.30254387	9.87530314										
										7.6740043	0.0	0.61144529	0.30572265	7.06255901					
										7.61152415	0.0	0.54896514	0.27448257	7.06255901					
										7.55422368	0.0	0.49166467	0.24583234	7.06255901					
										7.56326907	0.0	0.50071006	0.25035503	7.06255901					
14.44703181	0.0	0.90416519	0.45208259	13.54286662															
14.47952465	0.0	0.93665803	0.46832901	13.54286662															
14.41461111	0.0	0.87174448	0.43587224	13.54286662															
14.39511206	0.0	0.85224544	0.42612272	13.54286662															
					10.57555842	0.0	0.70332724	0.35166362	9.87223119										
					10.51732963	0.0	0.64509844	0.32254922	9.87223119										
					10.50397945	0.0	0.63174827	0.31587413	9.87223119										
					10.49256879	0.0	0.62033761	0.3101688	9.87223119										
										7.64281703	0.0	0.59292089	0.29646044	7.04989614					
										7.55464089	0.0	0.50474475	0.25237238	7.04989614					
										7.57866411	0.0	0.52876797	0.26438399	7.04989614					
										7.55026864	0.0	0.50037251	0.25018625	7.04989614					
