Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
19.1992031	0.0	5.44716116	2.72358058	13.75204194															
18.55479525	0.0	4.80275331	2.40137665	13.75204194															
18.40184196	0.0	4.64980002	2.32490001	13.75204194															
18.23173059	0.0	4.47968865	2.23984432	13.75204194															
					13.7013578	0.0	3.68592632	1.84296316	10.01543148										
					13.0484715	0.0	3.03304002	1.51652001	10.01543148										
					12.71591838	0.0	2.7004869	1.35024345	10.01543148										
					12.6274535	0.0	2.61202202	1.30601101	10.01543148										
										9.3234232	0.0	2.15079685	1.07539842	7.17262635					
										8.8575525	0.0	1.68492615	0.84246307	7.17262635					
										8.62489323	0.0	1.45226687	0.72613344	7.17262635					
										8.51226243	0.0	1.33963608	0.66981804	7.17262635					
															7.714103	0.0	1.8696093	0.93480465	5.8444937
															7.13122873	0.0	1.28673503	0.64336751	5.8444937
															6.95557995	0.0	1.11108625	0.55554313	5.8444937
															6.80529207	0.0	0.96079837	0.48039919	5.8444937
18.2099925	0.0	4.42529512	2.21264756	13.78469738															
17.63639195	0.0	3.85169457	1.92584728	13.78469738															
17.48291458	0.0	3.6982172	1.8491086	13.78469738															
17.26184922	0.0	3.47715184	1.73857592	13.78469738															
					13.063204	0.0	3.03029482	1.51514741	10.03290918										
					12.4999992	0.0	2.46709002	1.23354501	10.03290918										
					12.20046014	0.0	2.16755096	1.08377548	10.03290918										
					12.08089497	0.0	2.04798579	1.0239929	10.03290918										
										9.19894529	0.0	2.01943801	1.00971901	7.17950728					
										8.65430781	0.0	1.47480053	0.73740027	7.17950728					
										8.40090674	0.0	1.22139946	0.61069973	7.17950728					
										8.27837391	0.0	1.09886664	0.54943332	7.17950728					
															7.62430296	0.0	1.7788369	0.88941845	5.84546606
															7.09701512	0.0	1.25154905	0.62577453	5.84546606
															6.83081971	0.0	0.98535365	0.49267683	5.84546606
															6.72350033	0.0	0.87803426	0.43901713	5.84546606
18.04134257	0.0	4.28053212	2.14026606	13.76081045															
17.41785325	0.0	3.6570428	1.8285214	13.76081045															
17.21551781	0.0	3.45470736	1.72735368	13.76081045															
17.01360075	0.0	3.2527903	1.62639515	13.76081045															
					12.97721354	0.0	2.95037869	1.47518935	10.02683485										
					12.33023574	0.0	2.30340089	1.15170044	10.02683485										
					12.0928453	0.0	2.06601045	1.03300522	10.02683485										
					12.0219438	0.0	1.99510895	0.99755447	10.02683485										
										9.15519554	0.0	1.98557058	0.99278529	7.16962496					
										8.65376361	0.0	1.48413866	0.74206933	7.16962496					
										8.3870448	0.0	1.21741984	0.60870992	7.16962496					
										8.25854152	0.0	1.08891656	0.54445828	7.16962496					
															7.55867003	0.0	1.70951146	0.85475573	5.84915857
															7.01764585	0.0	1.16848727	0.58424364	5.84915857
															6.77263389	0.0	0.92347532	0.46173766	5.84915857
															6.68629772	0.0	0.83713915	0.41856958	5.84915857
17.61582436	0.0	3.85504983	1.92752491	13.76077454															
17.05165626	0.0	3.29088172	1.64544086	13.76077454															
16.87734957	0.0	3.11657503	1.55828751	13.76077454															
16.73635418	0.0	2.97557964	1.48778982	13.76077454															
					12.80110212	0.0	2.78132764	1.39066382	10.01977448										
					12.08391517	0.0	2.06414068	1.03207034	10.01977448										
					11.89293379	0.0	1.87315931	0.93657965	10.01977448										
					11.8429042	0.0	1.82312972	0.91156486	10.01977448										
										9.11143749	0.0	1.9398386	0.9699193	7.17159889					
										8.51527658	0.0	1.34367769	0.67183885	7.17159889					
										8.23291895	0.0	1.06132006	0.53066003	7.17159889					
										8.16471291	0.0	0.99311402	0.49655701	7.17159889					
															7.6385237	0.0	1.79930374	0.89965187	5.83921996
															6.97358273	0.0	1.13436277	0.56718139	5.83921996
															6.74089566	0.0	0.9016757	0.45083785	5.83921996
															6.62214815	0.0	0.78292819	0.39146409	5.83921996
17.69567804	0.0	3.94252198	1.97126099	13.75315605															
16.98241066	0.0	3.22925461	1.6146273	13.75315605															
16.73471581	0.0	2.98155976	1.49077988	13.75315605															
16.58849875	0.0	2.8353427	1.41767135	13.75315605															
					12.70210482	0.0	2.68965795	1.34482898	10.01244687										
					12.15397913	0.0	2.14153226	1.07076613	10.01244687										
					11.90862018	0.0	1.89617331	0.94808666	10.01244687										
					11.79872404	0.0	1.78627717	0.89313858	10.01244687										
										8.98619034	0.0	1.81879766	0.90939883	7.16739267					
										8.44137833	0.0	1.27398565	0.63699283	7.16739267					
										8.22981821	0.0	1.06242554	0.53121277	7.16739267					
										8.11136911	0.0	0.94397644	0.47198822	7.16739267					
															7.54171804	0.0	1.69726078	0.84863039	5.84445726
															6.97604615	0.0	1.13158888	0.56579444	5.84445726
															6.74053022	0.0	0.89607296	0.44803648	5.84445726
															6.62242219	0.0	0.77796492	0.38898246	5.84445726
