Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
18.49092729	0.0	4.85689578	2.42844789	13.6340315															
17.94716727	0.0	4.31313576	2.15656788	13.6340315															
17.70380033	0.0	4.06976883	2.03488442	13.6340315															
17.62676896	0.0	3.99273746	1.99636873	13.6340315															
					13.4000005	0.0	3.46698589	1.73349295	9.93301461										
					12.75363128	0.0	2.82061667	1.41030834	9.93301461										
					12.51236074	0.0	2.57934613	1.28967307	9.93301461										
					12.4149025	0.0	2.48188789	1.24094395	9.93301461										
										9.48554351	0.0	2.37245923	1.18622961	7.11308428					
										8.92252492	0.0	1.80944064	0.90472032	7.11308428					
										8.61267302	0.0	1.49958873	0.74979437	7.11308428					
										8.54180445	0.0	1.42872017	0.71436008	7.11308428					
															8.14334767	0.0	2.35406048	1.17703024	5.78928719
															7.25958794	0.0	1.47030075	0.73515037	5.78928719
															7.04696024	0.0	1.25767305	0.62883653	5.78928719
															6.88845193	0.0	1.09916474	0.54958237	5.78928719
18.32411372	0.0	4.70426743	2.35213371	13.6198463															
17.91049439	0.0	4.2906481	2.14532405	13.6198463															
17.58214083	0.0	3.96229453	1.98114727	13.6198463															
17.50599545	0.0	3.88614915	1.94307458	13.6198463															
					13.17083317	0.0	3.23833575	1.61916787	9.93249742										
					12.67371366	0.0	2.74121625	1.37060812	9.93249742										
					12.47588282	0.0	2.5433854	1.2716927	9.93249742										
					12.3481558	0.0	2.41565839	1.20782919	9.93249742										
										9.45710202	0.0	2.35906877	1.17953438	7.09803325					
										8.86039955	0.0	1.7623663	0.88118315	7.09803325					
										8.61850904	0.0	1.52047579	0.76023789	7.09803325					
										8.51157734	0.0	1.41354409	0.70677204	7.09803325					
															7.87316183	0.0	2.08106731	1.04053366	5.79209452
															7.24727087	0.0	1.45517635	0.72758818	5.79209452
															7.01157588	0.0	1.21948137	0.60974068	5.79209452
															6.95273644	0.0	1.16064193	0.58032096	5.79209452
18.45318794	0.0	4.85431064	2.42715532	13.5988773															
17.86533458	0.0	4.26645728	2.13322864	13.5988773															
17.58359983	0.0	3.98472253	1.99236127	13.5988773															
17.44376206	0.0	3.84488475	1.92244238	13.5988773															
					13.42242328	0.0	3.50030934	1.75015467	9.92211395										
					12.7440518	0.0	2.82193785	1.41096893	9.92211395										
					12.5378975	0.0	2.61578355	1.30789177	9.92211395										
					12.37181848	0.0	2.44970454	1.22485227	9.92211395										
										9.59985737	0.0	2.50115746	1.25057873	7.09869991					
										8.833302	0.0	1.73460209	0.86730104	7.09869991					
										8.63583716	0.0	1.53713724	0.76856862	7.09869991					
										8.49940553	0.0	1.40070561	0.70035281	7.09869991					
															7.84526825	0.0	2.05860254	1.02930127	5.78666571
															7.22455596	0.0	1.43789024	0.71894512	5.78666571
															7.07723946	0.0	1.29057375	0.64528687	5.78666571
															6.92250933	0.0	1.13584362	0.56792181	5.78666571
18.73705491	0.0	5.13450227	2.56725114	13.60255264															
17.97480901	0.0	4.37225637	2.18612819	13.60255264															
17.73207238	0.0	4.12951974	2.06475987	13.60255264															
17.5974989	0.0	3.99494626	1.99747313	13.60255264															
					13.30374275	0.0	3.38835608	1.69417804	9.91538667										
					12.62335701	0.0	2.70797033	1.35398517	9.91538667										
					12.41368266	0.0	2.49829598	1.24914799	9.91538667										
					12.36046463	0.0	2.44507796	1.22253898	9.91538667										
										9.29138428	0.0	2.19958008	1.09979004	7.0918042					
										8.83603959	0.0	1.74423539	0.87211769	7.0918042					
										8.62762852	0.0	1.53582432	0.76791216	7.0918042					
										8.51636468	0.0	1.42456048	0.71228024	7.0918042					
															7.75666463	0.0	1.9736445	0.98682225	5.78302013
															7.22154419	0.0	1.43852406	0.71926203	5.78302013
															7.01394573	0.0	1.2309256	0.6154628	5.78302013
															6.90199392	0.0	1.11897379	0.55948689	5.78302013
