Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															9.26129906	0.0	3.41680536	1.70840268	5.8444937
															9.10398253	0.0	3.25948883	1.62974442	5.8444937
															9.06684746	0.0	3.22235376	1.61117688	5.8444937
															9.0191541	0.0	3.1746604	1.5873302	5.8444937
															9.30582283	0.0	3.46035677	1.73017838	5.84546606
															9.25725005	0.0	3.41178399	1.70589199	5.84546606
															9.16734723	0.0	3.32188117	1.66094059	5.84546606
															9.1335002	0.0	3.28803414	1.64401707	5.84546606
															9.43821098	0.0	3.58905241	1.79452621	5.84915857
															9.33388173	0.0	3.48472316	1.74236158	5.84915857
															9.25122266	0.0	3.40206409	1.70103205	5.84915857
															9.22305098	0.0	3.3738924	1.6869462	5.84915857
															9.57004282	0.0	3.73082286	1.86541143	5.83921996
															9.38615761	0.0	3.54693765	1.77346882	5.83921996
															9.30177512	0.0	3.46255516	1.73127758	5.83921996
															9.2641044	0.0	3.42488444	1.71244222	5.83921996
