Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															6.00929632	0.0	0.16480262	0.08240131	5.8444937
															5.99156042	0.0	0.14706672	0.07353336	5.8444937
															5.99196601	0.0	0.14747231	0.07373616	5.8444937
															5.97326034	0.0	0.12876664	0.06438332	5.8444937
															5.98632103	0.0	0.14085497	0.07042748	5.84546606
															6.00472182	0.0	0.15925576	0.07962788	5.84546606
															5.96186951	0.0	0.11640345	0.05820173	5.84546606
															5.95410345	0.0	0.10863739	0.0543187	5.84546606
															6.01476821	0.0	0.16560963	0.08280482	5.84915857
															5.99731553	0.0	0.14815696	0.07407848	5.84915857
															5.9631458	0.0	0.11398722	0.05699361	5.84915857
															5.95259757	0.0	0.103439	0.0517195	5.84915857
															6.00054462	0.0	0.16132466	0.08066233	5.83921996
															5.9934774	0.0	0.15425744	0.07712872	5.83921996
															5.96004506	0.0	0.1208251	0.06041255	5.83921996
															5.94643904	0.0	0.10721908	0.05360954	5.83921996
