Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															10.20189236	0.0	4.35739866	2.17869933	5.8444937
															10.11991832	0.0	4.27542462	2.13771231	5.8444937
															10.08789646	0.0	4.24340276	2.12170138	5.8444937
															10.02446098	0.0	4.17996728	2.08998364	5.8444937
															10.50659934	0.0	4.66113328	2.33056664	5.84546606
															10.33038438	0.0	4.48491832	2.24245916	5.84546606
															10.28374156	0.0	4.43827549	2.21913775	5.84546606
															10.21640893	0.0	4.37094287	2.18547144	5.84546606
															10.49182773	0.0	4.64266916	2.32133458	5.84915857
															10.4500493	0.0	4.60089073	2.30044536	5.84915857
															10.35713479	0.0	4.50797622	2.25398811	5.84915857
															10.31562052	0.0	4.46646195	2.23323097	5.84915857
															10.64937495	0.0	4.81015499	2.40507749	5.83921996
															10.55645345	0.0	4.71723349	2.35861675	5.83921996
															10.4953943	0.0	4.65617434	2.32808717	5.83921996
															10.47408696	0.0	4.634867	2.3174335	5.83921996
