Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															6.00272839	0.0	0.15823469	0.07911735	5.8444937
															5.97570921	0.0	0.13121551	0.06560775	5.8444937
															5.95712705	0.0	0.11263335	0.05631668	5.8444937
															5.94387539	0.0	0.09938169	0.04969084	5.8444937
															5.98467697	0.0	0.13921091	0.06960545	5.84546606
															5.9888488	0.0	0.14338274	0.07169137	5.84546606
															5.95493993	0.0	0.10947387	0.05473693	5.84546606
															5.95003084	0.0	0.10456478	0.05228239	5.84546606
															6.03062755	0.0	0.18146898	0.09073449	5.84915857
															5.92261496	0.0	0.07345639	0.0367282	5.84915857
															5.94162338	0.0	0.09246481	0.0462324	5.84915857
															5.92746223	0.0	0.07830366	0.03915183	5.84915857
															6.00218037	0.0	0.16296041	0.08148021	5.83921996
															5.99404565	0.0	0.15482568	0.07741284	5.83921996
															5.94412977	0.0	0.10490981	0.05245491	5.83921996
															5.92769134	0.0	0.08847138	0.04423569	5.83921996
