Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															5.97537725	0.0	0.13088355	0.06544178	5.8444937
															5.96968984	0.0	0.12519614	0.06259807	5.8444937
															5.92666788	0.0	0.08217418	0.04108709	5.8444937
															5.95314384	0.0	0.10865014	0.05432507	5.8444937
															5.94802611	0.0	0.10256005	0.05128002	5.84546606
															5.96448884	0.0	0.11902278	0.05951139	5.84546606
															5.92539159	0.0	0.07992553	0.03996277	5.84546606
															5.91761351	0.0	0.07214745	0.03607372	5.84546606
															5.98194518	0.0	0.13278661	0.0663933	5.84915857
															5.97105656	0.0	0.12189798	0.06094899	5.84915857
															5.9366982	0.0	0.08753963	0.04376981	5.84915857
															5.91036398	0.0	0.06120541	0.0306027	5.84915857
															5.97865706	0.0	0.1394371	0.06971855	5.83921996
															5.93410951	0.0	0.09488955	0.04744477	5.83921996
															5.9403471	0.0	0.10112714	0.05056357	5.83921996
															5.92746223	0.0	0.08824227	0.04412114	5.83921996
