Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															5.97811735	0.0	0.13362365	0.06681182	5.8444937
															5.99213058	0.0	0.14763688	0.07381844	5.8444937
															5.97664506	0.0	0.13215136	0.06607568	5.8444937
															5.95946851	0.0	0.11497481	0.0574874	5.8444937
															5.93927441	0.0	0.09380835	0.04690417	5.84546606
															5.99787993	0.0	0.15241387	0.07620693	5.84546606
															5.96952999	0.0	0.12406393	0.06203196	5.84546606
															5.9772477	0.0	0.13178164	0.06589082	5.84546606
															5.9972565	0.0	0.14809793	0.07404897	5.84915857
															5.98173273	0.0	0.13257416	0.06628708	5.84915857
															5.95621621	0.0	0.10705764	0.05352882	5.84915857
															5.95468117	0.0	0.10552259	0.0527613	5.84915857
															5.96662555	0.0	0.12740559	0.06370279	5.83921996
															5.99979499	0.0	0.16057503	0.08028752	5.83921996
															5.9667947	0.0	0.12757474	0.06378737	5.83921996
															5.94414942	0.0	0.10492946	0.05246473	5.83921996
