Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
															6.27078451	0.0	0.42629081	0.21314541	5.8444937
															6.20971271	0.0	0.36521901	0.18260951	5.8444937
															6.18968763	0.0	0.34519393	0.17259696	5.8444937
															6.1955431	0.0	0.3510494	0.1755247	5.8444937
															6.19748279	0.0	0.35201673	0.17600837	5.84546606
															6.23845115	0.0	0.39298509	0.19649255	5.84546606
															6.18312071	0.0	0.33765465	0.16882733	5.84546606
															6.19609117	0.0	0.35062511	0.17531255	5.84546606
															6.2762564	0.0	0.42709783	0.21354892	5.84915857
															6.19767397	0.0	0.3485154	0.1742577	5.84915857
															6.21121004	0.0	0.36205147	0.18102573	5.84915857
															6.1892527	0.0	0.34009413	0.17004706	5.84915857
