Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
8.38917231	0.0	8.38917231	4.19458616	0.0															
8.24129298	0.0	8.24129298	4.12064649	0.0															
8.11202341	0.0	8.11202341	4.0560117	0.0															
8.09001343	0.0	8.09001343	4.04500671	0.0															
					4.63648422	0.0	4.63648422	2.31824211	0.0										
					4.46105758	0.0	4.46105758	2.23052879	0.0										
					4.3738483	0.0	4.3738483	2.18692415	0.0										
					4.32512169	0.0	4.32512169	2.16256084	0.0										
										2.47809445	0.0	2.47809445	1.23904722	0.0					
										2.26043232	0.0	2.26043232	1.13021616	0.0					
										2.16857074	0.0	2.16857074	1.08428537	0.0					
										2.13678781	0.0	2.13678781	1.06839391	0.0					
															1.70755182	0.0	1.70755182	0.85377591	0.0
															1.50350021	0.0	1.50350021	0.75175011	0.0
															1.42559903	0.0	1.42559903	0.71279952	0.0
															1.3984457	0.0	1.3984457	0.69922285	0.0
4.88479693	0.0	4.88479693	2.44239847	0.0															
4.70360101	0.0	4.70360101	2.35180051	0.0															
4.63241366	0.0	4.63241366	2.31620683	0.0															
4.5757859	0.0	4.5757859	2.28789295	0.0															
					3.1786734	0.0	3.1786734	1.5893367	0.0										
					2.95580823	0.0	2.95580823	1.47790411	0.0										
					2.89236243	0.0	2.89236243	1.44618122	0.0										
					2.85384951	0.0	2.85384951	1.42692475	0.0										
										2.09282314	0.0	2.09282314	1.04641157	0.0					
										1.90117502	0.0	1.90117502	0.95058751	0.0					
										1.82486142	0.0	1.82486142	0.91243071	0.0					
										1.78661959	0.0	1.78661959	0.8933098	0.0					
															1.64104296	0.0	1.64104296	0.82052148	0.0
															1.42672313	0.0	1.42672313	0.71336157	0.0
															1.34166284	0.0	1.34166284	0.67083142	0.0
															1.32157372	0.0	1.32157372	0.66078686	0.0
4.72763292	0.0	4.72763292	2.36381646	0.0															
4.53320579	0.0	4.53320579	2.2666029	0.0															
4.447653	0.0	4.447653	2.2238265	0.0															
4.41798338	0.0	4.41798338	2.20899169	0.0															
					3.01707496	0.0	3.01707496	1.50853748	0.0										
					2.86026715	0.0	2.86026715	1.43013358	0.0										
					2.79252335	0.0	2.79252335	1.39626167	0.0										
					2.74081819	0.0	2.74081819	1.37040909	0.0										
										1.98492384	0.0	1.98492384	0.99246192	0.0					
										1.81794519	0.0	1.81794519	0.9089726	0.0					
										1.76134631	0.0	1.76134631	0.88067316	0.0					
										1.71405261	0.0	1.71405261	0.85702631	0.0					
															1.54134191	0.0	1.54134191	0.77067095	0.0
															1.38293764	0.0	1.38293764	0.69146882	0.0
															1.30428321	0.0	1.30428321	0.6521416	0.0
															1.2594612	0.0	1.2594612	0.6297306	0.0
4.61776692	0.0	4.61776692	2.30888346	0.0															
4.40124318	0.0	4.40124318	2.20062159	0.0															
4.30937756	0.0	4.30937756	2.15468878	0.0															
4.28613217	0.0	4.28613217	2.14306609	0.0															
					2.98565296	0.0	2.98565296	1.49282648	0.0										
					2.74769199	0.0	2.74769199	1.373846	0.0										
					2.68693712	0.0	2.68693712	1.34346856	0.0										
					2.64328186	0.0	2.64328186	1.32164093	0.0										
										1.96719362	0.0	1.96719362	0.98359681	0.0					
										1.7376717	0.0	1.7376717	0.86883585	0.0					
										1.68413108	0.0	1.68413108	0.84206554	0.0					
										1.63668778	0.0	1.63668778	0.81834389	0.0					
															1.55925666	0.0	1.55925666	0.77962833	0.0
															1.34849768	0.0	1.34849768	0.67424884	0.0
															1.25657703	0.0	1.25657703	0.62828852	0.0
															1.23609176	0.0	1.23609176	0.61804588	0.0
4.51914893	0.0	4.51914893	2.25957446	0.0															
4.31071881	0.0	4.31071881	2.1553594	0.0															
4.23768836	0.0	4.23768836	2.11884418	0.0															
4.20938341	0.0	4.20938341	2.1046917	0.0															
					2.95165139	0.0	2.95165139	1.4758257	0.0										
					2.72801522	0.0	2.72801522	1.36400761	0.0										
					2.62869883	0.0	2.62869883	1.31434941	0.0										
					2.60035699	0.0	2.60035699	1.3001785	0.0										
										1.91140997	0.0	1.91140997	0.95570498	0.0					
										1.73667157	0.0	1.73667157	0.86833579	0.0					
										1.63374498	0.0	1.63374498	0.81687249	0.0					
										1.59388613	0.0	1.59388613	0.79694306	0.0					
															1.53739276	0.0	1.53739276	0.76869638	0.0
															1.31012236	0.0	1.31012236	0.65506118	0.0
															1.23510559	0.0	1.23510559	0.61755279	0.0
															1.18258922	0.0	1.18258922	0.59129461	0.0
4.33386808	0.0	4.33386808	2.16693404	0.0															
4.14811844	0.0	4.14811844	2.07405922	0.0															
4.05526696	0.0	4.05526696	2.02763348	0.0															
4.0069329	0.0	4.0069329	2.00346645	0.0															
					2.84224953	0.0	2.84224953	1.42112476	0.0										
					2.59542286	0.0	2.59542286	1.29771143	0.0										
					2.51825264	0.0	2.51825264	1.25912632	0.0										
					2.49175201	0.0	2.49175201	1.24587601	0.0										
										1.90549372	0.0	1.90549372	0.95274686	0.0					
										1.63893135	0.0	1.63893135	0.81946568	0.0					
										1.57534234	0.0	1.57534234	0.78767117	0.0					
										1.54407252	0.0	1.54407252	0.77203626	0.0					
															1.49156619	0.0	1.49156619	0.7457831	0.0
															1.26584401	0.0	1.26584401	0.63292201	0.0
															1.18064211	0.0	1.18064211	0.59032105	0.0
															1.14212301	0.0	1.14212301	0.57106151	0.0
4.20131733	0.0	4.20131733	2.10065866	0.0															
3.98478252	0.0	3.98478252	1.99239126	0.0															
3.91664442	0.0	3.91664442	1.95832221	0.0															
3.87508169	0.0	3.87508169	1.93754085	0.0															
					2.70821785	0.0	2.70821785	1.35410892	0.0										
					2.51793669	0.0	2.51793669	1.25896834	0.0										
					2.45366069	0.0	2.45366069	1.22683034	0.0										
					2.41734057	0.0	2.41734057	1.20867028	0.0										
										1.80300287	0.0	1.80300287	0.90150143	0.0					
										1.61244652	0.0	1.61244652	0.80622326	0.0					
										1.53002908	0.0	1.53002908	0.76501454	0.0					
										1.49487311	0.0	1.49487311	0.74743655	0.0					
															1.48467014	0.0	1.48467014	0.74233507	0.0
															1.23878565	0.0	1.23878565	0.61939282	0.0
															1.15357346	0.0	1.15357346	0.57678673	0.0
															1.13043829	0.0	1.13043829	0.56521915	0.0
4.17436205	0.0	4.17436205	2.08718102	0.0															
3.99560288	0.0	3.99560288	1.99780144	0.0															
3.89728726	0.0	3.89728726	1.94864363	0.0															
3.8528193	0.0	3.8528193	1.92640965	0.0															
					2.72201743	0.0	2.72201743	1.36100871	0.0										
					2.50367009	0.0	2.50367009	1.25183505	0.0										
					2.44234075	0.0	2.44234075	1.22117038	0.0										
					2.38966613	0.0	2.38966613	1.19483307	0.0										
										1.788216	0.0	1.788216	0.894108	0.0					
										1.60260439	0.0	1.60260439	0.8013022	0.0					
										1.5194023	0.0	1.5194023	0.75970115	0.0					
										1.48159035	0.0	1.48159035	0.74079518	0.0					
															1.41518608	0.0	1.41518608	0.70759304	0.0
															1.18958624	0.0	1.18958624	0.59479312	0.0
															1.12896742	0.0	1.12896742	0.56448371	0.0
															1.10436376	0.0	1.10436376	0.55218188	0.0
4.0386992	0.0	4.0386992	2.0193496	0.0															
3.82488538	0.0	3.82488538	1.91244269	0.0															
3.74669038	0.0	3.74669038	1.87334519	0.0															
3.71838622	0.0	3.71838622	1.85919311	0.0															
					2.59094012	0.0	2.59094012	1.29547006	0.0										
					2.41486697	0.0	2.41486697	1.20743348	0.0										
					2.32980332	0.0	2.32980332	1.16490166	0.0										
					2.30270747	0.0	2.30270747	1.15135374	0.0										
										1.74189579	0.0	1.74189579	0.87094789	0.0					
										1.53692428	0.0	1.53692428	0.76846214	0.0					
										1.47379571	0.0	1.47379571	0.73689785	0.0					
										1.43300701	0.0	1.43300701	0.7165035	0.0					
															1.36886587	0.0	1.36886587	0.68443294	0.0
															1.17605892	0.0	1.17605892	0.58802946	0.0
															1.11165446	0.0	1.11165446	0.55582723	0.0
															1.07029344	0.0	1.07029344	0.53514672	0.0
3.94359803	0.0	3.94359803	1.97179902	0.0															
3.73878921	0.0	3.73878921	1.8693946	0.0															
3.66515826	0.0	3.66515826	1.83257913	0.0															
3.63806987	0.0	3.63806987	1.81903494	0.0															
					2.59488179	0.0	2.59488179	1.2974409	0.0										
					2.37427755	0.0	2.37427755	1.18713877	0.0										
					2.30683568	0.0	2.30683568	1.15341784	0.0										
					2.27232795	0.0	2.27232795	1.13616397	0.0										
										1.69458829	0.0	1.69458829	0.84729414	0.0					
										1.51896876	0.0	1.51896876	0.75948438	0.0					
										1.43606494	0.0	1.43606494	0.71803247	0.0					
										1.40594864	0.0	1.40594864	0.70297432	0.0					
															1.35950908	0.0	1.35950908	0.67975454	0.0
															1.13399467	0.0	1.13399467	0.56699734	0.0
															1.08434437	0.0	1.08434437	0.54217218	0.0
															1.04139061	0.0	1.04139061	0.52069531	0.0
3.76422595	0.0	3.76422595	1.88211297	0.0															
3.56905741	0.0	3.56905741	1.7845287	0.0															
3.51308481	0.0	3.51308481	1.75654241	0.0															
3.45357676	0.0	3.45357676	1.72678838	0.0															
					2.42586126	0.0	2.42586126	1.21293063	0.0										
					2.2392284	0.0	2.2392284	1.1196142	0.0										
					2.19216433	0.0	2.19216433	1.09608216	0.0										
					2.14219799	0.0	2.14219799	1.071099	0.0										
										1.65467796	0.0	1.65467796	0.82733898	0.0					
