Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
458.93408227	0.26723629	446.51428237	223.12352304	13.74457855															
422.17029183	0.11595691	409.75049194	204.81726751	13.74457855															
424.6005511	0.0591508	412.1807512	206.0608002	13.74457855															
408.36182899	0.07514647	395.9420291	197.93344131	13.74457855															
					290.26131906	0.25735088	281.2121786	140.47741386	10.01438211										
					276.6827821	0.1356507	267.63364164	133.74899547	10.01438211										
					276.45718687	0.0980987	267.40804642	133.65497386	10.01438211										
					275.15969955	0.06475275	266.11055909	133.02290317	10.01438211										
										166.51368345	0.23707716	160.04780744	79.90536514	7.15556945					
										163.0205153	0.14283475	156.55463929	78.20590227	7.15556945					
										162.10556363	0.08621493	155.63968762	77.77673635	7.15556945					
										161.17025476	0.07217576	154.70437875	77.31610149	7.15556945					
															117.15146367	0.27267814	111.88193922	55.80463054	5.83160706
															115.22901454	0.12697718	109.95949009	54.91625646	5.83160706
															114.31665832	0.0931488	109.04713387	54.47699253	5.83160706
															113.72127003	0.0781153	108.45174558	54.18681514	5.83160706
458.8287505	0.1757531	446.41898471	223.1216158	13.73347414															
410.60383526	0.13614343	398.19406947	199.02896302	13.73347414															
414.20792585	0.07317886	401.79816006	200.8624906	13.73347414															
408.36182899	0.06685591	395.9520632	197.94260365	13.73347414															
					279.65919986	0.26575761	270.62536957	135.17980598	9.99743885										
					266.66078485	0.11409102	257.62695457	128.75643177	9.99743885										
					267.16065631	0.07548848	258.12682603	129.02566877	9.99743885										
					266.05743741	0.05015461	257.02360712	128.48672626	9.99743885										
										159.95074324	0.24651652	153.49171504	76.62259926	7.14799122					
										156.95094283	0.14382773	150.49191462	75.17404344	7.14799122					
										155.98929359	0.0860521	149.53026538	74.72210664	7.14799122					
										155.14519342	0.04149412	148.68616521	74.32233555	7.14799122					
															112.61500751	0.25146396	107.35121156	53.5498738	5.82526752
															110.87825853	0.13837387	105.61446258	52.73804435	5.82526752
															110.00333166	0.07251754	104.73953571	52.33350909	5.82526752
															109.45717451	0.05200989	104.19337856	52.07068434	5.82526752
451.97308847	0.23658177	439.58158009	219.67249916	13.71326928															
402.84790998	0.11880015	390.4564016	195.16880072	13.71326928															
406.88615481	0.07350701	394.49464642	197.21056971	13.71326928															
407.01063846	0.05732974	394.61913007	197.28090016	13.71326928															
					278.43178793	0.24548389	269.40260715	134.57856163	9.9922934										
					269.94998621	0.13118982	260.92080542	130.3948078	9.9922934										
					268.89445892	0.1101478	259.86527813	129.87756517	9.9922934										
					267.07990674	0.05436092	258.05072595	128.99818252	9.9922934										
										159.18457958	0.30290541	152.72646293	76.21177876	7.14698242					
										156.10690697	0.13069333	149.64879032	74.7590485	7.14698242					
										155.13833918	0.08506012	148.68022253	74.29758121	7.14698242					
										154.26356222	0.06549637	147.80544557	73.8699746	7.14698242					
															111.21374625	0.29795796	105.94669048	52.82436626	5.82887505
															109.51110707	0.13788114	104.2440513	52.05308508	5.82887505
															108.72311623	0.08489479	103.45606046	51.68558284	5.82887505
															108.11692789	0.06054644	102.84987212	51.39466284	5.82887505
417.84376126	0.23662913	405.46621371	202.61479229	13.69781929															
375.5866512	0.09501003	363.20910366	181.55704681	13.69781929															
378.68052605	0.08786573	366.3029785	183.10755639	13.69781929															
379.58021845	0.05522659	367.20267091	183.57372216	13.69781929															
					248.35383056	0.25586469	239.32839556	119.53626543	9.98814808										
					238.99442828	0.14779213	229.96899328	114.91060057	9.98814808										
					239.01851453	0.0723522	229.99307952	114.96036366	9.98814808										
					238.03414935	0.07737168	229.00871434	114.46567133	9.98814808										
										148.36176426	0.25442943	141.90114616	70.82335836	7.1497507					
										145.8288152	0.10838892	139.36819709	69.62990409	7.1497507					
										144.7721017	0.0877004	138.3114836	69.1118916	7.1497507					
										144.00085628	0.0549806	137.54023818	68.74262879	7.1497507					
															106.25912913	0.29548799	100.9979262	50.3512191	5.82239791
															104.71256645	0.12078235	99.45136352	49.66529058	5.82239791
															103.95477956	0.10767034	98.69357663	49.29295314	5.82239791
															103.40349149	0.06512456	98.14228855	49.038582	5.82239791
