Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
21.44078599	0.0	-66.66908261	-33.3345413	0.0															
21.10751543	0.0	-67.00235316	-33.50117658	0.0															
20.95225848	0.0	-67.15761011	-33.57880506	0.0															
20.86832384	0.0	-67.24154476	-33.62077238	0.0															
					14.52683614	0.0	-44.97448014	-22.48724007	0.0										
					14.24554449	0.0	-45.25577179	-22.6278859	0.0										
					14.17398702	0.0	-45.32732926	-22.66366463	0.0										
					14.1112344	0.0	-45.39008188	-22.69504094	0.0										
										9.52598228	0.0	-29.44517372	-14.72258686	0.0					
										9.33145381	0.0	-29.63970219	-14.8198511	0.0					
										9.26032442	0.0	-29.71083158	-14.85541579	0.0					
										9.19577033	0.0	-29.77538567	-14.88769283	0.0					
															7.25252803	0.0	-22.46623995	-11.23311997	0.0
															7.10850922	0.0	-22.61025876	-11.30512938	0.0
															7.0404847	0.0	-22.67828328	-11.33914164	0.0
															6.99297028	0.0	-22.7257977	-11.36289885	0.0
18.53462795	0.0	-58.91330528	-29.45665264	0.0															
18.18308972	0.0	-59.26484351	-29.63242176	0.0															
18.05127745	0.0	-59.39665578	-29.69832789	0.0															
17.95932346	0.0	-59.48860977	-29.74430489	0.0															
					13.04824319	0.0	-41.35138283	-20.67569141	0.0										
					12.83570858	0.0	-41.56391744	-20.78195872	0.0										
					12.7341849	0.0	-41.66544112	-20.83272056	0.0										
