Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
21.01909806	0.0	-67.09077053	-33.54538527	0.0															
20.81297282	0.0	-67.29689577	-33.64844788	0.0															
20.68110003	0.0	-67.42876856	-33.71438428	0.0															
20.61251619	0.0	-67.4973524	-33.7486762	0.0															
					14.2453734	0.0	-45.25594288	-22.62797144	0.0										
					14.06378504	0.0	-45.43753124	-22.71876562	0.0										
					14.02997814	0.0	-45.47133814	-22.73566907	0.0										
					13.96322127	0.0	-45.53809501	-22.7690475	0.0										
										9.2641274	0.0	-29.7070286	-14.8535143	0.0					
										9.19501944	0.0	-29.77613656	-14.88806828	0.0					
										9.14554172	0.0	-29.82561428	-14.91280714	0.0					
										9.09263961	0.0	-29.87851639	-14.93925819	0.0					
															7.14290923	0.0	-22.57585876	-11.28792938	0.0
															6.99493093	0.0	-22.72383705	-11.36191853	0.0
															6.91527041	0.0	-22.80349757	-11.40174878	0.0
															6.88957327	0.0	-22.82919471	-11.41459736	0.0
19.11388161	0.0	-58.33405163	-29.16702581	0.0															
18.89577668	0.0	-58.55215655	-29.27607828	0.0															
18.78391395	0.0	-58.66401928	-29.33200964	0.0															
18.69449752	0.0	-58.75343571	-29.37671785	0.0															
					13.22252632	0.0	-41.1770997	-20.58854985	0.0										
					13.12064915	0.0	-41.27897687	-20.63948844	0.0										
					13.08014065	0.0	-41.31948537	-20.65974268	0.0										
					13.01748654	0.0	-41.38213948	-20.69106974	0.0										
										9.02988831	0.0	-28.58609391	-14.29304696	0.0					
										8.9358482	0.0	-28.68013403	-14.34006701	0.0					
										8.89585467	0.0	-28.72012755	-14.36006377	0.0					
										8.83044394	0.0	-28.78553828	-14.39276914	0.0					
															7.08982146	0.0	-22.60467648	-11.30233824	0.0
															6.96988342	0.0	-22.72461452	-11.36230726	0.0
															6.92663812	0.0	-22.76785982	-11.38392991	0.0
															6.89299422	0.0	-22.80150372	-11.40075186	0.0
17.86391423	0.0	-56.3382838	-28.1691419	0.0															
17.6350258	0.0	-56.56717223	-28.28358611	0.0															
17.53747891	0.0	-56.66471913	-28.33235956	0.0															
17.45769159	0.0	-56.74450644	-28.37225322	0.0															
					12.57510639	0.0	-40.01812191	-20.00906096	0.0										
					12.46450421	0.0	-40.12872409	-20.06436205	0.0										
					12.40316983	0.0	-40.19005847	-20.09502924	0.0										
					12.34434532	0.0	-40.24888298	-20.12444149	0.0										
										8.82247968	0.0	-28.11287623	-14.05643811	0.0					
										8.68818717	0.0	-28.24716874	-14.12358437	0.0					
										8.64853905	0.0	-28.28681686	-14.14340843	0.0					
										8.60478614	0.0	-28.33056977	-14.16528489	0.0					
															7.05753353	0.0	-22.55713338	-11.27856669	0.0
															6.95043497	0.0	-22.66423193	-11.33211597	0.0
															6.89634146	0.0	-22.71832545	-11.35916272	0.0
															6.87137392	0.0	-22.74329298	-11.37164649	0.0
17.29804063	0.0	-55.4849139	-27.74245695	0.0															
17.11230045	0.0	-55.67065408	-27.83532704	0.0															
17.03700774	0.0	-55.74594679	-27.87297339	0.0															
16.95355591	0.0	-55.82939863	-27.91469931	0.0															
					12.24564822	0.0	-39.47587286	-19.73793643	0.0										
					12.15711728	0.0	-39.5644038	-19.7822019	0.0										
					12.06715003	0.0	-39.65437105	-19.82718552	0.0										
					12.03288761	0.0	-39.68863347	-19.84431673	0.0										
										8.62163331	0.0	-27.8393438	-13.9196719	0.0					
										8.55503788	0.0	-27.90593923	-13.95296962	0.0					
										8.48846762	0.0	-27.97250949	-13.98625474	0.0					
										8.45891094	0.0	-28.00206617	-14.00103309	0.0					
															6.98638711	0.0	-22.53865333	-11.26932667	0.0
															6.92221663	0.0	-22.60282381	-11.3014119	0.0
															6.889953	0.0	-22.63508744	-11.31754372	0.0
															6.85345588	0.0	-22.67158456	-11.33579228	0.0
17.21775596	0.0	-54.58441352	-27.29220676	0.0															
17.08463101	0.0	-54.71753846	-27.35876923	0.0															
16.98517153	0.0	-54.81699795	-27.40849897	0.0															
16.91537715	0.0	-54.88679232	-27.44339616	0.0															
					12.24564822	0.0	-38.99581137	-19.49790568	0.0										
					12.13383071	0.0	-39.10762887	-19.55381444	0.0										
					12.09379813	0.0	-39.14766145	-19.57383073	0.0										
					12.06437834	0.0	-39.17708124	-19.58854062	0.0										
										8.58332306	0.0	-27.68649578	-13.84324789	0.0					
										8.55613567	0.0	-27.71368317	-13.85684158	0.0					
										8.51274429	0.0	-27.75707454	-13.87853727	0.0					
										8.47793255	0.0	-27.79188629	-13.89594314	0.0					
															7.00389752	0.0	-22.44978005	-11.22489002	0.0
															6.92385917	0.0	-22.5298184	-11.2649092	0.0
															6.88027891	0.0	-22.57339866	-11.28669933	0.0
															6.84674772	0.0	-22.60692984	-11.30346492	0.0
17.03370657	0.0	-54.0676997	-27.03384985	0.0															
16.79779033	0.0	-54.30361593	-27.15180797	0.0															
16.71832487	0.0	-54.3830814	-27.1915407	0.0															
16.65097829	0.0	-54.45042797	-27.22521399	0.0															
					12.07544506	0.0	-38.6211014	-19.3105507	0.0										
					11.94424474	0.0	-38.75230172	-19.37615086	0.0										
					11.86309359	0.0	-38.83345287	-19.41672643	0.0										
					11.83299454	0.0	-38.86355192	-19.43177596	0.0										
										8.4957544	0.0	-27.44122712	-13.72061356	0.0					
